,right,cam,ctm,rate,cam_time,ctm_time
0,1,332,4202,0.589,-2964.159867286682,-2964.1324837207794
1,1,346,3576,0.589,-2964.159867286682,-2964.1324837207794
2,1,319,4793,0.589,-2964.159867286682,-2964.1324837207794
3,0,471,382,0.589,-2964.159867286682,-2964.1324837207794
4,1,282,6508,0.589,-2964.159867286682,-2964.1324837207794
5,1,275,6795,0.589,-2964.159867286682,-2964.1324837207794
6,1,236,8218,0.589,-2964.159867286682,-2964.1324837207794
7,1,342,3740,0.589,-2964.159867286682,-2964.1324837207794
8,1,438,797,0.589,-2964.159867286682,-2964.1324837207794
9,1,381,2184,0.589,-2964.159867286682,-2964.1324837207794
10,1,351,3371,0.589,-2964.159867286682,-2964.1324837207794
11,1,193,9146,0.589,-2964.159867286682,-2964.1324837207794
12,1,366,2761,0.589,-2964.159867286682,-2964.1324837207794
13,1,316,4939,0.589,-2964.159867286682,-2964.1324837207794
14,1,361,2956,0.589,-2964.159867286682,-2964.1324837207794
15,1,466,438,0.589,-2964.159867286682,-2964.1324837207794
16,1,373,2485,0.589,-2964.159867286682,-2964.1324837207794
17,1,218,8678,0.589,-2964.159867286682,-2964.1324837207794
18,1,307,5389,0.589,-2964.159867286682,-2964.1324837207794
19,1,255,7597,0.589,-2964.159867286682,-2964.1324837207794
20,1,0,3592,0.589,-2964.159867286682,-2964.1324837207794
21,1,271,6964,0.589,-2964.159867286682,-2964.1324837207794
22,1,525,99,0.589,-2964.159867286682,-2964.1324837207794
23,1,202,9006,0.589,-2964.159867286682,-2964.1324837207794
24,0,413,1312,0.589,-2964.159867286682,-2964.1324837207794
25,0,450,624,0.589,-2964.159867286682,-2964.1324837207794
26,1,376,2378,0.589,-2964.159867286682,-2964.1324837207794
27,1,328,4367,0.589,-2964.159867286682,-2964.1324837207794
28,1,318,4839,0.589,-2964.159867286682,-2964.1324837207794
29,1,164,9477,0.589,-2964.159867286682,-2964.1324837207794
30,1,347,3566,0.589,-2964.159867286682,-2964.1324837207794
31,1,297,5823,0.589,-2964.159867286682,-2964.1324837207794
32,1,0,2506,0.589,-2964.159867286682,-2964.1324837207794
33,1,320,4774,0.589,-2964.159867286682,-2964.1324837207794
34,1,0,6809,0.589,-2964.159867286682,-2964.1324837207794
35,0,544,55,0.589,-2964.159867286682,-2964.1324837207794
36,1,331,4249,0.589,-2964.159867286682,-2964.1324837207794
37,1,360,2977,0.589,-2964.159867286682,-2964.1324837207794
38,1,299,5770,0.589,-2964.159867286682,-2964.1324837207794
39,1,196,9110,0.589,-2964.159867286682,-2964.1324837207794
40,1,38,9947,0.589,-2964.159867286682,-2964.1324837207794
41,1,311,5162,0.589,-2964.159867286682,-2964.1324837207794
42,0,532,85,0.589,-2964.159867286682,-2964.1324837207794
43,1,358,3095,0.589,-2964.159867286682,-2964.1324837207794
44,1,359,3053,0.589,-2964.159867286682,-2964.1324837207794
45,1,207,8897,0.589,-2964.159867286682,-2964.1324837207794
46,1,364,2846,0.589,-2964.159867286682,-2964.1324837207794
47,0,426,1015,0.589,-2964.159867286682,-2964.1324837207794
48,1,249,7826,0.589,-2964.159867286682,-2964.1324837207794
49,1,411,1349,0.589,-2964.159867286682,-2964.1324837207794
50,1,0,3590,0.589,-2964.159867286682,-2964.1324837207794
51,1,329,4354,0.589,-2964.159867286682,-2964.1324837207794
52,0,447,667,0.589,-2964.159867286682,-2964.1324837207794
53,1,0,4335,0.589,-2964.159867286682,-2964.1324837207794
54,1,298,5794,0.589,-2964.159867286682,-2964.1324837207794
55,1,286,6359,0.589,-2964.159867286682,-2964.1324837207794
56,1,442,735,0.589,-2964.159867286682,-2964.1324837207794
57,0,404,1527,0.589,-2964.159867286682,-2964.1324837207794
58,0,465,441,0.589,-2964.159867286682,-2964.1324837207794
59,0,489,243,0.589,-2964.159867286682,-2964.1324837207794
60,1,312,5122,0.589,-2964.159867286682,-2964.1324837207794
61,1,362,2904,0.589,-2964.159867286682,-2964.1324837207794
62,1,171,9408,0.589,-2964.159867286682,-2964.1324837207794
63,1,391,1920,0.589,-2964.159867286682,-2964.1324837207794
64,1,269,7051,0.589,-2964.159867286682,-2964.1324837207794
65,1,333,4168,0.589,-2964.159867286682,-2964.1324837207794
66,0,407,1439,0.589,-2964.159867286682,-2964.1324837207794
67,1,158,9532,0.589,-2964.159867286682,-2964.1324837207794
68,1,430,940,0.589,-2964.159867286682,-2964.1324837207794
69,1,0,3096,0.589,-2964.159867286682,-2964.1324837207794
70,0,0,4353,0.589,-2964.159867286682,-2964.1324837207794
71,1,0,2487,0.589,-2964.159867286682,-2964.1324837207794
72,1,256,7559,0.589,-2964.159867286682,-2964.1324837207794
73,1,268,7123,0.589,-2964.159867286682,-2964.1324837207794
74,1,270,7012,0.589,-2964.159867286682,-2964.1324837207794
75,1,210,8840,0.589,-2964.159867286682,-2964.1324837207794
76,1,310,5225,0.589,-2964.159867286682,-2964.1324837207794
77,1,263,7312,0.589,-2964.159867286682,-2964.1324837207794
78,0,395,1775,0.589,-2964.159867286682,-2964.1324837207794
79,1,0,7303,0.589,-2964.159867286682,-2964.1324837207794
80,1,0,4863,0.589,-2964.159867286682,-2964.1324837207794
81,0,0,3028,0.589,-2964.159867286682,-2964.1324837207794
82,1,290,6154,0.589,-2964.159867286682,-2964.1324837207794
83,1,267,7146,0.589,-2964.159867286682,-2964.1324837207794
84,0,401,1622,0.589,-2964.159867286682,-2964.1324837207794
85,1,469,409,0.589,-2964.159867286682,-2964.1324837207794
86,0,410,1383,0.589,-2964.159867286682,-2964.1324837207794
87,1,0,1921,0.589,-2964.159867286682,-2964.1324837207794
88,1,233,8283,0.589,-2964.159867286682,-2964.1324837207794
89,1,216,8724,0.589,-2964.159867286682,-2964.1324837207794
90,1,250,7781,0.589,-2964.159867286682,-2964.1324837207794
91,1,403,1545,0.589,-2964.159867286682,-2964.1324837207794
92,1,0,6972,0.589,-2964.159867286682,-2964.1324837207794
93,1,0,7296,0.589,-2964.159867286682,-2964.1324837207794
94,1,288,6264,0.589,-2964.159867286682,-2964.1324837207794
95,1,0,6827,0.589,-2964.159867286682,-2964.1324837207794
96,1,340,3866,0.589,-2964.159867286682,-2964.1324837207794
97,1,205,8943,0.589,-2964.159867286682,-2964.1324837207794
98,1,238,8162,0.589,-2964.159867286682,-2964.1324837207794
99,1,0,5163,0.589,-2964.159867286682,-2964.1324837207794
100,1,274,6836,0.589,-2964.159867286682,-2964.1324837207794
101,1,408,1409,0.589,-2964.159867286682,-2964.1324837207794
102,1,152,9567,0.589,-2964.159867286682,-2964.1324837207794
103,1,278,6703,0.589,-2964.159867286682,-2964.1324837207794
104,1,22,9971,0.589,-2964.159867286682,-2964.1324837207794
105,1,201,9025,0.589,-2964.159867286682,-2964.1324837207794
106,1,258,7488,0.589,-2964.159867286682,-2964.1324837207794
107,1,0,9153,0.589,-2964.159867286682,-2964.1324837207794
108,1,322,4647,0.589,-2964.159867286682,-2964.1324837207794
109,1,368,2667,0.589,-2964.159867286682,-2964.1324837207794
110,1,314,5024,0.589,-2964.159867286682,-2964.1324837207794
111,1,0,2989,0.589,-2964.159867286682,-2964.1324837207794
112,1,0,4742,0.589,-2964.159867286682,-2964.1324837207794
113,1,0,8891,0.589,-2964.159867286682,-2964.1324837207794
114,1,338,3948,0.589,-2964.159867286682,-2964.1324837207794
115,1,382,2167,0.589,-2964.159867286682,-2964.1324837207794
116,1,341,3799,0.589,-2964.159867286682,-2964.1324837207794
117,1,0,3798,0.589,-2964.159867286682,-2964.1324837207794
118,0,0,2914,0.589,-2964.159867286682,-2964.1324837207794
119,1,0,3367,0.589,-2964.159867286682,-2964.1324837207794
120,1,287,6307,0.589,-2964.159867286682,-2964.1324837207794
121,0,0,1425,0.589,-2964.159867286682,-2964.1324837207794
122,1,296,5912,0.589,-2964.159867286682,-2964.1324837207794
123,1,217,8691,0.589,-2964.159867286682,-2964.1324837207794
124,1,223,8546,0.589,-2964.159867286682,-2964.1324837207794
125,1,455,560,0.589,-2964.159867286682,-2964.1324837207794
126,1,0,6332,0.589,-2964.159867286682,-2964.1324837207794
127,1,0,1319,0.589,-2964.159867286682,-2964.1324837207794
128,0,427,1005,0.589,-2964.159867286682,-2964.1324837207794
129,1,348,3518,0.589,-2964.159867286682,-2964.1324837207794
130,1,300,5687,0.589,-2964.159867286682,-2964.1324837207794
131,1,47,9928,0.589,-2964.159867286682,-2964.1324837207794
132,1,285,6388,0.589,-2964.159867286682,-2964.1324837207794
133,1,189,9209,0.589,-2964.159867286682,-2964.1324837207794
134,0,385,2070,0.589,-2964.159867286682,-2964.1324837207794
135,1,252,7723,0.589,-2964.159867286682,-2964.1324837207794
136,1,204,8960,0.589,-2964.159867286682,-2964.1324837207794
137,1,259,7441,0.589,-2964.159867286682,-2964.1324837207794
138,1,0,3568,0.589,-2964.159867286682,-2964.1324837207794
139,1,474,355,0.589,-2964.159867286682,-2964.1324837207794
140,1,257,7523,0.589,-2964.159867286682,-2964.1324837207794
141,1,0,7047,0.589,-2964.159867286682,-2964.1324837207794
142,1,0,7525,0.589,-2964.159867286682,-2964.1324837207794
143,1,0,9415,0.589,-2964.159867286682,-2964.1324837207794
144,1,315,4991,0.589,-2964.159867286682,-2964.1324837207794
145,0,0,3089,0.589,-2964.159867286682,-2964.1324837207794
146,1,226,8479,0.589,-2964.159867286682,-2964.1324837207794
147,0,424,1072,0.589,-2964.159867286682,-2964.1324837207794
148,1,431,927,0.589,-2964.159867286682,-2964.1324837207794
149,1,23,9969,0.589,-2964.159867286682,-2964.1324837207794
150,1,0,3068,0.589,-2964.159867286682,-2964.1324837207794
151,1,283,6467,0.589,-2964.159867286682,-2964.1324837207794
152,1,374,2472,0.589,-2964.159867286682,-2964.1324837207794
153,1,0,1768,0.589,-2964.159867286682,-2964.1324837207794
154,1,396,1744,0.589,-2964.159867286682,-2964.1324837207794
155,0,530,88,0.589,-2964.159867286682,-2964.1324837207794
156,0,497,195,0.589,-2964.159867286682,-2964.1324837207794
157,1,324,4600,0.589,-2964.159867286682,-2964.1324837207794
158,0,539,65,0.589,-2964.159867286682,-2964.1324837207794
159,1,85,9839,0.589,-2964.159867286682,-2964.1324837207794
160,1,244,7957,0.589,-2964.159867286682,-2964.1324837207794
161,1,0,7311,0.589,-2964.159867286682,-2964.1324837207794
162,1,0,4918,0.589,-2964.159867286682,-2964.1324837207794
163,1,284,6438,0.589,-2964.159867286682,-2964.1324837207794
164,1,0,1739,0.589,-2964.159867286682,-2964.1324837207794
165,1,330,4285,0.589,-2964.159867286682,-2964.1324837207794
166,1,0,2658,0.589,-2964.159867286682,-2964.1324837207794
167,1,326,4505,0.589,-2964.159867286682,-2964.1324837207794
168,1,0,6277,0.589,-2964.159867286682,-2964.1324837207794
169,0,433,890,0.589,-2964.159867286682,-2964.1324837207794
170,1,0,6327,0.589,-2964.159867286682,-2964.1324837207794
171,0,498,191,0.589,-2964.159867286682,-2964.1324837207794
172,1,308,5316,0.589,-2964.159867286682,-2964.1324837207794
173,1,277,6729,0.589,-2964.159867286682,-2964.1324837207794
174,0,412,1329,0.589,-2964.159867286682,-2964.1324837207794
175,1,222,8549,0.589,-2964.159867286682,-2964.1324837207794
176,1,325,4528,0.589,-2964.159867286682,-2964.1324837207794
177,1,363,2870,0.589,-2964.159867286682,-2964.1324837207794
178,0,0,2850,0.589,-2964.159867286682,-2964.1324837207794
179,0,461,481,0.589,-2964.159867286682,-2964.1324837207794
180,1,234,8264,0.589,-2964.159867286682,-2964.1324837207794
181,1,435,844,0.589,-2964.159867286682,-2964.1324837207794
182,1,336,4032,0.589,-2964.159867286682,-2964.1324837207794
183,0,418,1191,0.589,-2964.159867286682,-2964.1324837207794
184,1,0,1410,0.589,-2964.159867286682,-2964.1324837207794
185,1,194,9138,0.589,-2964.159867286682,-2964.1324837207794
186,1,0,5761,0.589,-2964.159867286682,-2964.1324837207794
187,1,0,7494,0.589,-2964.159867286682,-2964.1324837207794
188,0,542,59,0.589,-2964.159867286682,-2964.1324837207794
189,0,289,6228,0.589,-2964.159867286682,-2964.1324837207794
190,1,0,381,0.589,-2964.159867286682,-2964.1324837207794
191,1,272,6913,0.589,-2964.159867286682,-2964.1324837207794
192,1,486,265,0.589,-2964.159867286682,-2964.1324837207794
193,1,449,642,0.589,-2964.159867286682,-2964.1324837207794
194,1,260,7421,0.589,-2964.159867286682,-2964.1324837207794
195,1,386,2049,0.589,-2964.159867286682,-2964.1324837207794
196,1,281,6545,0.589,-2964.159867286682,-2964.1324837207794
197,1,354,3235,0.589,-2964.159867286682,-2964.1324837207794
198,1,0,8258,0.589,-2964.159867286682,-2964.1324837207794
199,1,253,7676,0.589,-2964.159867286682,-2964.1324837207794
200,1,291,6103,0.589,-2964.159867286682,-2964.1324837207794
201,1,0,1334,0.589,-2964.159867286682,-2964.1324837207794
202,1,170,9425,0.589,-2964.159867286682,-2964.1324837207794
203,1,0,4744,0.589,-2964.159867286682,-2964.1324837207794
204,1,0,8947,0.589,-2964.159867286682,-2964.1324837207794
205,1,556,39,0.589,-2964.159867286682,-2964.1324837207794
206,1,0,6247,0.589,-2964.159867286682,-2964.1324837207794
207,1,0,5139,0.589,-2964.159867286682,-2964.1324837207794
208,1,179,9318,0.589,-2964.159867286682,-2964.1324837207794
209,1,0,7710,0.589,-2964.159867286682,-2964.1324837207794
210,1,186,9258,0.589,-2964.159867286682,-2964.1324837207794
211,0,355,3184,0.589,-2964.159867286682,-2964.1324837207794
212,1,0,7417,0.589,-2964.159867286682,-2964.1324837207794
213,1,0,6238,0.589,-2964.159867286682,-2964.1324837207794
214,1,0,5853,0.589,-2964.159867286682,-2964.1324837207794
215,1,266,7177,0.589,-2964.159867286682,-2964.1324837207794
216,1,213,8784,0.589,-2964.159867286682,-2964.1324837207794
217,1,327,4434,0.589,-2964.159867286682,-2964.1324837207794
218,1,356,3162,0.589,-2964.159867286682,-2964.1324837207794
219,1,343,3721,0.589,-2964.159867286682,-2964.1324837207794
220,1,279,6644,0.589,-2964.159867286682,-2964.1324837207794
221,1,389,1968,0.589,-2964.159867286682,-2964.1324837207794
222,1,0,6517,0.589,-2964.159867286682,-2964.1324837207794
223,1,146,9601,0.589,-2964.159867286682,-2964.1324837207794
224,1,457,519,0.589,-2964.159867286682,-2964.1324837207794
225,1,0,7828,0.589,-2964.159867286682,-2964.1324837207794
226,0,379,2285,0.589,-2964.159867286682,-2964.1324837207794
227,1,240,8106,0.589,-2964.159867286682,-2964.1324837207794
228,0,0,894,0.589,-2964.159867286682,-2964.1324837207794
229,1,0,3213,0.589,-2964.159867286682,-2964.1324837207794
230,1,247,7872,0.589,-2964.159867286682,-2964.1324837207794
231,1,176,9351,0.589,-2964.159867286682,-2964.1324837207794
232,0,0,398,0.589,-2964.159867286682,-2964.1324837207794
233,1,0,428,0.589,-2964.159867286682,-2964.1324837207794
234,1,0,8574,0.589,-2964.159867286682,-2964.1324837207794
235,1,131,9665,0.589,-2964.159867286682,-2964.1324837207794
236,1,0,9600,0.589,-2964.159867286682,-2964.1324837207794
237,0,0,1979,0.589,-2964.159867286682,-2964.1324837207794
238,0,537,70,0.589,-2964.159867286682,-2964.1324837207794
239,0,398,1693,0.589,-2964.159867286682,-2964.1324837207794
240,1,0,9476,0.589,-2964.159867286682,-2964.1324837207794
241,1,0,7813,0.589,-2964.159867286682,-2964.1324837207794
242,1,0,8205,0.589,-2964.159867286682,-2964.1324837207794
243,1,221,8594,0.589,-2964.159867286682,-2964.1324837207794
244,1,242,8034,0.589,-2964.159867286682,-2964.1324837207794
245,1,0,5216,0.589,-2964.159867286682,-2964.1324837207794
246,1,0,7292,0.589,-2964.159867286682,-2964.1324837207794
247,1,377,2347,0.589,-2964.159867286682,-2964.1324837207794
248,1,0,6520,0.589,-2964.159867286682,-2964.1324837207794
249,1,353,3294,0.589,-2964.159867286682,-2964.1324837207794
250,1,0,4372,0.589,-2964.159867286682,-2964.1324837207794
251,1,371,2562,0.589,-2964.159867286682,-2964.1324837207794
252,1,419,1169,0.589,-2964.159867286682,-2964.1324837207794
253,1,0,4264,0.589,-2964.159867286682,-2964.1324837207794
254,1,0,2391,0.589,-2964.159867286682,-2964.1324837207794
255,1,0,6121,0.589,-2964.159867286682,-2964.1324837207794
256,1,187,9242,0.589,-2964.159867286682,-2964.1324837207794
257,1,357,3122,0.589,-2964.159867286682,-2964.1324837207794
258,1,0,6799,0.589,-2964.159867286682,-2964.1324837207794
259,1,292,6074,0.589,-2964.159867286682,-2964.1324837207794
260,1,0,5133,0.589,-2964.159867286682,-2964.1324837207794
261,1,219,8634,0.589,-2964.159867286682,-2964.1324837207794
262,0,0,6681,0.589,-2964.159867286682,-2964.1324837207794
263,1,334,4114,0.589,-2964.159867286682,-2964.1324837207794
264,0,317,4888,0.589,-2964.159867286682,-2964.1324837207794
265,1,0,2897,0.589,-2964.159867286682,-2964.1324837207794
266,0,0,2933,0.589,-2964.159867286682,-2964.1324837207794
267,1,229,8381,0.589,-2964.159867286682,-2964.1324837207794
268,1,206,8917,0.589,-2964.159867286682,-2964.1324837207794
269,0,417,1214,0.589,-2964.159867286682,-2964.1324837207794
270,1,241,8073,0.589,-2964.159867286682,-2964.1324837207794
271,1,0,1058,0.589,-2964.159867286682,-2964.1324837207794
272,1,293,6013,0.589,-2964.159867286682,-2964.1324837207794
273,0,0,786,0.589,-2964.159867286682,-2964.1324837207794
274,1,0,5832,0.589,-2964.159867286682,-2964.1324837207794
275,1,0,831,0.589,-2964.159867286682,-2964.1324837207794
276,1,448,657,0.589,-2964.159867286682,-2964.1324837207794
277,0,0,994,0.589,-2964.159867286682,-2964.1324837207794
278,1,0,6804,0.589,-2964.159867286682,-2964.1324837207794
279,1,485,275,0.589,-2964.159867286682,-2964.1324837207794
280,1,0,4461,0.589,-2964.159867286682,-2964.1324837207794
281,0,478,327,0.589,-2964.159867286682,-2964.1324837207794
282,1,0,7598,0.589,-2964.159867286682,-2964.1324837207794
283,1,211,8818,0.589,-2964.159867286682,-2964.1324837207794
284,0,0,3152,0.589,-2964.159867286682,-2964.1324837207794
285,1,109,9757,0.589,-2964.159867286682,-2964.1324837207794
286,1,0,7548,0.589,-2964.159867286682,-2964.1324837207794
287,1,0,5740,0.589,-2964.159867286682,-2964.1324837207794
288,1,0,4996,0.589,-2964.159867286682,-2964.1324837207794
289,1,0,7454,0.589,-2964.159867286682,-2964.1324837207794
290,1,345,3622,0.589,-2964.159867286682,-2964.1324837207794
291,1,0,6737,0.589,-2964.159867286682,-2964.1324837207794
292,1,214,8760,0.589,-2964.159867286682,-2964.1324837207794
293,1,372,2549,0.589,-2964.159867286682,-2964.1324837207794
294,1,392,1876,0.589,-2964.159867286682,-2964.1324837207794
