,right,cam,ctm,rate,cam_time,ctm_time
0,1,0,3569,0.263,-16.381784200668335,-16.373706817626953
1,1,0,8957,0.263,-16.381784200668335,-16.373706817626953
2,1,0,8489,0.263,-16.381784200668335,-16.373706817626953
3,0,0,9052,0.263,-16.381784200668335,-16.373706817626953
4,1,0,6694,0.263,-16.381784200668335,-16.373706817626953
5,1,0,6668,0.263,-16.381784200668335,-16.373706817626953
6,1,15,9166,0.263,-16.381784200668335,-16.373706817626953
7,1,0,6195,0.263,-16.381784200668335,-16.373706817626953
8,1,0,4005,0.263,-16.381784200668335,-16.373706817626953
9,1,0,8697,0.263,-16.381784200668335,-16.373706817626953
10,1,0,6291,0.263,-16.381784200668335,-16.373706817626953
11,1,0,7684,0.263,-16.381784200668335,-16.373706817626953
12,1,0,2996,0.263,-16.381784200668335,-16.373706817626953
13,1,0,4648,0.263,-16.381784200668335,-16.373706817626953
14,1,0,8040,0.263,-16.381784200668335,-16.373706817626953
15,1,0,8830,0.263,-16.381784200668335,-16.373706817626953
16,1,0,3041,0.263,-16.381784200668335,-16.373706817626953
17,1,0,3309,0.263,-16.381784200668335,-16.373706817626953
18,1,0,8813,0.263,-16.381784200668335,-16.373706817626953
19,1,0,7096,0.263,-16.381784200668335,-16.373706817626953
20,1,0,3546,0.263,-16.381784200668335,-16.373706817626953
21,1,0,4631,0.263,-16.381784200668335,-16.373706817626953
22,1,0,5253,0.263,-16.381784200668335,-16.373706817626953
23,1,44,7519,0.263,-16.381784200668335,-16.373706817626953
24,0,0,2677,0.263,-16.381784200668335,-16.373706817626953
25,0,172,126,0.263,-16.381784200668335,-16.373706817626953
26,1,0,3742,0.263,-16.381784200668335,-16.373706817626953
27,1,0,6119,0.263,-16.381784200668335,-16.373706817626953
28,1,0,7491,0.263,-16.381784200668335,-16.373706817626953
29,1,0,6735,0.263,-16.381784200668335,-16.373706817626953
30,1,0,6197,0.263,-16.381784200668335,-16.373706817626953
31,1,0,2049,0.263,-16.381784200668335,-16.373706817626953
32,1,133,395,0.263,-16.381784200668335,-16.373706817626953
33,1,0,1978,0.263,-16.381784200668335,-16.373706817626953
34,1,0,7463,0.263,-16.381784200668335,-16.373706817626953
35,0,121,639,0.263,-16.381784200668335,-16.373706817626953
36,1,0,4405,0.263,-16.381784200668335,-16.373706817626953
37,1,0,9459,0.263,-16.381784200668335,-16.373706817626953
38,1,0,7742,0.263,-16.381784200668335,-16.373706817626953
39,1,0,3074,0.263,-16.381784200668335,-16.373706817626953
40,1,0,5562,0.263,-16.381784200668335,-16.373706817626953
41,1,0,7190,0.263,-16.381784200668335,-16.373706817626953
42,0,113,895,0.263,-16.381784200668335,-16.373706817626953
43,1,0,5998,0.263,-16.381784200668335,-16.373706817626953
44,1,0,6470,0.263,-16.381784200668335,-16.373706817626953
45,1,0,7872,0.263,-16.381784200668335,-16.373706817626953
46,1,0,4018,0.263,-16.381784200668335,-16.373706817626953
47,0,0,8451,0.263,-16.381784200668335,-16.373706817626953
48,1,0,5177,0.263,-16.381784200668335,-16.373706817626953
49,1,0,4396,0.263,-16.381784200668335,-16.373706817626953
50,1,0,7918,0.263,-16.381784200668335,-16.373706817626953
51,1,0,8393,0.263,-16.381784200668335,-16.373706817626953
52,0,0,393,0.263,-16.381784200668335,-16.373706817626953
53,1,0,3966,0.263,-16.381784200668335,-16.373706817626953
54,1,35,8215,0.263,-16.381784200668335,-16.373706817626953
55,1,31,8321,0.263,-16.381784200668335,-16.373706817626953
56,1,0,4669,0.263,-16.381784200668335,-16.373706817626953
57,0,0,3147,0.263,-16.381784200668335,-16.373706817626953
58,0,0,3335,0.263,-16.381784200668335,-16.373706817626953
59,0,115,820,0.263,-16.381784200668335,-16.373706817626953
60,1,0,2780,0.263,-16.381784200668335,-16.373706817626953
61,1,0,4032,0.263,-16.381784200668335,-16.373706817626953
