,right,cam,ctm,rate,cam_time,ctm_time
0,1,0,40865,0.782,-14299.336205720901,-14299.209630966187
1,1,0,38455,0.782,-14299.336205720901,-14299.209630966187
2,1,0,42690,0.782,-14299.336205720901,-14299.209630966187
3,0,0,9394,0.782,-14299.336205720901,-14299.209630966187
4,1,0,46094,0.782,-14299.336205720901,-14299.209630966187
5,1,275,46496,0.782,-14299.336205720901,-14299.209630966187
6,1,236,48180,0.782,-14299.336205720901,-14299.209630966187
7,1,0,39153,0.782,-14299.336205720901,-14299.209630966187
8,1,0,15958,0.782,-14299.336205720901,-14299.209630966187
9,1,0,30177,0.782,-14299.336205720901,-14299.209630966187
10,1,0,37504,0.782,-14299.336205720901,-14299.209630966187
11,1,193,49142,0.782,-14299.336205720901,-14299.209630966187
12,1,0,34149,0.782,-14299.336205720901,-14299.209630966187
13,1,0,43113,0.782,-14299.336205720901,-14299.209630966187
14,1,0,35260,0.782,-14299.336205720901,-14299.209630966187
15,1,0,10414,0.782,-14299.336205720901,-14299.209630966187
16,1,0,32266,0.782,-14299.336205720901,-14299.209630966187
17,1,218,48671,0.782,-14299.336205720901,-14299.209630966187
18,1,0,44133,0.782,-14299.336205720901,-14299.209630966187
19,1,255,47491,0.782,-14299.336205720901,-14299.209630966187
20,1,0,38524,0.782,-14299.336205720901,-14299.209630966187
21,1,271,46717,0.782,-14299.336205720901,-14299.209630966187
22,1,527,3422,0.782,-14299.336205720901,-14299.209630966187
23,1,202,49002,0.782,-14299.336205720901,-14299.209630966187
24,0,0,21947,0.782,-14299.336205720901,-14299.209630966187
25,0,0,13407,0.782,-14299.336205720901,-14299.209630966187
26,1,0,31553,0.782,-14299.336205720901,-14299.209630966187
27,1,0,41483,0.782,-14299.336205720901,-14299.209630966187
28,1,0,42839,0.782,-14299.336205720901,-14299.209630966187
29,1,164,49473,0.782,-14299.336205720901,-14299.209630966187
30,1,0,38405,0.782,-14299.336205720901,-14299.209630966187
31,1,0,44940,0.782,-14299.336205720901,-14299.209630966187
32,1,0,32467,0.782,-14299.336205720901,-14299.209630966187
33,1,0,42640,0.782,-14299.336205720901,-14299.209630966187
34,1,0,46512,0.782,-14299.336205720901,-14299.209630966187
35,0,551,2195,0.782,-14299.336205720901,-14299.209630966187
36,1,0,41036,0.782,-14299.336205720901,-14299.209630966187
37,1,0,35397,0.782,-14299.336205720901,-14299.209630966187
38,1,0,44846,0.782,-14299.336205720901,-14299.209630966187
39,1,196,49106,0.782,-14299.336205720901,-14299.209630966187
40,1,38,49947,0.782,-14299.336205720901,-14299.209630966187
41,1,0,43664,0.782,-14299.336205720901,-14299.209630966187
42,0,534,3012,0.782,-14299.336205720901,-14299.209630966187
43,1,0,36016,0.782,-14299.336205720901,-14299.209630966187
44,1,0,35799,0.782,-14299.336205720901,-14299.209630966187
45,1,207,48893,0.782,-14299.336205720901,-14299.209630966187
46,1,0,34611,0.782,-14299.336205720901,-14299.209630966187
47,0,0,18645,0.782,-14299.336205720901,-14299.209630966187
48,1,249,47747,0.782,-14299.336205720901,-14299.209630966187
49,1,0,22381,0.782,-14299.336205720901,-14299.209630966187
50,1,0,38517,0.782,-14299.336205720901,-14299.209630966187
51,1,0,41441,0.782,-14299.336205720901,-14299.209630966187
52,0,0,14016,0.782,-14299.336205720901,-14299.209630966187
53,1,0,41377,0.782,-14299.336205720901,-14299.209630966187
54,1,0,44893,0.782,-14299.336205720901,-14299.209630966187
55,1,286,45833,0.782,-14299.336205720901,-14299.209630966187
56,1,0,15023,0.782,-14299.336205720901,-14299.209630966187
57,0,0,24220,0.782,-14299.336205720901,-14299.209630966187
58,0,0,10474,0.782,-14299.336205720901,-14299.209630966187
59,0,0,6891,0.782,-14299.336205720901,-14299.209630966187
