,right,cam,ctm,rate,cam_time,ctm_time
0,1,0,37792,0.79,-47.45017194747925,-47.4056134223938
1,1,0,48885,0.79,-47.45017194747925,-47.4056134223938
2,1,0,48325,0.79,-47.45017194747925,-47.4056134223938
3,0,0,48990,0.79,-47.45017194747925,-47.4056134223938
4,1,0,43844,0.79,-47.45017194747925,-47.4056134223938
5,1,0,43727,0.79,-47.45017194747925,-47.4056134223938
6,1,15,49130,0.79,-47.45017194747925,-47.4056134223938
7,1,0,42792,0.79,-47.45017194747925,-47.4056134223938
8,1,0,38857,0.79,-47.45017194747925,-47.4056134223938
9,1,0,48569,0.79,-47.45017194747925,-47.4056134223938
10,1,0,42924,0.79,-47.45017194747925,-47.4056134223938
11,1,0,45661,0.79,-47.45017194747925,-47.4056134223938
12,1,0,35396,0.79,-47.45017194747925,-47.4056134223938
13,1,0,40410,0.79,-47.45017194747925,-47.4056134223938
14,1,0,46113,0.79,-47.45017194747925,-47.4056134223938
15,1,0,48726,0.79,-47.45017194747925,-47.4056134223938
16,1,0,35462,0.79,-47.45017194747925,-47.4056134223938
17,1,0,36940,0.79,-47.45017194747925,-47.4056134223938
18,1,0,48709,0.79,-47.45017194747925,-47.4056134223938
19,1,0,44561,0.79,-47.45017194747925,-47.4056134223938
20,1,0,37730,0.79,-47.45017194747925,-47.4056134223938
21,1,0,40382,0.79,-47.45017194747925,-47.4056134223938
22,1,0,41345,0.79,-47.45017194747925,-47.4056134223938
23,1,0,45417,0.79,-47.45017194747925,-47.4056134223938
24,0,0,34600,0.79,-47.45017194747925,-47.4056134223938
25,0,173,3931,0.79,-47.45017194747925,-47.4056134223938
26,1,0,38255,0.79,-47.45017194747925,-47.4056134223938
27,1,0,42654,0.79,-47.45017194747925,-47.4056134223938
28,1,0,45379,0.79,-47.45017194747925,-47.4056134223938
29,1,0,44009,0.79,-47.45017194747925,-47.4056134223938
30,1,0,42796,0.79,-47.45017194747925,-47.4056134223938
31,1,0,32692,0.79,-47.45017194747925,-47.4056134223938
32,1,0,11140,0.79,-47.45017194747925,-47.4056134223938
33,1,0,32553,0.79,-47.45017194747925,-47.4056134223938
34,1,0,45338,0.79,-47.45017194747925,-47.4056134223938
35,0,0,18723,0.79,-47.45017194747925,-47.4056134223938
36,1,0,39758,0.79,-47.45017194747925,-47.4056134223938
37,1,0,49451,0.79,-47.45017194747925,-47.4056134223938
38,1,0,45750,0.79,-47.45017194747925,-47.4056134223938
39,1,0,35506,0.79,-47.45017194747925,-47.4056134223938
40,1,0,41737,0.79,-47.45017194747925,-47.4056134223938
41,1,0,44660,0.79,-47.45017194747925,-47.4056134223938
42,0,0,24251,0.79,-47.45017194747925,-47.4056134223938
43,1,0,42475,0.79,-47.45017194747925,-47.4056134223938
44,1,0,43140,0.79,-47.45017194747925,-47.4056134223938
45,1,0,45925,0.79,-47.45017194747925,-47.4056134223938
46,1,0,38882,0.79,-47.45017194747925,-47.4056134223938
47,0,0,48275,0.79,-47.45017194747925,-47.4056134223938
48,1,0,41239,0.79,-47.45017194747925,-47.4056134223938
49,1,0,39726,0.79,-47.45017194747925,-47.4056134223938
50,1,0,45981,0.79,-47.45017194747925,-47.4056134223938
51,1,0,48201,0.79,-47.45017194747925,-47.4056134223938
52,0,0,10947,0.79,-47.45017194747925,-47.4056134223938
53,1,0,38789,0.79,-47.45017194747925,-47.4056134223938
54,1,0,46819,0.79,-47.45017194747925,-47.4056134223938
