,right,cam,ctm,cam_time,ctm_time,rate
0,1,0,634,-391.53582429885864,-217.0833020210266,0.5085959885386819
1,1,0,3530,-391.53582429885864,-217.0833020210266,0.5085959885386819
2,1,0,29085,-391.53582429885864,-217.0833020210266,0.5085959885386819
3,0,0,6439,-391.53582429885864,-217.0833020210266,0.5085959885386819
4,1,0,29246,-391.53582429885864,-217.0833020210266,0.5085959885386819
5,1,0,41053,-391.53582429885864,-217.0833020210266,0.5085959885386819
6,1,0,11083,-391.53582429885864,-217.0833020210266,0.5085959885386819
7,1,0,44086,-391.53582429885864,-217.0833020210266,0.5085959885386819
8,1,0,13646,-391.53582429885864,-217.0833020210266,0.5085959885386819
9,1,0,13709,-391.53582429885864,-217.0833020210266,0.5085959885386819
10,1,0,11029,-391.53582429885864,-217.0833020210266,0.5085959885386819
11,1,0,5131,-391.53582429885864,-217.0833020210266,0.5085959885386819
12,1,0,37874,-391.53582429885864,-217.0833020210266,0.5085959885386819
13,1,0,5130,-391.53582429885864,-217.0833020210266,0.5085959885386819
14,1,0,2822,-391.53582429885864,-217.0833020210266,0.5085959885386819
15,1,0,1995,-391.53582429885864,-217.0833020210266,0.5085959885386819
16,1,0,1994,-391.53582429885864,-217.0833020210266,0.5085959885386819
17,1,0,6477,-391.53582429885864,-217.0833020210266,0.5085959885386819
18,1,0,29605,-391.53582429885864,-217.0833020210266,0.5085959885386819
19,1,0,17501,-391.53582429885864,-217.0833020210266,0.5085959885386819
20,1,0,13599,-391.53582429885864,-217.0833020210266,0.5085959885386819
21,1,0,5184,-391.53582429885864,-217.0833020210266,0.5085959885386819
22,1,0,8979,-391.53582429885864,-217.0833020210266,0.5085959885386819
23,1,0,2831,-391.53582429885864,-217.0833020210266,0.5085959885386819
24,0,0,18489,-391.53582429885864,-217.0833020210266,0.5085959885386819
25,0,0,22597,-391.53582429885864,-217.0833020210266,0.5085959885386819
26,1,0,41046,-391.53582429885864,-217.0833020210266,0.5085959885386819
27,1,0,5178,-391.53582429885864,-217.0833020210266,0.5085959885386819
28,1,0,10907,-391.53582429885864,-217.0833020210266,0.5085959885386819
29,1,0,8905,-391.53582429885864,-217.0833020210266,0.5085959885386819
30,1,28,29623,-391.53582429885864,-217.0833020210266,0.5085959885386819
31,1,0,43665,-391.53582429885864,-217.0833020210266,0.5085959885386819
32,1,0,44078,-391.53582429885864,-217.0833020210266,0.5085959885386819
33,1,0,37173,-391.53582429885864,-217.0833020210266,0.5085959885386819
34,1,0,22599,-391.53582429885864,-217.0833020210266,0.5085959885386819
35,0,0,26195,-391.53582429885864,-217.0833020210266,0.5085959885386819
36,1,0,32149,-391.53582429885864,-217.0833020210266,0.5085959885386819
37,1,0,26287,-391.53582429885864,-217.0833020210266,0.5085959885386819
38,1,0,6425,-391.53582429885864,-217.0833020210266,0.5085959885386819
39,1,0,29009,-391.53582429885864,-217.0833020210266,0.5085959885386819
40,1,0,22576,-391.53582429885864,-217.0833020210266,0.5085959885386819
41,1,0,32196,-391.53582429885864,-217.0833020210266,0.5085959885386819
42,0,0,47458,-391.53582429885864,-217.0833020210266,0.5085959885386819
43,1,0,49264,-391.53582429885864,-217.0833020210266,0.5085959885386819
44,1,29,1641,-391.53582429885864,-217.0833020210266,0.5085959885386819
45,1,0,6203,-391.53582429885864,-217.0833020210266,0.5085959885386819
46,1,0,32164,-391.53582429885864,-217.0833020210266,0.5085959885386819
47,0,0,13897,-391.53582429885864,-217.0833020210266,0.5085959885386819
48,1,0,28785,-391.53582429885864,-217.0833020210266,0.5085959885386819
49,1,0,37869,-391.53582429885864,-217.0833020210266,0.5085959885386819
50,1,0,16862,-391.53582429885864,-217.0833020210266,0.5085959885386819
51,1,0,29640,-391.53582429885864,-217.0833020210266,0.5085959885386819
52,0,0,37192,-391.53582429885864,-217.0833020210266,0.5085959885386819
53,1,0,37191,-391.53582429885864,-217.0833020210266,0.5085959885386819
54,1,0,5073,-391.53582429885864,-217.0833020210266,0.5085959885386819
55,1,0,41037,-391.53582429885864,-217.0833020210266,0.5085959885386819
56,1,0,6530,-391.53582429885864,-217.0833020210266,0.5085959885386819
57,0,0,44067,-391.53582429885864,-217.0833020210266,0.5085959885386819
58,0,0,22558,-391.53582429885864,-217.0833020210266,0.5085959885386819
59,0,0,26271,-391.53582429885864,-217.0833020210266,0.5085959885386819
60,1,0,18356,-391.53582429885864,-217.0833020210266,0.5085959885386819
61,1,0,46016,-391.53582429885864,-217.0833020210266,0.5085959885386819
62,1,0,32508,-391.53582429885864,-217.0833020210266,0.5085959885386819
63,1,0,22563,-391.53582429885864,-217.0833020210266,0.5085959885386819
64,1,0,47715,-391.53582429885864,-217.0833020210266,0.5085959885386819
65,1,0,10926,-391.53582429885864,-217.0833020210266,0.5085959885386819
66,0,0,29567,-391.53582429885864,-217.0833020210266,0.5085959885386819
67,1,0,143,-391.53582429885864,-217.0833020210266,0.5085959885386819
68,1,0,11014,-391.53582429885864,-217.0833020210266,0.5085959885386819
69,1,0,22565,-391.53582429885864,-217.0833020210266,0.5085959885386819
70,0,0,41035,-391.53582429885864,-217.0833020210266,0.5085959885386819
71,1,0,46012,-391.53582429885864,-217.0833020210266,0.5085959885386819
72,1,0,22566,-391.53582429885864,-217.0833020210266,0.5085959885386819
73,1,0,43751,-391.53582429885864,-217.0833020210266,0.5085959885386819
74,1,0,41034,-391.53582429885864,-217.0833020210266,0.5085959885386819
75,1,0,3423,-391.53582429885864,-217.0833020210266,0.5085959885386819
76,1,0,22567,-391.53582429885864,-217.0833020210266,0.5085959885386819
77,1,0,32501,-391.53582429885864,-217.0833020210266,0.5085959885386819
78,0,0,43729,-391.53582429885864,-217.0833020210266,0.5085959885386819
79,1,0,4204,-391.53582429885864,-217.0833020210266,0.5085959885386819
80,1,0,32481,-391.53582429885864,-217.0833020210266,0.5085959885386819
81,0,0,3430,-391.53582429885864,-217.0833020210266,0.5085959885386819
82,1,0,18416,-391.53582429885864,-217.0833020210266,0.5085959885386819
83,1,0,17089,-391.53582429885864,-217.0833020210266,0.5085959885386819
84,0,0,22573,-391.53582429885864,-217.0833020210266,0.5085959885386819
85,1,0,32468,-391.53582429885864,-217.0833020210266,0.5085959885386819
86,0,0,657,-391.53582429885864,-217.0833020210266,0.5085959885386819
87,1,0,37301,-391.53582429885864,-217.0833020210266,0.5085959885386819
88,1,0,18182,-391.53582429885864,-217.0833020210266,0.5085959885386819
89,1,0,37299,-391.53582429885864,-217.0833020210266,0.5085959885386819
90,1,0,29253,-391.53582429885864,-217.0833020210266,0.5085959885386819
91,1,0,46009,-391.53582429885864,-217.0833020210266,0.5085959885386819
92,1,0,9088,-391.53582429885864,-217.0833020210266,0.5085959885386819
93,1,0,13208,-391.53582429885864,-217.0833020210266,0.5085959885386819
94,1,0,16962,-391.53582429885864,-217.0833020210266,0.5085959885386819
95,1,0,11549,-391.53582429885864,-217.0833020210266,0.5085959885386819
96,1,0,13423,-391.53582429885864,-217.0833020210266,0.5085959885386819
97,1,0,41030,-391.53582429885864,-217.0833020210266,0.5085959885386819
98,1,0,387,-391.53582429885864,-217.0833020210266,0.5085959885386819
99,1,0,16951,-391.53582429885864,-217.0833020210266,0.5085959885386819
100,1,0,9083,-391.53582429885864,-217.0833020210266,0.5085959885386819
101,1,0,37861,-391.53582429885864,-217.0833020210266,0.5085959885386819
102,1,0,37312,-391.53582429885864,-217.0833020210266,0.5085959885386819
103,1,0,17021,-391.53582429885864,-217.0833020210266,0.5085959885386819
104,1,0,17006,-391.53582429885864,-217.0833020210266,0.5085959885386819
105,1,0,6270,-391.53582429885864,-217.0833020210266,0.5085959885386819
106,1,0,5228,-391.53582429885864,-217.0833020210266,0.5085959885386819
107,1,0,29522,-391.53582429885864,-217.0833020210266,0.5085959885386819
108,1,0,11397,-391.53582429885864,-217.0833020210266,0.5085959885386819
109,1,0,3479,-391.53582429885864,-217.0833020210266,0.5085959885386819
110,1,0,17989,-391.53582429885864,-217.0833020210266,0.5085959885386819
111,1,0,22638,-391.53582429885864,-217.0833020210266,0.5085959885386819
112,1,0,6249,-391.53582429885864,-217.0833020210266,0.5085959885386819
113,1,0,29546,-391.53582429885864,-217.0833020210266,0.5085959885386819
114,1,0,29558,-391.53582429885864,-217.0833020210266,0.5085959885386819
115,1,0,13354,-391.53582429885864,-217.0833020210266,0.5085959885386819
116,1,0,22641,-391.53582429885864,-217.0833020210266,0.5085959885386819
117,1,0,41054,-391.53582429885864,-217.0833020210266,0.5085959885386819
118,0,0,49061,-391.53582429885864,-217.0833020210266,0.5085959885386819
119,1,0,41026,-391.53582429885864,-217.0833020210266,0.5085959885386819
120,1,0,37251,-391.53582429885864,-217.0833020210266,0.5085959885386819
121,0,0,47294,-391.53582429885864,-217.0833020210266,0.5085959885386819
122,1,0,11148,-391.53582429885864,-217.0833020210266,0.5085959885386819
123,1,0,32465,-391.53582429885864,-217.0833020210266,0.5085959885386819
124,1,0,29564,-391.53582429885864,-217.0833020210266,0.5085959885386819
125,1,0,37250,-391.53582429885864,-217.0833020210266,0.5085959885386819
126,1,0,37249,-391.53582429885864,-217.0833020210266,0.5085959885386819
127,1,0,43597,-391.53582429885864,-217.0833020210266,0.5085959885386819
128,0,0,48493,-391.53582429885864,-217.0833020210266,0.5085959885386819
129,1,0,26013,-391.53582429885864,-217.0833020210266,0.5085959885386819
130,1,0,11162,-391.53582429885864,-217.0833020210266,0.5085959885386819
131,1,0,1211,-391.53582429885864,-217.0833020210266,0.5085959885386819
132,1,0,13405,-391.53582429885864,-217.0833020210266,0.5085959885386819
133,1,0,341,-391.53582429885864,-217.0833020210266,0.5085959885386819
