,right,cam,ctm,cam_time,ctm_time,rate
0,1,0,50000,-303.2089490890503,-197.28247117996216,1.0
1,1,0,16676,-303.2089490890503,-197.28247117996216,1.0
2,1,0,16675,-303.2089490890503,-197.28247117996216,1.0
3,0,0,16674,-303.2089490890503,-197.28247117996216,1.0
4,1,0,16673,-303.2089490890503,-197.28247117996216,1.0
5,1,0,16672,-303.2089490890503,-197.28247117996216,1.0
6,1,0,16671,-303.2089490890503,-197.28247117996216,1.0
7,1,0,16670,-303.2089490890503,-197.28247117996216,1.0
8,1,0,16669,-303.2089490890503,-197.28247117996216,1.0
9,1,0,16668,-303.2089490890503,-197.28247117996216,1.0
10,1,0,16667,-303.2089490890503,-197.28247117996216,1.0
11,1,0,16666,-303.2089490890503,-197.28247117996216,1.0
12,1,0,16665,-303.2089490890503,-197.28247117996216,1.0
13,1,0,16664,-303.2089490890503,-197.28247117996216,1.0
14,1,0,16663,-303.2089490890503,-197.28247117996216,1.0
15,1,0,16662,-303.2089490890503,-197.28247117996216,1.0
16,1,0,16661,-303.2089490890503,-197.28247117996216,1.0
17,1,0,16660,-303.2089490890503,-197.28247117996216,1.0
18,1,0,16659,-303.2089490890503,-197.28247117996216,1.0
19,1,0,16658,-303.2089490890503,-197.28247117996216,1.0
20,1,0,16657,-303.2089490890503,-197.28247117996216,1.0
21,1,0,16656,-303.2089490890503,-197.28247117996216,1.0
22,1,0,16677,-303.2089490890503,-197.28247117996216,1.0
23,1,0,16678,-303.2089490890503,-197.28247117996216,1.0
24,0,0,16679,-303.2089490890503,-197.28247117996216,1.0
25,0,0,16691,-303.2089490890503,-197.28247117996216,1.0
26,1,0,16700,-303.2089490890503,-197.28247117996216,1.0
27,1,0,16699,-303.2089490890503,-197.28247117996216,1.0
28,1,0,16698,-303.2089490890503,-197.28247117996216,1.0
29,1,0,16697,-303.2089490890503,-197.28247117996216,1.0
30,1,0,16696,-303.2089490890503,-197.28247117996216,1.0
31,1,0,16695,-303.2089490890503,-197.28247117996216,1.0
32,1,0,16694,-303.2089490890503,-197.28247117996216,1.0
33,1,0,16693,-303.2089490890503,-197.28247117996216,1.0
34,1,0,16692,-303.2089490890503,-197.28247117996216,1.0
35,0,0,16690,-303.2089490890503,-197.28247117996216,1.0
36,1,0,16680,-303.2089490890503,-197.28247117996216,1.0
37,1,0,16689,-303.2089490890503,-197.28247117996216,1.0
38,1,0,16688,-303.2089490890503,-197.28247117996216,1.0
39,1,0,16687,-303.2089490890503,-197.28247117996216,1.0
40,1,0,16686,-303.2089490890503,-197.28247117996216,1.0
41,1,0,16685,-303.2089490890503,-197.28247117996216,1.0
42,0,0,16684,-303.2089490890503,-197.28247117996216,1.0
43,1,0,16683,-303.2089490890503,-197.28247117996216,1.0
44,1,0,16682,-303.2089490890503,-197.28247117996216,1.0
45,1,0,16681,-303.2089490890503,-197.28247117996216,1.0
46,1,0,16655,-303.2089490890503,-197.28247117996216,1.0
47,0,0,16653,-303.2089490890503,-197.28247117996216,1.0
48,1,0,16606,-303.2089490890503,-197.28247117996216,1.0
49,1,0,16652,-303.2089490890503,-197.28247117996216,1.0
50,1,0,16627,-303.2089490890503,-197.28247117996216,1.0
