,right,cam,ctm,cam_time,ctm_time,rate
0,1,0,50000,-1366.2601821422577,-351.0239713191986,0.25429799426934097
1,1,0,16916,-1366.2601821422577,-351.0239713191986,0.25429799426934097
2,1,0,16915,-1366.2601821422577,-351.0239713191986,0.25429799426934097
3,0,0,16914,-1366.2601821422577,-351.0239713191986,0.25429799426934097
4,1,0,16913,-1366.2601821422577,-351.0239713191986,0.25429799426934097
5,1,0,16912,-1366.2601821422577,-351.0239713191986,0.25429799426934097
6,1,0,16911,-1366.2601821422577,-351.0239713191986,0.25429799426934097
7,1,0,16910,-1366.2601821422577,-351.0239713191986,0.25429799426934097
8,1,0,16909,-1366.2601821422577,-351.0239713191986,0.25429799426934097
9,1,0,16908,-1366.2601821422577,-351.0239713191986,0.25429799426934097
10,1,0,16907,-1366.2601821422577,-351.0239713191986,0.25429799426934097
11,1,0,16906,-1366.2601821422577,-351.0239713191986,0.25429799426934097
12,1,0,16905,-1366.2601821422577,-351.0239713191986,0.25429799426934097
13,1,0,16904,-1366.2601821422577,-351.0239713191986,0.25429799426934097
14,1,0,16903,-1366.2601821422577,-351.0239713191986,0.25429799426934097
15,1,0,16902,-1366.2601821422577,-351.0239713191986,0.25429799426934097
16,1,0,16901,-1366.2601821422577,-351.0239713191986,0.25429799426934097
17,1,0,16900,-1366.2601821422577,-351.0239713191986,0.25429799426934097
18,1,0,16899,-1366.2601821422577,-351.0239713191986,0.25429799426934097
19,1,0,16898,-1366.2601821422577,-351.0239713191986,0.25429799426934097
20,1,0,16897,-1366.2601821422577,-351.0239713191986,0.25429799426934097
21,1,0,16896,-1366.2601821422577,-351.0239713191986,0.25429799426934097
22,1,35,579,-1366.2601821422577,-351.0239713191986,0.25429799426934097
23,1,0,16917,-1366.2601821422577,-351.0239713191986,0.25429799426934097
24,0,0,16918,-1366.2601821422577,-351.0239713191986,0.25429799426934097
25,0,0,16919,-1366.2601821422577,-351.0239713191986,0.25429799426934097
26,1,0,16931,-1366.2601821422577,-351.0239713191986,0.25429799426934097
27,1,0,16940,-1366.2601821422577,-351.0239713191986,0.25429799426934097
28,1,0,16939,-1366.2601821422577,-351.0239713191986,0.25429799426934097
29,1,0,16938,-1366.2601821422577,-351.0239713191986,0.25429799426934097
30,1,0,16937,-1366.2601821422577,-351.0239713191986,0.25429799426934097
31,1,0,16936,-1366.2601821422577,-351.0239713191986,0.25429799426934097
32,1,0,16935,-1366.2601821422577,-351.0239713191986,0.25429799426934097
33,1,0,16934,-1366.2601821422577,-351.0239713191986,0.25429799426934097
34,1,0,16933,-1366.2601821422577,-351.0239713191986,0.25429799426934097
35,0,0,16932,-1366.2601821422577,-351.0239713191986,0.25429799426934097
36,1,0,16930,-1366.2601821422577,-351.0239713191986,0.25429799426934097
37,1,0,16920,-1366.2601821422577,-351.0239713191986,0.25429799426934097
38,1,0,16929,-1366.2601821422577,-351.0239713191986,0.25429799426934097
39,1,0,16928,-1366.2601821422577,-351.0239713191986,0.25429799426934097
40,1,0,16927,-1366.2601821422577,-351.0239713191986,0.25429799426934097
41,1,0,16926,-1366.2601821422577,-351.0239713191986,0.25429799426934097
42,0,0,16925,-1366.2601821422577,-351.0239713191986,0.25429799426934097
43,1,0,16924,-1366.2601821422577,-351.0239713191986,0.25429799426934097
44,1,0,16923,-1366.2601821422577,-351.0239713191986,0.25429799426934097
45,1,0,16922,-1366.2601821422577,-351.0239713191986,0.25429799426934097
46,1,0,16921,-1366.2601821422577,-351.0239713191986,0.25429799426934097
47,0,0,16895,-1366.2601821422577,-351.0239713191986,0.25429799426934097
48,1,0,16893,-1366.2601821422577,-351.0239713191986,0.25429799426934097
49,1,0,16846,-1366.2601821422577,-351.0239713191986,0.25429799426934097
50,1,0,16892,-1366.2601821422577,-351.0239713191986,0.25429799426934097
51,1,0,16867,-1366.2601821422577,-351.0239713191986,0.25429799426934097
52,0,0,16866,-1366.2601821422577,-351.0239713191986,0.25429799426934097
53,1,0,16865,-1366.2601821422577,-351.0239713191986,0.25429799426934097
54,1,0,16864,-1366.2601821422577,-351.0239713191986,0.25429799426934097
55,1,0,16863,-1366.2601821422577,-351.0239713191986,0.25429799426934097
56,1,0,16862,-1366.2601821422577,-351.0239713191986,0.25429799426934097
57,0,0,16861,-1366.2601821422577,-351.0239713191986,0.25429799426934097
58,0,0,16860,-1366.2601821422577,-351.0239713191986,0.25429799426934097
59,0,0,16859,-1366.2601821422577,-351.0239713191986,0.25429799426934097
60,1,0,16858,-1366.2601821422577,-351.0239713191986,0.25429799426934097
61,1,0,16857,-1366.2601821422577,-351.0239713191986,0.25429799426934097
62,1,0,16856,-1366.2601821422577,-351.0239713191986,0.25429799426934097
63,1,0,16855,-1366.2601821422577,-351.0239713191986,0.25429799426934097
64,1,0,16854,-1366.2601821422577,-351.0239713191986,0.25429799426934097
65,1,0,16853,-1366.2601821422577,-351.0239713191986,0.25429799426934097
66,0,0,16852,-1366.2601821422577,-351.0239713191986,0.25429799426934097
67,1,0,16851,-1366.2601821422577,-351.0239713191986,0.25429799426934097
68,1,0,16850,-1366.2601821422577,-351.0239713191986,0.25429799426934097
69,1,0,16849,-1366.2601821422577,-351.0239713191986,0.25429799426934097
70,0,0,16848,-1366.2601821422577,-351.0239713191986,0.25429799426934097
71,1,0,16847,-1366.2601821422577,-351.0239713191986,0.25429799426934097
72,1,0,16868,-1366.2601821422577,-351.0239713191986,0.25429799426934097
73,1,0,16869,-1366.2601821422577,-351.0239713191986,0.25429799426934097
74,1,0,16870,-1366.2601821422577,-351.0239713191986,0.25429799426934097
75,1,0,16882,-1366.2601821422577,-351.0239713191986,0.25429799426934097
76,1,0,16891,-1366.2601821422577,-351.0239713191986,0.25429799426934097
77,1,0,16890,-1366.2601821422577,-351.0239713191986,0.25429799426934097
78,0,0,16889,-1366.2601821422577,-351.0239713191986,0.25429799426934097
79,1,0,16888,-1366.2601821422577,-351.0239713191986,0.25429799426934097
80,1,0,16887,-1366.2601821422577,-351.0239713191986,0.25429799426934097
81,0,0,16886,-1366.2601821422577,-351.0239713191986,0.25429799426934097
82,1,0,16885,-1366.2601821422577,-351.0239713191986,0.25429799426934097
83,1,0,16884,-1366.2601821422577,-351.0239713191986,0.25429799426934097
84,0,0,16883,-1366.2601821422577,-351.0239713191986,0.25429799426934097
85,1,0,16881,-1366.2601821422577,-351.0239713191986,0.25429799426934097
86,0,0,16871,-1366.2601821422577,-351.0239713191986,0.25429799426934097
87,1,0,16880,-1366.2601821422577,-351.0239713191986,0.25429799426934097
88,1,0,16879,-1366.2601821422577,-351.0239713191986,0.25429799426934097
89,1,0,16878,-1366.2601821422577,-351.0239713191986,0.25429799426934097
90,1,0,16877,-1366.2601821422577,-351.0239713191986,0.25429799426934097
91,1,0,16876,-1366.2601821422577,-351.0239713191986,0.25429799426934097
92,1,0,16875,-1366.2601821422577,-351.0239713191986,0.25429799426934097
93,1,0,16874,-1366.2601821422577,-351.0239713191986,0.25429799426934097
94,1,0,16873,-1366.2601821422577,-351.0239713191986,0.25429799426934097
95,1,0,16872,-1366.2601821422577,-351.0239713191986,0.25429799426934097
96,1,0,16941,-1366.2601821422577,-351.0239713191986,0.25429799426934097
97,1,0,16942,-1366.2601821422577,-351.0239713191986,0.25429799426934097
98,1,0,16943,-1366.2601821422577,-351.0239713191986,0.25429799426934097
99,1,0,16944,-1366.2601821422577,-351.0239713191986,0.25429799426934097
