,right,cam,ctm,cam_time,ctm_time,rate
0,1,0,10000,-829.7328939437866,-74.92602777481079,0.10243553008595989
1,1,0,3381,-829.7328939437866,-74.92602777481079,0.10243553008595989
2,1,0,3380,-829.7328939437866,-74.92602777481079,0.10243553008595989
3,0,0,3379,-829.7328939437866,-74.92602777481079,0.10243553008595989
4,1,0,3378,-829.7328939437866,-74.92602777481079,0.10243553008595989
5,1,0,3377,-829.7328939437866,-74.92602777481079,0.10243553008595989
6,1,0,3376,-829.7328939437866,-74.92602777481079,0.10243553008595989
7,1,0,3375,-829.7328939437866,-74.92602777481079,0.10243553008595989
8,1,0,3373,-829.7328939437866,-74.92602777481079,0.10243553008595989
9,1,0,3365,-829.7328939437866,-74.92602777481079,0.10243553008595989
10,1,0,3372,-829.7328939437866,-74.92602777481079,0.10243553008595989
11,1,0,3371,-829.7328939437866,-74.92602777481079,0.10243553008595989
12,1,0,3370,-829.7328939437866,-74.92602777481079,0.10243553008595989
13,1,0,3369,-829.7328939437866,-74.92602777481079,0.10243553008595989
14,1,0,3368,-829.7328939437866,-74.92602777481079,0.10243553008595989
15,1,0,3367,-829.7328939437866,-74.92602777481079,0.10243553008595989
16,1,0,3366,-829.7328939437866,-74.92602777481079,0.10243553008595989
17,1,0,3382,-829.7328939437866,-74.92602777481079,0.10243553008595989
18,1,0,3383,-829.7328939437866,-74.92602777481079,0.10243553008595989
19,1,0,3384,-829.7328939437866,-74.92602777481079,0.10243553008595989
20,1,0,3385,-829.7328939437866,-74.92602777481079,0.10243553008595989
21,1,0,3400,-829.7328939437866,-74.92602777481079,0.10243553008595989
22,1,26,108,-829.7328939437866,-74.92602777481079,0.10243553008595989
23,1,0,3399,-829.7328939437866,-74.92602777481079,0.10243553008595989
24,0,0,3398,-829.7328939437866,-74.92602777481079,0.10243553008595989
25,0,0,3397,-829.7328939437866,-74.92602777481079,0.10243553008595989
26,1,0,3396,-829.7328939437866,-74.92602777481079,0.10243553008595989
27,1,0,3395,-829.7328939437866,-74.92602777481079,0.10243553008595989
28,1,0,3394,-829.7328939437866,-74.92602777481079,0.10243553008595989
29,1,0,3393,-829.7328939437866,-74.92602777481079,0.10243553008595989
30,1,0,3392,-829.7328939437866,-74.92602777481079,0.10243553008595989
31,1,0,3391,-829.7328939437866,-74.92602777481079,0.10243553008595989
32,1,0,3390,-829.7328939437866,-74.92602777481079,0.10243553008595989
33,1,0,3389,-829.7328939437866,-74.92602777481079,0.10243553008595989
34,1,0,3388,-829.7328939437866,-74.92602777481079,0.10243553008595989
35,0,0,3387,-829.7328939437866,-74.92602777481079,0.10243553008595989
36,1,0,3386,-829.7328939437866,-74.92602777481079,0.10243553008595989
37,1,0,3374,-829.7328939437866,-74.92602777481079,0.10243553008595989
38,1,0,3363,-829.7328939437866,-74.92602777481079,0.10243553008595989
39,1,0,3335,-829.7328939437866,-74.92602777481079,0.10243553008595989
40,1,0,3362,-829.7328939437866,-74.92602777481079,0.10243553008595989
41,1,0,3342,-829.7328939437866,-74.92602777481079,0.10243553008595989
42,0,0,3341,-829.7328939437866,-74.92602777481079,0.10243553008595989
43,1,0,3340,-829.7328939437866,-74.92602777481079,0.10243553008595989
44,1,0,3339,-829.7328939437866,-74.92602777481079,0.10243553008595989
45,1,0,3338,-829.7328939437866,-74.92602777481079,0.10243553008595989
46,1,0,3337,-829.7328939437866,-74.92602777481079,0.10243553008595989
47,0,0,3336,-829.7328939437866,-74.92602777481079,0.10243553008595989
48,1,0,3334,-829.7328939437866,-74.92602777481079,0.10243553008595989
49,1,0,3326,-829.7328939437866,-74.92602777481079,0.10243553008595989
50,1,0,3333,-829.7328939437866,-74.92602777481079,0.10243553008595989
51,1,0,3332,-829.7328939437866,-74.92602777481079,0.10243553008595989
52,0,0,3331,-829.7328939437866,-74.92602777481079,0.10243553008595989
53,1,0,3330,-829.7328939437866,-74.92602777481079,0.10243553008595989
54,1,0,3329,-829.7328939437866,-74.92602777481079,0.10243553008595989
55,1,0,3328,-829.7328939437866,-74.92602777481079,0.10243553008595989
