,right,cam,ctm,rate,cam_time,ctm_time
0,1,0,3750,0.372,-18.240522146224976,-18.22950005531311
1,1,0,8742,0.372,-18.240522146224976,-18.22950005531311
2,1,16,7699,0.372,-18.240522146224976,-18.22950005531311
3,1,30,6370,0.372,-18.240522146224976,-18.22950005531311
4,1,0,3130,0.372,-18.240522146224976,-18.22950005531311
5,1,0,6130,0.372,-18.240522146224976,-18.22950005531311
6,1,0,107,0.372,-18.240522146224976,-18.22950005531311
7,1,0,5861,0.372,-18.240522146224976,-18.22950005531311
8,1,97,1932,0.372,-18.240522146224976,-18.22950005531311
9,1,0,5565,0.372,-18.240522146224976,-18.22950005531311
10,1,0,7021,0.372,-18.240522146224976,-18.22950005531311
11,1,0,7404,0.372,-18.240522146224976,-18.22950005531311
12,1,0,1401,0.372,-18.240522146224976,-18.22950005531311
13,1,0,9332,0.372,-18.240522146224976,-18.22950005531311
14,1,0,7495,0.372,-18.240522146224976,-18.22950005531311
15,1,0,8699,0.372,-18.240522146224976,-18.22950005531311
16,1,0,3937,0.372,-18.240522146224976,-18.22950005531311
17,1,0,8900,0.372,-18.240522146224976,-18.22950005531311
18,1,0,9638,0.372,-18.240522146224976,-18.22950005531311
19,1,0,5982,0.372,-18.240522146224976,-18.22950005531311
20,0,0,1416,0.372,-18.240522146224976,-18.22950005531311
21,1,0,968,0.372,-18.240522146224976,-18.22950005531311
22,1,73,2276,0.372,-18.240522146224976,-18.22950005531311
23,1,0,7310,0.372,-18.240522146224976,-18.22950005531311
24,0,0,3832,0.372,-18.240522146224976,-18.22950005531311
25,0,0,869,0.372,-18.240522146224976,-18.22950005531311
26,1,57,2636,0.372,-18.240522146224976,-18.22950005531311
27,1,0,6559,0.372,-18.240522146224976,-18.22950005531311
28,1,0,7557,0.372,-18.240522146224976,-18.22950005531311
29,1,0,5916,0.372,-18.240522146224976,-18.22950005531311
30,1,0,4951,0.372,-18.240522146224976,-18.22950005531311
31,1,0,3666,0.372,-18.240522146224976,-18.22950005531311
32,1,85,2092,0.372,-18.240522146224976,-18.22950005531311
33,1,0,4105,0.372,-18.240522146224976,-18.22950005531311
34,1,0,7203,0.372,-18.240522146224976,-18.22950005531311
35,0,0,311,0.372,-18.240522146224976,-18.22950005531311
36,1,245,1568,0.372,-18.240522146224976,-18.22950005531311
37,0,59,2549,0.372,-18.240522146224976,-18.22950005531311
38,1,0,7234,0.372,-18.240522146224976,-18.22950005531311
39,1,0,4173,0.372,-18.240522146224976,-18.22950005531311
40,1,0,4966,0.372,-18.240522146224976,-18.22950005531311
41,1,0,6062,0.372,-18.240522146224976,-18.22950005531311
42,0,148,1716,0.372,-18.240522146224976,-18.22950005531311
43,1,0,5988,0.372,-18.240522146224976,-18.22950005531311
44,1,0,5150,0.372,-18.240522146224976,-18.22950005531311
45,1,0,7515,0.372,-18.240522146224976,-18.22950005531311
46,1,0,4511,0.372,-18.240522146224976,-18.22950005531311
47,0,0,93,0.372,-18.240522146224976,-18.22950005531311
48,1,0,8978,0.372,-18.240522146224976,-18.22950005531311
49,1,0,5614,0.372,-18.240522146224976,-18.22950005531311
50,1,0,7547,0.372,-18.240522146224976,-18.22950005531311
51,1,0,9507,0.372,-18.240522146224976,-18.22950005531311
52,1,109,1851,0.372,-18.240522146224976,-18.22950005531311
53,0,0,1303,0.372,-18.240522146224976,-18.22950005531311
54,1,0,8189,0.372,-18.240522146224976,-18.22950005531311
55,1,0,9883,0.372,-18.240522146224976,-18.22950005531311
56,1,0,8964,0.372,-18.240522146224976,-18.22950005531311
57,0,0,755,0.372,-18.240522146224976,-18.22950005531311
58,0,201,1625,0.372,-18.240522146224976,-18.22950005531311
59,1,0,902,0.372,-18.240522146224976,-18.22950005531311
60,1,0,9287,0.372,-18.240522146224976,-18.22950005531311
61,0,89,2020,0.372,-18.240522146224976,-18.22950005531311
62,1,0,6009,0.372,-18.240522146224976,-18.22950005531311
63,1,0,664,0.372,-18.240522146224976,-18.22950005531311
64,1,0,6026,0.372,-18.240522146224976,-18.22950005531311
65,1,0,2853,0.372,-18.240522146224976,-18.22950005531311
66,1,0,8220,0.372,-18.240522146224976,-18.22950005531311
67,1,0,3442,0.372,-18.240522146224976,-18.22950005531311
68,1,0,4422,0.372,-18.240522146224976,-18.22950005531311
69,1,0,8696,0.372,-18.240522146224976,-18.22950005531311
70,1,0,2885,0.372,-18.240522146224976,-18.22950005531311
71,1,38,5355,0.372,-18.240522146224976,-18.22950005531311
72,1,0,9920,0.372,-18.240522146224976,-18.22950005531311
73,1,0,9688,0.372,-18.240522146224976,-18.22950005531311
74,1,103,1884,0.372,-18.240522146224976,-18.22950005531311
75,1,0,3437,0.372,-18.240522146224976,-18.22950005531311
76,1,84,2105,0.372,-18.240522146224976,-18.22950005531311
77,1,86,2076,0.372,-18.240522146224976,-18.22950005531311
78,1,0,906,0.372,-18.240522146224976,-18.22950005531311
79,1,0,9762,0.372,-18.240522146224976,-18.22950005531311
80,1,0,9724,0.372,-18.240522146224976,-18.22950005531311
81,1,18,7662,0.372,-18.240522146224976,-18.22950005531311
82,1,0,8485,0.372,-18.240522146224976,-18.22950005531311
83,1,0,8697,0.372,-18.240522146224976,-18.22950005531311
84,1,0,3111,0.372,-18.240522146224976,-18.22950005531311
85,0,0,8052,0.372,-18.240522146224976,-18.22950005531311
86,0,0,342,0.372,-18.240522146224976,-18.22950005531311
87,0,0,632,0.372,-18.240522146224976,-18.22950005531311
88,1,0,9635,0.372,-18.240522146224976,-18.22950005531311
89,1,0,6676,0.372,-18.240522146224976,-18.22950005531311
90,1,0,6902,0.372,-18.240522146224976,-18.22950005531311
91,1,0,4699,0.372,-18.240522146224976,-18.22950005531311
92,1,0,8248,0.372,-18.240522146224976,-18.22950005531311
93,1,0,5907,0.372,-18.240522146224976,-18.22950005531311
94,1,237,1576,0.372,-18.240522146224976,-18.22950005531311
95,1,0,5658,0.372,-18.240522146224976,-18.22950005531311
96,1,0,5692,0.372,-18.240522146224976,-18.22950005531311
97,1,0,112,0.372,-18.240522146224976,-18.22950005531311
98,1,0,7024,0.372,-18.240522146224976,-18.22950005531311
99,1,0,8768,0.372,-18.240522146224976,-18.22950005531311
100,1,0,4449,0.372,-18.240522146224976,-18.22950005531311
101,1,75,2239,0.372,-18.240522146224976,-18.22950005531311
102,1,0,5466,0.372,-18.240522146224976,-18.22950005531311
103,1,0,4662,0.372,-18.240522146224976,-18.22950005531311
104,1,0,8276,0.372,-18.240522146224976,-18.22950005531311
105,1,0,8340,0.372,-18.240522146224976,-18.22950005531311
106,1,0,4549,0.372,-18.240522146224976,-18.22950005531311
107,1,0,5881,0.372,-18.240522146224976,-18.22950005531311
108,1,0,8946,0.372,-18.240522146224976,-18.22950005531311
109,1,13,7860,0.372,-18.240522146224976,-18.22950005531311
110,1,152,1707,0.372,-18.240522146224976,-18.22950005531311
111,1,0,6867,0.372,-18.240522146224976,-18.22950005531311
112,1,191,1640,0.372,-18.240522146224976,-18.22950005531311
