,right,cam,ctm,rate,cam_time,ctm_time,overtime
0,1,481,2473,,-43411.258904218674,-43411.22018313408,1
1,1,318,12648,,-43411.258904218674,-43411.22018313408,1
2,1,366,10372,,-43411.258904218674,-43411.22018313408,1
3,1,204,14448,,-43411.258904218674,-43411.22018313408,1
4,1,376,9818,,-43411.258904218674,-43411.22018313408,1
5,1,324,12405,,-43411.258904218674,-43411.22018313408,1
6,1,332,12098,,-43411.258904218674,-43411.22018313408,1
7,1,0,7910,,-43411.258904218674,-43411.22018313408,1
8,1,382,9465,,-43411.258904218674,-43411.22018313408,1
9,1,0,9292,,-43411.258904218674,-43411.22018313408,1
10,1,0,7232,,-43411.258904218674,-43411.22018313408,1
11,1,375,9850,,-43411.258904218674,-43411.22018313408,1
12,1,0,7604,,-43411.258904218674,-43411.22018313408,1
13,1,0,12443,,-43411.258904218674,-43411.22018313408,1
14,1,315,12746,,-43411.258904218674,-43411.22018313408,1
15,1,0,5003,,-43411.258904218674,-43411.22018313408,1
16,1,363,10517,,-43411.258904218674,-43411.22018313408,1
17,1,0,8963,,-43411.258904218674,-43411.22018313408,1
18,1,320,12591,,-43411.258904218674,-43411.22018313408,1
19,1,272,13786,,-43411.258904218674,-43411.22018313408,1
20,0,0,4778,,-43411.258904218674,-43411.22018313408,1
21,1,289,13443,,-43411.258904218674,-43411.22018313408,1
22,1,0,5224,,-43411.258904218674,-43411.22018313408,1
23,1,273,13771,,-43411.258904218674,-43411.22018313408,1
24,0,0,6894,,-43411.258904218674,-43411.22018313408,1
25,0,0,3803,,-43411.258904218674,-43411.22018313408,1
26,1,0,3986,,-43411.258904218674,-43411.22018313408,1
27,1,491,2036,,-43411.258904218674,-43411.22018313408,1
28,1,0,7739,,-43411.258904218674,-43411.22018313408,1
29,1,242,14172,,-43411.258904218674,-43411.22018313408,1
30,1,367,10296,,-43411.258904218674,-43411.22018313408,1
31,1,0,13444,,-43411.258904218674,-43411.22018313408,1
32,1,0,6562,,-43411.258904218674,-43411.22018313408,1
33,1,0,2508,,-43411.258904218674,-43411.22018313408,1
34,1,247,14129,,-43411.258904218674,-43411.22018313408,1
35,0,0,3106,,-43411.258904218674,-43411.22018313408,1
36,1,0,6338,,-43411.258904218674,-43411.22018313408,1
37,0,0,6019,,-43411.258904218674,-43411.22018313408,1
38,1,298,13201,,-43411.258904218674,-43411.22018313408,1
39,1,0,10079,,-43411.258904218674,-43411.22018313408,1
40,1,17,15018,,-43411.258904218674,-43411.22018313408,1
41,1,244,14154,,-43411.258904218674,-43411.22018313408,1
42,0,0,4606,,-43411.258904218674,-43411.22018313408,1
43,1,0,8726,,-43411.258904218674,-43411.22018313408,1
44,1,0,9255,,-43411.258904218674,-43411.22018313408,1
45,1,278,13691,,-43411.258904218674,-43411.22018313408,1
46,1,0,9415,,-43411.258904218674,-43411.22018313408,1
47,0,479,2576,,-43411.258904218674,-43411.22018313408,1
48,1,295,13275,,-43411.258904218674,-43411.22018313408,1
49,1,358,10813,,-43411.258904218674,-43411.22018313408,1
50,1,325,12362,,-43411.258904218674,-43411.22018313408,1
51,1,0,9312,,-43411.258904218674,-43411.22018313408,1
52,1,0,6892,,-43411.258904218674,-43411.22018313408,1
53,0,0,5972,,-43411.258904218674,-43411.22018313408,1
54,1,334,11981,,-43411.258904218674,-43411.22018313408,1
55,1,0,13203,,-43411.258904218674,-43411.22018313408,1
56,1,0,5045,,-43411.258904218674,-43411.22018313408,1
57,0,0,6139,,-43411.258904218674,-43411.22018313408,1
58,0,0,8885,,-43411.258904218674,-43411.22018313408,1
59,1,377,9725,,-43411.258904218674,-43411.22018313408,1
60,1,321,12552,,-43411.258904218674,-43411.22018313408,1
61,0,0,6868,,-43411.258904218674,-43411.22018313408,1
62,1,158,14629,,-43411.258904218674,-43411.22018313408,1
63,1,503,1559,,-43411.258904218674,-43411.22018313408,1
64,1,342,11581,,-43411.258904218674,-43411.22018313408,1
65,1,369,10197,,-43411.258904218674,-43411.22018313408,1
66,1,0,9325,,-43411.258904218674,-43411.22018313408,1
67,1,117,14767,,-43411.258904218674,-43411.22018313408,1
68,1,0,8054,,-43411.258904218674,-43411.22018313408,1
69,1,0,7947,,-43411.258904218674,-43411.22018313408,1
70,1,331,12124,,-43411.258904218674,-43411.22018313408,1
71,1,0,8588,,-43411.258904218674,-43411.22018313408,1
72,1,421,6602,,-43411.258904218674,-43411.22018313408,1
73,1,249,14116,,-43411.258904218674,-43411.22018313408,1
74,1,0,9297,,-43411.258904218674,-43411.22018313408,1
75,1,362,10570,,-43411.258904218674,-43411.22018313408,1
76,1,0,5564,,-43411.258904218674,-43411.22018313408,1
