,right,cam,ctm,cam_time,ctm_time,rate
0,1,0,18000,-209.02081823349,-75.09037518501282,0.032587682960508145
1,1,0,6108,-209.02081823349,-75.09037518501282,0.032587682960508145
2,1,0,6107,-209.02081823349,-75.09037518501282,0.032587682960508145
3,1,0,6106,-209.02081823349,-75.09037518501282,0.032587682960508145
4,1,0,6105,-209.02081823349,-75.09037518501282,0.032587682960508145
5,1,0,6104,-209.02081823349,-75.09037518501282,0.032587682960508145
6,1,0,6103,-209.02081823349,-75.09037518501282,0.032587682960508145
7,1,0,6102,-209.02081823349,-75.09037518501282,0.032587682960508145
8,1,0,6101,-209.02081823349,-75.09037518501282,0.032587682960508145
9,1,0,6100,-209.02081823349,-75.09037518501282,0.032587682960508145
10,1,0,6099,-209.02081823349,-75.09037518501282,0.032587682960508145
11,1,0,6098,-209.02081823349,-75.09037518501282,0.032587682960508145
12,1,0,6097,-209.02081823349,-75.09037518501282,0.032587682960508145
13,1,0,6096,-209.02081823349,-75.09037518501282,0.032587682960508145
14,1,0,6095,-209.02081823349,-75.09037518501282,0.032587682960508145
15,1,0,6094,-209.02081823349,-75.09037518501282,0.032587682960508145
16,1,0,6093,-209.02081823349,-75.09037518501282,0.032587682960508145
17,1,0,6092,-209.02081823349,-75.09037518501282,0.032587682960508145
18,1,0,6078,-209.02081823349,-75.09037518501282,0.032587682960508145
19,1,0,6079,-209.02081823349,-75.09037518501282,0.032587682960508145
20,0,0,6080,-209.02081823349,-75.09037518501282,0.032587682960508145
21,1,0,6081,-209.02081823349,-75.09037518501282,0.032587682960508145
22,1,0,6082,-209.02081823349,-75.09037518501282,0.032587682960508145
23,1,0,6083,-209.02081823349,-75.09037518501282,0.032587682960508145
24,0,0,6077,-209.02081823349,-75.09037518501282,0.032587682960508145
25,0,0,6084,-209.02081823349,-75.09037518501282,0.032587682960508145
26,1,0,6086,-209.02081823349,-75.09037518501282,0.032587682960508145
27,1,0,6087,-209.02081823349,-75.09037518501282,0.032587682960508145
