,right,cam,ctm,cam_time,ctm_time,rate
0,1,0,18000,-222.75445008277893,-77.71827173233032,0.103976801988401
1,1,0,6179,-222.75445008277893,-77.71827173233032,0.103976801988401
2,1,0,6178,-222.75445008277893,-77.71827173233032,0.103976801988401
3,1,0,6177,-222.75445008277893,-77.71827173233032,0.103976801988401
4,1,0,6176,-222.75445008277893,-77.71827173233032,0.103976801988401
5,1,0,6175,-222.75445008277893,-77.71827173233032,0.103976801988401
6,1,0,6174,-222.75445008277893,-77.71827173233032,0.103976801988401
7,1,0,6173,-222.75445008277893,-77.71827173233032,0.103976801988401
8,1,0,6172,-222.75445008277893,-77.71827173233032,0.103976801988401
9,1,0,6171,-222.75445008277893,-77.71827173233032,0.103976801988401
10,1,0,6170,-222.75445008277893,-77.71827173233032,0.103976801988401
11,1,0,6169,-222.75445008277893,-77.71827173233032,0.103976801988401
12,1,0,6168,-222.75445008277893,-77.71827173233032,0.103976801988401
13,1,0,6167,-222.75445008277893,-77.71827173233032,0.103976801988401
14,1,0,6166,-222.75445008277893,-77.71827173233032,0.103976801988401
15,1,0,6165,-222.75445008277893,-77.71827173233032,0.103976801988401
16,1,0,6164,-222.75445008277893,-77.71827173233032,0.103976801988401
17,1,0,6163,-222.75445008277893,-77.71827173233032,0.103976801988401
18,1,0,6149,-222.75445008277893,-77.71827173233032,0.103976801988401
19,1,0,6150,-222.75445008277893,-77.71827173233032,0.103976801988401
20,0,0,6151,-222.75445008277893,-77.71827173233032,0.103976801988401
21,1,0,6152,-222.75445008277893,-77.71827173233032,0.103976801988401
22,1,0,6153,-222.75445008277893,-77.71827173233032,0.103976801988401
23,1,0,6154,-222.75445008277893,-77.71827173233032,0.103976801988401
24,0,0,6148,-222.75445008277893,-77.71827173233032,0.103976801988401
25,0,0,6155,-222.75445008277893,-77.71827173233032,0.103976801988401
26,1,0,6157,-222.75445008277893,-77.71827173233032,0.103976801988401
27,1,0,6158,-222.75445008277893,-77.71827173233032,0.103976801988401
28,1,0,6159,-222.75445008277893,-77.71827173233032,0.103976801988401
29,1,0,6160,-222.75445008277893,-77.71827173233032,0.103976801988401
30,1,0,6161,-222.75445008277893,-77.71827173233032,0.103976801988401
31,1,0,6162,-222.75445008277893,-77.71827173233032,0.103976801988401
32,1,0,6180,-222.75445008277893,-77.71827173233032,0.103976801988401
33,1,0,6181,-222.75445008277893,-77.71827173233032,0.103976801988401
34,1,0,6182,-222.75445008277893,-77.71827173233032,0.103976801988401
35,0,0,6199,-222.75445008277893,-77.71827173233032,0.103976801988401
36,1,0,6213,-222.75445008277893,-77.71827173233032,0.103976801988401
37,0,0,6212,-222.75445008277893,-77.71827173233032,0.103976801988401
38,1,0,6211,-222.75445008277893,-77.71827173233032,0.103976801988401
39,1,0,6210,-222.75445008277893,-77.71827173233032,0.103976801988401
40,1,0,6209,-222.75445008277893,-77.71827173233032,0.103976801988401
41,1,0,6208,-222.75445008277893,-77.71827173233032,0.103976801988401
42,0,0,6207,-222.75445008277893,-77.71827173233032,0.103976801988401
43,1,0,6206,-222.75445008277893,-77.71827173233032,0.103976801988401
44,1,0,6205,-222.75445008277893,-77.71827173233032,0.103976801988401
45,1,0,6204,-222.75445008277893,-77.71827173233032,0.103976801988401
