,right,cam,ctm,cam_time,ctm_time,rate
0,1,0,0,-903.5046253204346,,0.48784866059099696
1,1,531,0,-903.5046253204346,,0.48784866059099696
2,1,0,0,-903.5046253204346,,0.48784866059099696
3,1,0,0,-903.5046253204346,,0.48784866059099696
4,1,0,0,-903.5046253204346,,0.48784866059099696
5,1,0,0,-903.5046253204346,,0.48784866059099696
6,1,0,0,-903.5046253204346,,0.48784866059099696
7,1,0,0,-903.5046253204346,,0.48784866059099696
8,1,0,0,-903.5046253204346,,0.48784866059099696
9,1,0,0,-903.5046253204346,,0.48784866059099696
10,1,0,0,-903.5046253204346,,0.48784866059099696
11,1,0,0,-903.5046253204346,,0.48784866059099696
12,1,0,0,-903.5046253204346,,0.48784866059099696
13,1,355,0,-903.5046253204346,,0.48784866059099696
14,1,0,0,-903.5046253204346,,0.48784866059099696
15,1,0,0,-903.5046253204346,,0.48784866059099696
16,1,0,0,-903.5046253204346,,0.48784866059099696
17,1,0,0,-903.5046253204346,,0.48784866059099696
18,1,0,0,-903.5046253204346,,0.48784866059099696
19,1,0,0,-903.5046253204346,,0.48784866059099696
20,0,0,0,-903.5046253204346,,0.48784866059099696
21,1,0,0,-903.5046253204346,,0.48784866059099696
22,1,0,0,-903.5046253204346,,0.48784866059099696
23,1,0,0,-903.5046253204346,,0.48784866059099696
24,0,0,0,-903.5046253204346,,0.48784866059099696
25,0,0,0,-903.5046253204346,,0.48784866059099696
26,1,0,0,-903.5046253204346,,0.48784866059099696
27,1,0,0,-903.5046253204346,,0.48784866059099696
28,1,0,0,-903.5046253204346,,0.48784866059099696
29,1,532,0,-903.5046253204346,,0.48784866059099696
30,1,0,0,-903.5046253204346,,0.48784866059099696
31,1,0,0,-903.5046253204346,,0.48784866059099696
32,1,0,0,-903.5046253204346,,0.48784866059099696
33,1,0,0,-903.5046253204346,,0.48784866059099696
34,1,0,0,-903.5046253204346,,0.48784866059099696
35,0,0,0,-903.5046253204346,,0.48784866059099696
36,1,0,0,-903.5046253204346,,0.48784866059099696
37,0,533,0,-903.5046253204346,,0.48784866059099696
38,1,0,0,-903.5046253204346,,0.48784866059099696
