,right,cam,ctm,cam_time,ctm_time,rate
0,1,0,10000,-174.22548913955688,-44.307924032211304,0.14415907207953604
1,1,0,2116,-174.22548913955688,-44.307924032211304,0.14415907207953604
2,1,0,2117,-174.22548913955688,-44.307924032211304,0.14415907207953604
3,1,0,2118,-174.22548913955688,-44.307924032211304,0.14415907207953604
4,1,0,2126,-174.22548913955688,-44.307924032211304,0.14415907207953604
5,1,0,2128,-174.22548913955688,-44.307924032211304,0.14415907207953604
6,1,0,2100,-174.22548913955688,-44.307924032211304,0.14415907207953604
7,1,0,2107,-174.22548913955688,-44.307924032211304,0.14415907207953604
8,1,0,2160,-174.22548913955688,-44.307924032211304,0.14415907207953604
9,1,0,2152,-174.22548913955688,-44.307924032211304,0.14415907207953604
10,1,0,2134,-174.22548913955688,-44.307924032211304,0.14415907207953604
11,1,190,596,-174.22548913955688,-44.307924032211304,0.14415907207953604
12,1,0,2046,-174.22548913955688,-44.307924032211304,0.14415907207953604
13,1,0,2049,-174.22548913955688,-44.307924032211304,0.14415907207953604
14,1,0,2050,-174.22548913955688,-44.307924032211304,0.14415907207953604
15,1,0,2051,-174.22548913955688,-44.307924032211304,0.14415907207953604
16,1,0,2052,-174.22548913955688,-44.307924032211304,0.14415907207953604
17,1,0,2027,-174.22548913955688,-44.307924032211304,0.14415907207953604
18,1,0,2030,-174.22548913955688,-44.307924032211304,0.14415907207953604
19,1,0,2031,-174.22548913955688,-44.307924032211304,0.14415907207953604
20,0,0,2059,-174.22548913955688,-44.307924032211304,0.14415907207953604
21,1,0,2085,-174.22548913955688,-44.307924032211304,0.14415907207953604
22,1,0,2079,-174.22548913955688,-44.307924032211304,0.14415907207953604
23,1,0,2067,-174.22548913955688,-44.307924032211304,0.14415907207953604
24,0,0,2258,-174.22548913955688,-44.307924032211304,0.14415907207953604
25,0,0,2255,-174.22548913955688,-44.307924032211304,0.14415907207953604
26,1,0,2240,-174.22548913955688,-44.307924032211304,0.14415907207953604
27,1,0,2243,-174.22548913955688,-44.307924032211304,0.14415907207953604
28,1,0,2239,-174.22548913955688,-44.307924032211304,0.14415907207953604
29,1,0,2303,-174.22548913955688,-44.307924032211304,0.14415907207953604
30,1,0,2302,-174.22548913955688,-44.307924032211304,0.14415907207953604
31,1,0,2293,-174.22548913955688,-44.307924032211304,0.14415907207953604
32,1,0,2276,-174.22548913955688,-44.307924032211304,0.14415907207953604
33,1,0,2278,-174.22548913955688,-44.307924032211304,0.14415907207953604
34,1,0,2279,-174.22548913955688,-44.307924032211304,0.14415907207953604
35,0,0,2288,-174.22548913955688,-44.307924032211304,0.14415907207953604
36,1,0,2203,-174.22548913955688,-44.307924032211304,0.14415907207953604
37,0,0,2215,-174.22548913955688,-44.307924032211304,0.14415907207953604
38,1,0,1820,-174.22548913955688,-44.307924032211304,0.14415907207953604
39,1,0,1822,-174.22548913955688,-44.307924032211304,0.14415907207953604
40,1,0,1848,-174.22548913955688,-44.307924032211304,0.14415907207953604
41,1,0,1879,-174.22548913955688,-44.307924032211304,0.14415907207953604
42,0,0,1871,-174.22548913955688,-44.307924032211304,0.14415907207953604
43,1,0,1870,-174.22548913955688,-44.307924032211304,0.14415907207953604
44,1,0,1830,-174.22548913955688,-44.307924032211304,0.14415907207953604
45,1,0,1763,-174.22548913955688,-44.307924032211304,0.14415907207953604
46,1,0,1766,-174.22548913955688,-44.307924032211304,0.14415907207953604
47,0,0,1745,-174.22548913955688,-44.307924032211304,0.14415907207953604
48,1,0,1748,-174.22548913955688,-44.307924032211304,0.14415907207953604
49,1,0,1802,-174.22548913955688,-44.307924032211304,0.14415907207953604
50,1,0,1792,-174.22548913955688,-44.307924032211304,0.14415907207953604
51,1,0,1779,-174.22548913955688,-44.307924032211304,0.14415907207953604
52,1,0,1781,-174.22548913955688,-44.307924032211304,0.14415907207953604
53,0,0,1777,-174.22548913955688,-44.307924032211304,0.14415907207953604
54,1,0,1881,-174.22548913955688,-44.307924032211304,0.14415907207953604
55,1,0,1954,-174.22548913955688,-44.307924032211304,0.14415907207953604
56,1,0,1958,-174.22548913955688,-44.307924032211304,0.14415907207953604
57,0,0,2018,-174.22548913955688,-44.307924032211304,0.14415907207953604
58,0,0,2014,-174.22548913955688,-44.307924032211304,0.14415907207953604
59,1,0,2009,-174.22548913955688,-44.307924032211304,0.14415907207953604
60,1,0,1994,-174.22548913955688,-44.307924032211304,0.14415907207953604
61,0,0,2003,-174.22548913955688,-44.307924032211304,0.14415907207953604
62,1,0,1952,-174.22548913955688,-44.307924032211304,0.14415907207953604
63,1,191,614,-174.22548913955688,-44.307924032211304,0.14415907207953604
64,1,0,1904,-174.22548913955688,-44.307924032211304,0.14415907207953604
65,1,0,1905,-174.22548913955688,-44.307924032211304,0.14415907207953604
66,1,0,1906,-174.22548913955688,-44.307924032211304,0.14415907207953604
67,1,0,1911,-174.22548913955688,-44.307924032211304,0.14415907207953604
68,1,0,1913,-174.22548913955688,-44.307924032211304,0.14415907207953604
69,1,0,1915,-174.22548913955688,-44.307924032211304,0.14415907207953604
70,1,0,1899,-174.22548913955688,-44.307924032211304,0.14415907207953604
71,1,0,1890,-174.22548913955688,-44.307924032211304,0.14415907207953604
72,1,0,1919,-174.22548913955688,-44.307924032211304,0.14415907207953604
73,1,0,1941,-174.22548913955688,-44.307924032211304,0.14415907207953604
74,1,0,1930,-174.22548913955688,-44.307924032211304,0.14415907207953604
75,1,192,617,-174.22548913955688,-44.307924032211304,0.14415907207953604
76,1,0,2688,-174.22548913955688,-44.307924032211304,0.14415907207953604
77,1,0,2697,-174.22548913955688,-44.307924032211304,0.14415907207953604
78,1,0,2682,-174.22548913955688,-44.307924032211304,0.14415907207953604
79,1,0,2669,-174.22548913955688,-44.307924032211304,0.14415907207953604
80,1,0,2677,-174.22548913955688,-44.307924032211304,0.14415907207953604
81,1,0,2678,-174.22548913955688,-44.307924032211304,0.14415907207953604
82,1,0,2700,-174.22548913955688,-44.307924032211304,0.14415907207953604
83,1,0,2729,-174.22548913955688,-44.307924032211304,0.14415907207953604
84,1,0,2720,-174.22548913955688,-44.307924032211304,0.14415907207953604
85,0,0,2714,-174.22548913955688,-44.307924032211304,0.14415907207953604
86,0,0,2616,-174.22548913955688,-44.307924032211304,0.14415907207953604
87,0,0,2618,-174.22548913955688,-44.307924032211304,0.14415907207953604
88,1,0,2625,-174.22548913955688,-44.307924032211304,0.14415907207953604
89,1,0,2599,-174.22548913955688,-44.307924032211304,0.14415907207953604
90,1,0,2604,-174.22548913955688,-44.307924032211304,0.14415907207953604
91,1,0,2608,-174.22548913955688,-44.307924032211304,0.14415907207953604
92,1,0,2654,-174.22548913955688,-44.307924032211304,0.14415907207953604
93,1,0,2646,-174.22548913955688,-44.307924032211304,0.14415907207953604
94,1,0,2632,-174.22548913955688,-44.307924032211304,0.14415907207953604
95,1,0,2635,-174.22548913955688,-44.307924032211304,0.14415907207953604
96,1,0,2636,-174.22548913955688,-44.307924032211304,0.14415907207953604
97,1,0,2807,-174.22548913955688,-44.307924032211304,0.14415907207953604
98,1,0,2828,-174.22548913955688,-44.307924032211304,0.14415907207953604
99,1,0,2839,-174.22548913955688,-44.307924032211304,0.14415907207953604
100,1,0,2870,-174.22548913955688,-44.307924032211304,0.14415907207953604
101,1,0,2868,-174.22548913955688,-44.307924032211304,0.14415907207953604
102,1,0,2867,-174.22548913955688,-44.307924032211304,0.14415907207953604
103,1,47,56,-174.22548913955688,-44.307924032211304,0.14415907207953604
104,1,0,2847,-174.22548913955688,-44.307924032211304,0.14415907207953604
105,1,0,2858,-174.22548913955688,-44.307924032211304,0.14415907207953604
