,right,cam,ctm,rate,cam_time,ctm_time
0,1,123,8509,0.786,-223.86659002304077,-223.84482407569885
1,1,375,2418,0.786,-223.86659002304077,-223.84482407569885
2,1,34,9907,0.786,-223.86659002304077,-223.84482407569885
3,1,184,6983,0.786,-223.86659002304077,-223.84482407569885
4,1,395,2092,0.786,-223.86659002304077,-223.84482407569885
5,1,93,9195,0.786,-223.86659002304077,-223.84482407569885
6,1,438,1503,0.786,-223.86659002304077,-223.84482407569885
7,1,316,3539,0.786,-223.86659002304077,-223.84482407569885
8,1,168,7429,0.786,-223.86659002304077,-223.84482407569885
9,1,402,1976,0.786,-223.86659002304077,-223.84482407569885
10,1,229,5760,0.786,-223.86659002304077,-223.84482407569885
11,1,223,5921,0.786,-223.86659002304077,-223.84482407569885
12,0,460,1262,0.786,-223.86659002304077,-223.84482407569885
13,1,309,3696,0.786,-223.86659002304077,-223.84482407569885
14,1,293,4094,0.786,-223.86659002304077,-223.84482407569885
15,1,82,9414,0.786,-223.86659002304077,-223.84482407569885
16,1,311,3638,0.786,-223.86659002304077,-223.84482407569885
17,1,488,975,0.786,-223.86659002304077,-223.84482407569885
18,1,101,9045,0.786,-223.86659002304077,-223.84482407569885
19,1,235,5583,0.786,-223.86659002304077,-223.84482407569885
20,1,277,4491,0.786,-223.86659002304077,-223.84482407569885
21,1,287,4216,0.786,-223.86659002304077,-223.84482407569885
22,1,305,3778,0.786,-223.86659002304077,-223.84482407569885
23,0,200,6552,0.786,-223.86659002304077,-223.84482407569885
24,1,207,6330,0.786,-223.86659002304077,-223.84482407569885
25,0,415,1790,0.786,-223.86659002304077,-223.84482407569885
26,1,553,548,0.786,-223.86659002304077,-223.84482407569885
27,1,387,2209,0.786,-223.86659002304077,-223.84482407569885
28,1,246,5301,0.786,-223.86659002304077,-223.84482407569885
29,1,371,2475,0.786,-223.86659002304077,-223.84482407569885
30,1,127,8424,0.786,-223.86659002304077,-223.84482407569885
31,1,165,7486,0.786,-223.86659002304077,-223.84482407569885
32,1,334,3148,0.786,-223.86659002304077,-223.84482407569885
33,1,656,215,0.786,-223.86659002304077,-223.84482407569885
34,1,83,9388,0.786,-223.86659002304077,-223.84482407569885
35,1,314,3583,0.786,-223.86659002304077,-223.84482407569885
36,1,291,4124,0.786,-223.86659002304077,-223.84482407569885
37,1,138,8191,0.786,-223.86659002304077,-223.84482407569885
38,1,280,4408,0.786,-223.86659002304077,-223.84482407569885
39,1,108,8868,0.786,-223.86659002304077,-223.84482407569885
40,0,326,3346,0.786,-223.86659002304077,-223.84482407569885
41,1,35,9905,0.786,-223.86659002304077,-223.84482407569885
42,0,616,307,0.786,-223.86659002304077,-223.84482407569885
43,1,318,3502,0.786,-223.86659002304077,-223.84482407569885
44,1,254,5090,0.786,-223.86659002304077,-223.84482407569885
45,1,385,2248,0.786,-223.86659002304077,-223.84482407569885
46,1,670,184,0.786,-223.86659002304077,-223.84482407569885
47,1,148,7932,0.786,-223.86659002304077,-223.84482407569885
48,1,475,1101,0.786,-223.86659002304077,-223.84482407569885
49,0,332,3202,0.786,-223.86659002304077,-223.84482407569885
50,1,227,5822,0.786,-223.86659002304077,-223.84482407569885
51,1,221,5991,0.786,-223.86659002304077,-223.84482407569885
52,1,130,8350,0.786,-223.86659002304077,-223.84482407569885
53,1,182,7018,0.786,-223.86659002304077,-223.84482407569885
54,1,0,8360,0.786,-223.86659002304077,-223.84482407569885
55,1,212,6211,0.786,-223.86659002304077,-223.84482407569885
