,right,cam,ctm,rate,cam_time,ctm_time
0,1,123,48493,0.978,-917.0863313674927,-917.0299139022827
1,1,0,36577,0.978,-917.0863313674927,-917.0299139022827
2,1,34,49899,0.978,-917.0863313674927,-917.0299139022827
3,1,184,46940,0.978,-917.0863313674927,-917.0299139022827
4,1,0,34463,0.978,-917.0863313674927,-917.0299139022827
5,1,93,49183,0.978,-917.0863313674927,-917.0299139022827
6,1,0,29325,0.978,-917.0863313674927,-917.0299139022827
7,1,0,41378,0.978,-917.0863313674927,-917.0299139022827
8,1,168,47396,0.978,-917.0863313674927,-917.0299139022827
9,1,0,33516,0.978,-917.0863313674927,-917.0299139022827
10,1,229,45564,0.978,-917.0863313674927,-917.0299139022827
11,1,223,45764,0.978,-917.0863313674927,-917.0299139022827
12,0,0,26758,0.978,-917.0863313674927,-917.0299139022827
13,1,309,41797,0.978,-917.0863313674927,-917.0299139022827
14,1,293,42823,0.978,-917.0863313674927,-917.0299139022827
15,1,82,49406,0.978,-917.0863313674927,-917.0299139022827
16,1,0,41645,0.978,-917.0863313674927,-917.0299139022827
17,1,0,23568,0.978,-917.0863313674927,-917.0299139022827
18,1,101,49033,0.978,-917.0863313674927,-917.0299139022827
19,1,235,45341,0.978,-917.0863313674927,-917.0299139022827
20,1,277,43650,0.978,-917.0863313674927,-917.0299139022827
21,1,287,43130,0.978,-917.0863313674927,-917.0299139022827
22,1,0,42028,0.978,-917.0863313674927,-917.0299139022827
23,0,200,46484,0.978,-917.0863313674927,-917.0299139022827
24,1,207,46244,0.978,-917.0863313674927,-917.0299139022827
25,0,0,32020,0.978,-917.0863313674927,-917.0299139022827
26,1,0,16762,0.978,-917.0863313674927,-917.0299139022827
27,1,0,35286,0.978,-917.0863313674927,-917.0299139022827
28,1,246,44969,0.978,-917.0863313674927,-917.0299139022827
29,1,0,36941,0.978,-917.0863313674927,-917.0299139022827
30,1,127,48404,0.978,-917.0863313674927,-917.0299139022827
31,1,165,47453,0.978,-917.0863313674927,-917.0299139022827
32,1,0,40118,0.978,-917.0863313674927,-917.0299139022827
33,1,659,8988,0.978,-917.0863313674927,-917.0299139022827
34,1,83,49380,0.978,-917.0863313674927,-917.0299139022827
35,1,314,41496,0.978,-917.0863313674927,-917.0299139022827
36,1,291,42895,0.978,-917.0863313674927,-917.0299139022827
37,1,138,48163,0.978,-917.0863313674927,-917.0299139022827
38,1,280,43497,0.978,-917.0863313674927,-917.0299139022827
39,1,108,48856,0.978,-917.0863313674927,-917.0299139022827
40,0,0,40770,0.978,-917.0863313674927,-917.0299139022827
41,1,35,49897,0.978,-917.0863313674927,-917.0299139022827
42,0,0,11669,0.978,-917.0863313674927,-917.0299139022827
43,1,0,41250,0.978,-917.0863313674927,-917.0299139022827
44,1,254,44658,0.978,-917.0863313674927,-917.0299139022827
45,1,0,35510,0.978,-917.0863313674927,-917.0299139022827
46,1,677,8146,0.978,-917.0863313674927,-917.0299139022827
47,1,148,47900,0.978,-917.0863313674927,-917.0299139022827
48,1,0,25020,0.978,-917.0863313674927,-917.0299139022827
49,0,0,40318,0.978,-917.0863313674927,-917.0299139022827
50,1,227,45646,0.978,-917.0863313674927,-917.0299139022827
51,1,221,45850,0.978,-917.0863313674927,-917.0299139022827
52,1,130,48326,0.978,-917.0863313674927,-917.0299139022827
53,1,182,46975,0.978,-917.0863313674927,-917.0299139022827
54,1,0,48336,0.978,-917.0863313674927,-917.0299139022827
55,1,212,46113,0.978,-917.0863313674927,-917.0299139022827
56,1,0,48323,0.978,-917.0863313674927,-917.0299139022827
57,1,0,34814,0.978,-917.0863313674927,-917.0299139022827
58,1,242,45137,0.978,-917.0863313674927,-917.0299139022827
59,1,0,28554,0.978,-917.0863313674927,-917.0299139022827
60,1,164,47498,0.978,-917.0863313674927,-917.0299139022827
61,1,0,44640,0.978,-917.0863313674927,-917.0299139022827
62,1,98,49097,0.978,-917.0863313674927,-917.0299139022827
63,1,139,48121,0.978,-917.0863313674927,-917.0299139022827
64,1,32,49915,0.978,-917.0863313674927,-917.0299139022827
65,1,0,48310,0.978,-917.0863313674927,-917.0299139022827
66,1,0,23599,0.978,-917.0863313674927,-917.0299139022827
67,0,0,40223,0.978,-917.0863313674927,-917.0299139022827
68,0,289,43026,0.978,-917.0863313674927,-917.0299139022827
69,1,0,48415,0.978,-917.0863313674927,-917.0299139022827
70,1,294,42771,0.978,-917.0863313674927,-917.0299139022827
71,1,637,10257,0.978,-917.0863313674927,-917.0299139022827
72,1,0,42612,0.978,-917.0863313674927,-917.0299139022827
73,1,172,47283,0.978,-917.0863313674927,-917.0299139022827
74,1,0,22471,0.978,-917.0863313674927,-917.0299139022827
75,1,0,29185,0.978,-917.0863313674927,-917.0299139022827
76,1,60,49705,0.978,-917.0863313674927,-917.0299139022827
77,1,0,21677,0.978,-917.0863313674927,-917.0299139022827
78,1,0,47907,0.978,-917.0863313674927,-917.0299139022827
79,1,218,45940,0.978,-917.0863313674927,-917.0299139022827
80,1,177,47105,0.978,-917.0863313674927,-917.0299139022827
81,1,112,48736,0.978,-917.0863313674927,-917.0299139022827
82,1,54,49761,0.978,-917.0863313674927,-917.0299139022827
83,1,175,47179,0.978,-917.0863313674927,-917.0299139022827
84,1,144,47993,0.978,-917.0863313674927,-917.0299139022827
85,1,202,46409,0.978,-917.0863313674927,-917.0299139022827
86,1,0,41228,0.978,-917.0863313674927,-917.0299139022827
87,1,307,41927,0.978,-917.0863313674927,-917.0299139022827
88,1,285,43260,0.978,-917.0863313674927,-917.0299139022827
89,1,0,11456,0.978,-917.0863313674927,-917.0299139022827
90,1,152,47774,0.978,-917.0863313674927,-917.0299139022827
91,1,320,41135,0.978,-917.0863313674927,-917.0299139022827
92,1,0,48757,0.978,-917.0863313674927,-917.0299139022827
93,1,240,45196,0.978,-917.0863313674927,-917.0299139022827
94,1,44,49844,0.978,-917.0863313674927,-917.0299139022827
95,1,0,46278,0.978,-917.0863313674927,-917.0299139022827
96,1,0,35915,0.978,-917.0863313674927,-917.0299139022827
97,1,65,49659,0.978,-917.0863313674927,-917.0299139022827
98,0,0,14119,0.978,-917.0863313674927,-917.0299139022827
99,1,237,45286,0.978,-917.0863313674927,-917.0299139022827
100,1,0,42298,0.978,-917.0863313674927,-917.0299139022827
101,1,249,44863,0.978,-917.0863313674927,-917.0299139022827
102,1,129,48344,0.978,-917.0863313674927,-917.0299139022827
103,0,0,17816,0.978,-917.0863313674927,-917.0299139022827
104,1,0,43619,0.978,-917.0863313674927,-917.0299139022827
105,1,160,47589,0.978,-917.0863313674927,-917.0299139022827
106,1,0,49394,0.978,-917.0863313674927,-917.0299139022827
107,1,304,42125,0.978,-917.0863313674927,-917.0299139022827
108,1,197,46567,0.978,-917.0863313674927,-917.0299139022827
109,1,0,39477,0.978,-917.0863313674927,-917.0299139022827
110,1,0,35655,0.978,-917.0863313674927,-917.0299139022827
111,1,90,49264,0.978,-917.0863313674927,-917.0299139022827
112,1,261,44372,0.978,-917.0863313674927,-917.0299139022827
113,1,292,42851,0.978,-917.0863313674927,-917.0299139022827
114,1,73,49543,0.978,-917.0863313674927,-917.0299139022827
115,1,236,45328,0.978,-917.0863313674927,-917.0299139022827
116,1,0,48844,0.978,-917.0863313674927,-917.0299139022827
117,0,0,10342,0.978,-917.0863313674927,-917.0299139022827
118,1,220,45886,0.978,-917.0863313674927,-917.0299139022827
119,1,216,45991,0.978,-917.0863313674927,-917.0299139022827
120,1,0,36449,0.978,-917.0863313674927,-917.0299139022827
121,1,241,45153,0.978,-917.0863313674927,-917.0299139022827
122,1,0,36645,0.978,-917.0863313674927,-917.0299139022827
123,1,0,46934,0.978,-917.0863313674927,-917.0299139022827
124,1,263,44307,0.978,-917.0863313674927,-917.0299139022827
125,1,0,34086,0.978,-917.0863313674927,-917.0299139022827
126,1,143,48036,0.978,-917.0863313674927,-917.0299139022827
127,1,0,37337,0.978,-917.0863313674927,-917.0299139022827
128,1,174,47243,0.978,-917.0863313674927,-917.0299139022827
129,1,267,44104,0.978,-917.0863313674927,-917.0299139022827
130,1,260,44398,0.978,-917.0863313674927,-917.0299139022827
131,1,85,49357,0.978,-917.0863313674927,-917.0299139022827
132,1,233,45432,0.978,-917.0863313674927,-917.0299139022827
133,1,0,47275,0.978,-917.0863313674927,-917.0299139022827
134,1,0,49351,0.978,-917.0863313674927,-917.0299139022827
135,1,0,38199,0.978,-917.0863313674927,-917.0299139022827
136,0,0,30295,0.978,-917.0863313674927,-917.0299139022827
137,1,39,49869,0.978,-917.0863313674927,-917.0299139022827
138,1,0,23988,0.978,-917.0863313674927,-917.0299139022827
139,1,0,45980,0.978,-917.0863313674927,-917.0299139022827
140,1,55,49750,0.978,-917.0863313674927,-917.0299139022827
141,1,0,27189,0.978,-917.0863313674927,-917.0299139022827
142,1,331,40411,0.978,-917.0863313674927,-917.0299139022827
143,1,0,47123,0.978,-917.0863313674927,-917.0299139022827
144,1,0,49250,0.978,-917.0863313674927,-917.0299139022827
145,1,0,34142,0.978,-917.0863313674927,-917.0299139022827
146,1,126,48435,0.978,-917.0863313674927,-917.0299139022827
147,0,0,34266,0.978,-917.0863313674927,-917.0299139022827
148,1,0,45321,0.978,-917.0863313674927,-917.0299139022827
149,1,194,46667,0.978,-917.0863313674927,-917.0299139022827
150,0,247,44934,0.978,-917.0863313674927,-917.0299139022827
151,1,791,3994,0.978,-917.0863313674927,-917.0299139022827
152,1,87,49313,0.978,-917.0863313674927,-917.0299139022827
153,1,759,4855,0.978,-917.0863313674927,-917.0299139022827
154,1,0,48162,0.978,-917.0863313674927,-917.0299139022827
155,0,0,15222,0.978,-917.0863313674927,-917.0299139022827
