,right,cam,ctm,rate,cam_time,ctm_time
0,1,0,44937,0.856,-37.59265351295471,-37.53956437110901
1,1,0,32166,0.856,-37.59265351295471,-37.53956437110901
2,1,0,40119,0.856,-37.59265351295471,-37.53956437110901
3,1,0,40016,0.856,-37.59265351295471,-37.53956437110901
4,1,0,25598,0.856,-37.59265351295471,-37.53956437110901
5,1,144,39169,0.856,-37.59265351295471,-37.53956437110901
6,1,0,35824,0.856,-37.59265351295471,-37.53956437110901
7,1,0,19767,0.856,-37.59265351295471,-37.53956437110901
8,1,0,40837,0.856,-37.59265351295471,-37.53956437110901
9,1,5,49212,0.856,-37.59265351295471,-37.53956437110901
10,1,0,36088,0.856,-37.59265351295471,-37.53956437110901
11,1,0,40978,0.856,-37.59265351295471,-37.53956437110901
12,0,0,5364,0.856,-37.59265351295471,-37.53956437110901
13,1,0,33668,0.856,-37.59265351295471,-37.53956437110901
14,1,0,34114,0.856,-37.59265351295471,-37.53956437110901
15,1,0,40106,0.856,-37.59265351295471,-37.53956437110901
16,1,0,32268,0.856,-37.59265351295471,-37.53956437110901
17,1,0,34228,0.856,-37.59265351295471,-37.53956437110901
18,1,0,28793,0.856,-37.59265351295471,-37.53956437110901
19,1,0,26548,0.856,-37.59265351295471,-37.53956437110901
20,1,0,32079,0.856,-37.59265351295471,-37.53956437110901
21,1,0,39501,0.856,-37.59265351295471,-37.53956437110901
22,1,0,49247,0.856,-37.59265351295471,-37.53956437110901
23,0,0,41181,0.856,-37.59265351295471,-37.53956437110901
24,1,0,39466,0.856,-37.59265351295471,-37.53956437110901
25,0,0,18025,0.856,-37.59265351295471,-37.53956437110901
26,1,0,24082,0.856,-37.59265351295471,-37.53956437110901
27,1,0,28505,0.856,-37.59265351295471,-37.53956437110901
28,1,0,45169,0.856,-37.59265351295471,-37.53956437110901
29,1,0,11137,0.856,-37.59265351295471,-37.53956437110901
30,1,0,29407,0.856,-37.59265351295471,-37.53956437110901
31,1,0,27111,0.856,-37.59265351295471,-37.53956437110901
32,1,0,7589,0.856,-37.59265351295471,-37.53956437110901
33,1,0,33320,0.856,-37.59265351295471,-37.53956437110901
34,1,0,28801,0.856,-37.59265351295471,-37.53956437110901
35,1,0,30327,0.856,-37.59265351295471,-37.53956437110901
36,1,0,49511,0.856,-37.59265351295471,-37.53956437110901
37,1,0,40739,0.856,-37.59265351295471,-37.53956437110901
38,1,0,49401,0.856,-37.59265351295471,-37.53956437110901
39,1,0,44889,0.856,-37.59265351295471,-37.53956437110901
40,0,0,29478,0.856,-37.59265351295471,-37.53956437110901
41,1,0,40048,0.856,-37.59265351295471,-37.53956437110901
42,0,0,9528,0.856,-37.59265351295471,-37.53956437110901
43,1,18,48972,0.856,-37.59265351295471,-37.53956437110901
44,1,0,26482,0.856,-37.59265351295471,-37.53956437110901
45,1,0,49659,0.856,-37.59265351295471,-37.53956437110901
46,1,0,26955,0.856,-37.59265351295471,-37.53956437110901
47,1,151,39055,0.856,-37.59265351295471,-37.53956437110901
48,1,0,30308,0.856,-37.59265351295471,-37.53956437110901
