,right,cam,ctm,cam_time,ctm_time,rate
0,1,0,10000,-4.007967233657837,-1.991386890411377,0.011904761904761904
1,1,0,3340,-4.007967233657837,-1.991386890411377,0.011904761904761904
2,1,0,3339,-4.007967233657837,-1.991386890411377,0.011904761904761904
3,1,0,3338,-4.007967233657837,-1.991386890411377,0.011904761904761904
4,1,0,3337,-4.007967233657837,-1.991386890411377,0.011904761904761904
5,1,0,3336,-4.007967233657837,-1.991386890411377,0.011904761904761904
6,1,0,3335,-4.007967233657837,-1.991386890411377,0.011904761904761904
7,1,0,3334,-4.007967233657837,-1.991386890411377,0.011904761904761904
8,1,0,3332,-4.007967233657837,-1.991386890411377,0.011904761904761904
9,1,0,3324,-4.007967233657837,-1.991386890411377,0.011904761904761904
10,1,0,3331,-4.007967233657837,-1.991386890411377,0.011904761904761904
11,1,0,3330,-4.007967233657837,-1.991386890411377,0.011904761904761904
12,0,0,3329,-4.007967233657837,-1.991386890411377,0.011904761904761904
13,1,0,3328,-4.007967233657837,-1.991386890411377,0.011904761904761904
14,1,0,3327,-4.007967233657837,-1.991386890411377,0.011904761904761904
15,1,0,3326,-4.007967233657837,-1.991386890411377,0.011904761904761904
16,1,0,3325,-4.007967233657837,-1.991386890411377,0.011904761904761904
17,1,0,3341,-4.007967233657837,-1.991386890411377,0.011904761904761904
18,1,0,3342,-4.007967233657837,-1.991386890411377,0.011904761904761904
19,1,0,3343,-4.007967233657837,-1.991386890411377,0.011904761904761904
20,1,0,3344,-4.007967233657837,-1.991386890411377,0.011904761904761904
21,1,0,3359,-4.007967233657837,-1.991386890411377,0.011904761904761904
22,1,0,3358,-4.007967233657837,-1.991386890411377,0.011904761904761904
23,0,0,3357,-4.007967233657837,-1.991386890411377,0.011904761904761904
24,1,0,3356,-4.007967233657837,-1.991386890411377,0.011904761904761904
25,0,0,3355,-4.007967233657837,-1.991386890411377,0.011904761904761904
26,1,0,3354,-4.007967233657837,-1.991386890411377,0.011904761904761904
27,1,0,3353,-4.007967233657837,-1.991386890411377,0.011904761904761904
28,1,0,3352,-4.007967233657837,-1.991386890411377,0.011904761904761904
29,1,0,3351,-4.007967233657837,-1.991386890411377,0.011904761904761904
30,1,0,3350,-4.007967233657837,-1.991386890411377,0.011904761904761904
31,1,0,3349,-4.007967233657837,-1.991386890411377,0.011904761904761904
32,1,0,3348,-4.007967233657837,-1.991386890411377,0.011904761904761904
33,1,0,3347,-4.007967233657837,-1.991386890411377,0.011904761904761904
34,1,0,3346,-4.007967233657837,-1.991386890411377,0.011904761904761904
35,1,0,3345,-4.007967233657837,-1.991386890411377,0.011904761904761904
36,1,0,3333,-4.007967233657837,-1.991386890411377,0.011904761904761904
37,1,0,3322,-4.007967233657837,-1.991386890411377,0.011904761904761904
38,1,0,3294,-4.007967233657837,-1.991386890411377,0.011904761904761904
39,1,0,3321,-4.007967233657837,-1.991386890411377,0.011904761904761904
40,0,0,3301,-4.007967233657837,-1.991386890411377,0.011904761904761904
41,1,0,3300,-4.007967233657837,-1.991386890411377,0.011904761904761904
42,0,0,3299,-4.007967233657837,-1.991386890411377,0.011904761904761904
43,1,0,3298,-4.007967233657837,-1.991386890411377,0.011904761904761904
44,1,0,3297,-4.007967233657837,-1.991386890411377,0.011904761904761904
45,1,0,3296,-4.007967233657837,-1.991386890411377,0.011904761904761904
46,1,0,3295,-4.007967233657837,-1.991386890411377,0.011904761904761904
47,1,0,3293,-4.007967233657837,-1.991386890411377,0.011904761904761904
48,1,0,3285,-4.007967233657837,-1.991386890411377,0.011904761904761904
49,0,0,3292,-4.007967233657837,-1.991386890411377,0.011904761904761904
50,1,0,3291,-4.007967233657837,-1.991386890411377,0.011904761904761904
51,1,0,3290,-4.007967233657837,-1.991386890411377,0.011904761904761904
52,1,0,3289,-4.007967233657837,-1.991386890411377,0.011904761904761904
53,1,0,3288,-4.007967233657837,-1.991386890411377,0.011904761904761904
54,1,0,3287,-4.007967233657837,-1.991386890411377,0.011904761904761904
55,1,0,3286,-4.007967233657837,-1.991386890411377,0.011904761904761904
56,1,0,3302,-4.007967233657837,-1.991386890411377,0.011904761904761904
57,1,0,3303,-4.007967233657837,-1.991386890411377,0.011904761904761904
58,1,0,3304,-4.007967233657837,-1.991386890411377,0.011904761904761904
59,1,0,3305,-4.007967233657837,-1.991386890411377,0.011904761904761904
60,1,0,3320,-4.007967233657837,-1.991386890411377,0.011904761904761904
61,1,0,3319,-4.007967233657837,-1.991386890411377,0.011904761904761904
62,1,0,3318,-4.007967233657837,-1.991386890411377,0.011904761904761904
63,1,0,3317,-4.007967233657837,-1.991386890411377,0.011904761904761904
64,1,0,3316,-4.007967233657837,-1.991386890411377,0.011904761904761904
65,1,0,3315,-4.007967233657837,-1.991386890411377,0.011904761904761904
