,right,cam,ctm,rate,cam_time,ctm_time
0,1,299,4071,0.711,-2759.700160741806,-2759.680102825165
1,1,198,7563,0.711,-2759.700160741806,-2759.680102825165
2,1,34,9943,0.711,-2759.700160741806,-2759.680102825165
3,1,175,8230,0.711,-2759.700160741806,-2759.680102825165
4,0,425,1299,0.711,-2759.700160741806,-2759.680102825165
5,1,150,8807,0.711,-2759.700160741806,-2759.680102825165
6,1,357,2464,0.711,-2759.700160741806,-2759.680102825165
7,1,291,4334,0.711,-2759.700160741806,-2759.680102825165
8,1,141,8957,0.711,-2759.700160741806,-2759.680102825165
9,1,334,3037,0.711,-2759.700160741806,-2759.680102825165
10,1,390,1811,0.711,-2759.700160741806,-2759.680102825165
11,0,548,353,0.711,-2759.700160741806,-2759.680102825165
12,0,499,613,0.711,-2759.700160741806,-2759.680102825165
13,1,236,6260,0.711,-2759.700160741806,-2759.680102825165
14,1,412,1471,0.711,-2759.700160741806,-2759.680102825165
15,1,181,8058,0.711,-2759.700160741806,-2759.680102825165
16,1,278,4797,0.711,-2759.700160741806,-2759.680102825165
17,0,497,631,0.711,-2759.700160741806,-2759.680102825165
18,1,144,8902,0.711,-2759.700160741806,-2759.680102825165
19,1,172,8315,0.711,-2759.700160741806,-2759.680102825165
20,1,399,1653,0.711,-2759.700160741806,-2759.680102825165
21,1,273,4967,0.711,-2759.700160741806,-2759.680102825165
22,1,304,3929,0.711,-2759.700160741806,-2759.680102825165
23,0,482,741,0.711,-2759.700160741806,-2759.680102825165
24,1,80,9688,0.711,-2759.700160741806,-2759.680102825165
25,0,417,1408,0.711,-2759.700160741806,-2759.680102825165
26,1,211,7111,0.711,-2759.700160741806,-2759.680102825165
27,0,285,4537,0.711,-2759.700160741806,-2759.680102825165
28,0,0,630,0.711,-2759.700160741806,-2759.680102825165
29,1,322,3403,0.711,-2759.700160741806,-2759.680102825165
30,1,208,7187,0.711,-2759.700160741806,-2759.680102825165
31,1,272,5007,0.711,-2759.700160741806,-2759.680102825165
