,right,cam,ctm,cam_time,ctm_time,rate
0,1,0,49905,-168.64326739311218,-129.61509799957275,1.0
1,1,0,16643,-168.64326739311218,-129.61509799957275,1.0
2,1,0,16642,-168.64326739311218,-129.61509799957275,1.0
3,1,0,16641,-168.64326739311218,-129.61509799957275,1.0
4,0,0,16640,-168.64326739311218,-129.61509799957275,1.0
5,1,0,16639,-168.64326739311218,-129.61509799957275,1.0
6,1,0,16638,-168.64326739311218,-129.61509799957275,1.0
7,1,0,16637,-168.64326739311218,-129.61509799957275,1.0
8,1,0,16636,-168.64326739311218,-129.61509799957275,1.0
9,1,0,16635,-168.64326739311218,-129.61509799957275,1.0
10,1,0,16634,-168.64326739311218,-129.61509799957275,1.0
11,0,0,16633,-168.64326739311218,-129.61509799957275,1.0
12,0,0,16632,-168.64326739311218,-129.61509799957275,1.0
13,1,0,16631,-168.64326739311218,-129.61509799957275,1.0
14,1,0,16630,-168.64326739311218,-129.61509799957275,1.0
15,1,0,16629,-168.64326739311218,-129.61509799957275,1.0
16,1,0,16628,-168.64326739311218,-129.61509799957275,1.0
17,0,0,16627,-168.64326739311218,-129.61509799957275,1.0
18,1,0,16626,-168.64326739311218,-129.61509799957275,1.0
19,1,0,16625,-168.64326739311218,-129.61509799957275,1.0
20,1,0,16624,-168.64326739311218,-129.61509799957275,1.0
21,1,0,16623,-168.64326739311218,-129.61509799957275,1.0
22,1,0,16644,-168.64326739311218,-129.61509799957275,1.0
23,0,0,16645,-168.64326739311218,-129.61509799957275,1.0
24,1,0,16646,-168.64326739311218,-129.61509799957275,1.0
25,0,0,16658,-168.64326739311218,-129.61509799957275,1.0
26,1,0,16667,-168.64326739311218,-129.61509799957275,1.0
27,0,0,16666,-168.64326739311218,-129.61509799957275,1.0
28,0,0,16665,-168.64326739311218,-129.61509799957275,1.0
29,1,0,16664,-168.64326739311218,-129.61509799957275,1.0
30,1,0,16663,-168.64326739311218,-129.61509799957275,1.0
31,1,0,16662,-168.64326739311218,-129.61509799957275,1.0
32,1,0,16661,-168.64326739311218,-129.61509799957275,1.0
33,1,0,16660,-168.64326739311218,-129.61509799957275,1.0
34,0,0,16659,-168.64326739311218,-129.61509799957275,1.0
35,1,0,16657,-168.64326739311218,-129.61509799957275,1.0
