,right,cam,ctm,cam_time,ctm_time,rate
0,1,0,10000,-50.379995822906494,-24.279581785202026,1.0
1,1,0,3340,-50.379995822906494,-24.279581785202026,1.0
2,1,0,3339,-50.379995822906494,-24.279581785202026,1.0
3,1,0,3338,-50.379995822906494,-24.279581785202026,1.0
4,0,0,3337,-50.379995822906494,-24.279581785202026,1.0
5,1,0,3336,-50.379995822906494,-24.279581785202026,1.0
6,1,0,3335,-50.379995822906494,-24.279581785202026,1.0
7,1,0,3334,-50.379995822906494,-24.279581785202026,1.0
8,1,0,3332,-50.379995822906494,-24.279581785202026,1.0
9,1,0,3324,-50.379995822906494,-24.279581785202026,1.0
10,1,0,3331,-50.379995822906494,-24.279581785202026,1.0
11,0,0,3330,-50.379995822906494,-24.279581785202026,1.0
12,0,0,3329,-50.379995822906494,-24.279581785202026,1.0
13,1,0,3328,-50.379995822906494,-24.279581785202026,1.0
14,1,0,3327,-50.379995822906494,-24.279581785202026,1.0
15,1,0,3326,-50.379995822906494,-24.279581785202026,1.0
16,1,0,3325,-50.379995822906494,-24.279581785202026,1.0
17,0,0,3341,-50.379995822906494,-24.279581785202026,1.0
18,1,0,3342,-50.379995822906494,-24.279581785202026,1.0
19,1,0,3343,-50.379995822906494,-24.279581785202026,1.0
20,1,0,3344,-50.379995822906494,-24.279581785202026,1.0
21,1,0,3359,-50.379995822906494,-24.279581785202026,1.0
22,1,0,3358,-50.379995822906494,-24.279581785202026,1.0
23,0,0,3357,-50.379995822906494,-24.279581785202026,1.0
24,1,0,3356,-50.379995822906494,-24.279581785202026,1.0
25,0,0,3355,-50.379995822906494,-24.279581785202026,1.0
26,1,0,3354,-50.379995822906494,-24.279581785202026,1.0
27,0,0,3353,-50.379995822906494,-24.279581785202026,1.0
28,0,0,3352,-50.379995822906494,-24.279581785202026,1.0
29,1,0,3351,-50.379995822906494,-24.279581785202026,1.0
30,1,0,3350,-50.379995822906494,-24.279581785202026,1.0
31,1,0,3349,-50.379995822906494,-24.279581785202026,1.0
32,1,0,3348,-50.379995822906494,-24.279581785202026,1.0
33,1,0,3347,-50.379995822906494,-24.279581785202026,1.0
34,0,0,3346,-50.379995822906494,-24.279581785202026,1.0
35,1,0,3345,-50.379995822906494,-24.279581785202026,1.0
36,1,0,3333,-50.379995822906494,-24.279581785202026,1.0
37,0,0,3322,-50.379995822906494,-24.279581785202026,1.0
38,1,0,3294,-50.379995822906494,-24.279581785202026,1.0
39,1,0,3321,-50.379995822906494,-24.279581785202026,1.0
40,0,0,3301,-50.379995822906494,-24.279581785202026,1.0
41,1,0,3300,-50.379995822906494,-24.279581785202026,1.0
42,0,0,3299,-50.379995822906494,-24.279581785202026,1.0
43,1,0,3298,-50.379995822906494,-24.279581785202026,1.0
44,1,0,3297,-50.379995822906494,-24.279581785202026,1.0
45,1,0,3296,-50.379995822906494,-24.279581785202026,1.0
46,1,0,3295,-50.379995822906494,-24.279581785202026,1.0
47,1,0,3293,-50.379995822906494,-24.279581785202026,1.0
48,1,0,3285,-50.379995822906494,-24.279581785202026,1.0
49,0,0,3292,-50.379995822906494,-24.279581785202026,1.0
50,1,0,3291,-50.379995822906494,-24.279581785202026,1.0
51,1,0,3290,-50.379995822906494,-24.279581785202026,1.0
52,1,0,3289,-50.379995822906494,-24.279581785202026,1.0
53,1,0,3288,-50.379995822906494,-24.279581785202026,1.0
54,1,0,3287,-50.379995822906494,-24.279581785202026,1.0
55,1,0,3286,-50.379995822906494,-24.279581785202026,1.0
56,1,0,3302,-50.379995822906494,-24.279581785202026,1.0
57,1,0,3303,-50.379995822906494,-24.279581785202026,1.0
58,1,0,3304,-50.379995822906494,-24.279581785202026,1.0
59,1,0,3305,-50.379995822906494,-24.279581785202026,1.0
60,1,0,3320,-50.379995822906494,-24.279581785202026,1.0
61,1,0,3319,-50.379995822906494,-24.279581785202026,1.0
62,1,0,3318,-50.379995822906494,-24.279581785202026,1.0
63,1,0,3317,-50.379995822906494,-24.279581785202026,1.0
64,1,0,3316,-50.379995822906494,-24.279581785202026,1.0
65,1,0,3315,-50.379995822906494,-24.279581785202026,1.0
66,0,0,3314,-50.379995822906494,-24.279581785202026,1.0
67,0,0,3313,-50.379995822906494,-24.279581785202026,1.0
68,0,0,3312,-50.379995822906494,-24.279581785202026,1.0
69,1,0,3311,-50.379995822906494,-24.279581785202026,1.0
70,1,0,3310,-50.379995822906494,-24.279581785202026,1.0
71,1,0,3309,-50.379995822906494,-24.279581785202026,1.0
72,1,0,3308,-50.379995822906494,-24.279581785202026,1.0
73,1,0,3307,-50.379995822906494,-24.279581785202026,1.0
74,1,0,3306,-50.379995822906494,-24.279581785202026,1.0
75,0,0,3360,-50.379995822906494,-24.279581785202026,1.0
76,1,0,3323,-50.379995822906494,-24.279581785202026,1.0
77,1,0,3361,-50.379995822906494,-24.279581785202026,1.0
78,1,0,3401,-50.379995822906494,-24.279581785202026,1.0
79,1,0,3418,-50.379995822906494,-24.279581785202026,1.0
80,1,0,3417,-50.379995822906494,-24.279581785202026,1.0
81,1,0,3416,-50.379995822906494,-24.279581785202026,1.0
82,1,0,3415,-50.379995822906494,-24.279581785202026,1.0
83,1,0,3414,-50.379995822906494,-24.279581785202026,1.0
84,1,0,3413,-50.379995822906494,-24.279581785202026,1.0
85,1,0,3412,-50.379995822906494,-24.279581785202026,1.0
86,1,0,3410,-50.379995822906494,-24.279581785202026,1.0
87,1,0,3402,-50.379995822906494,-24.279581785202026,1.0
88,1,0,3409,-50.379995822906494,-24.279581785202026,1.0
89,1,0,3408,-50.379995822906494,-24.279581785202026,1.0
90,1,0,3407,-50.379995822906494,-24.279581785202026,1.0
91,1,0,3406,-50.379995822906494,-24.279581785202026,1.0
92,1,0,3405,-50.379995822906494,-24.279581785202026,1.0
93,1,0,3404,-50.379995822906494,-24.279581785202026,1.0
94,1,0,3403,-50.379995822906494,-24.279581785202026,1.0
95,1,0,3419,-50.379995822906494,-24.279581785202026,1.0
96,1,0,3420,-50.379995822906494,-24.279581785202026,1.0
97,1,0,3421,-50.379995822906494,-24.279581785202026,1.0
98,0,0,3422,-50.379995822906494,-24.279581785202026,1.0
99,1,0,3437,-50.379995822906494,-24.279581785202026,1.0
100,1,0,3436,-50.379995822906494,-24.279581785202026,1.0
101,1,0,3435,-50.379995822906494,-24.279581785202026,1.0
102,1,0,3434,-50.379995822906494,-24.279581785202026,1.0
103,0,0,3433,-50.379995822906494,-24.279581785202026,1.0
104,1,0,3432,-50.379995822906494,-24.279581785202026,1.0
105,1,0,3431,-50.379995822906494,-24.279581785202026,1.0
106,1,0,3430,-50.379995822906494,-24.279581785202026,1.0
107,0,0,3429,-50.379995822906494,-24.279581785202026,1.0
108,1,0,3428,-50.379995822906494,-24.279581785202026,1.0
109,1,0,3427,-50.379995822906494,-24.279581785202026,1.0
110,1,0,3426,-50.379995822906494,-24.279581785202026,1.0
111,1,0,3425,-50.379995822906494,-24.279581785202026,1.0
112,1,0,3424,-50.379995822906494,-24.279581785202026,1.0
113,1,0,3423,-50.379995822906494,-24.279581785202026,1.0
114,1,0,3411,-50.379995822906494,-24.279581785202026,1.0
115,1,0,3400,-50.379995822906494,-24.279581785202026,1.0
116,1,0,3372,-50.379995822906494,-24.279581785202026,1.0
117,1,0,3399,-50.379995822906494,-24.279581785202026,1.0
118,1,0,3379,-50.379995822906494,-24.279581785202026,1.0
119,1,0,3378,-50.379995822906494,-24.279581785202026,1.0
120,1,0,3377,-50.379995822906494,-24.279581785202026,1.0
121,1,0,3376,-50.379995822906494,-24.279581785202026,1.0
122,0,0,3375,-50.379995822906494,-24.279581785202026,1.0
123,1,0,3374,-50.379995822906494,-24.279581785202026,1.0
124,1,0,3373,-50.379995822906494,-24.279581785202026,1.0
125,0,0,3371,-50.379995822906494,-24.279581785202026,1.0
126,1,0,3363,-50.379995822906494,-24.279581785202026,1.0
127,1,0,3370,-50.379995822906494,-24.279581785202026,1.0
128,1,0,3369,-50.379995822906494,-24.279581785202026,1.0
129,1,0,3368,-50.379995822906494,-24.279581785202026,1.0
130,1,0,3367,-50.379995822906494,-24.279581785202026,1.0
131,0,0,3366,-50.379995822906494,-24.279581785202026,1.0
132,0,0,3365,-50.379995822906494,-24.279581785202026,1.0
133,1,0,3364,-50.379995822906494,-24.279581785202026,1.0
134,1,0,3380,-50.379995822906494,-24.279581785202026,1.0
135,0,0,3381,-50.379995822906494,-24.279581785202026,1.0
136,1,0,3382,-50.379995822906494,-24.279581785202026,1.0
137,1,0,3383,-50.379995822906494,-24.279581785202026,1.0
138,1,0,3398,-50.379995822906494,-24.279581785202026,1.0
139,1,0,3397,-50.379995822906494,-24.279581785202026,1.0
140,1,0,3396,-50.379995822906494,-24.279581785202026,1.0
141,0,0,3395,-50.379995822906494,-24.279581785202026,1.0
142,1,0,3394,-50.379995822906494,-24.279581785202026,1.0
143,1,0,3393,-50.379995822906494,-24.279581785202026,1.0
144,1,0,3392,-50.379995822906494,-24.279581785202026,1.0
145,1,0,3391,-50.379995822906494,-24.279581785202026,1.0
146,1,0,3390,-50.379995822906494,-24.279581785202026,1.0
147,0,0,3389,-50.379995822906494,-24.279581785202026,1.0
148,1,0,3388,-50.379995822906494,-24.279581785202026,1.0
149,0,0,3387,-50.379995822906494,-24.279581785202026,1.0
150,0,0,3386,-50.379995822906494,-24.279581785202026,1.0
151,1,0,3385,-50.379995822906494,-24.279581785202026,1.0
152,1,0,3384,-50.379995822906494,-24.279581785202026,1.0
153,1,0,3362,-50.379995822906494,-24.279581785202026,1.0
154,1,0,3284,-50.379995822906494,-24.279581785202026,1.0
155,1,0,3283,-50.379995822906494,-24.279581785202026,1.0
156,1,0,3282,-50.379995822906494,-24.279581785202026,1.0
157,1,0,3184,-50.379995822906494,-24.279581785202026,1.0
158,1,0,3183,-50.379995822906494,-24.279581785202026,1.0
159,1,0,3182,-50.379995822906494,-24.279581785202026,1.0
160,1,0,3181,-50.379995822906494,-24.279581785202026,1.0
161,1,0,3180,-50.379995822906494,-24.279581785202026,1.0
162,1,0,3179,-50.379995822906494,-24.279581785202026,1.0
163,0,0,3178,-50.379995822906494,-24.279581785202026,1.0
164,0,0,3176,-50.379995822906494,-24.279581785202026,1.0
165,1,0,3168,-50.379995822906494,-24.279581785202026,1.0
166,1,0,3175,-50.379995822906494,-24.279581785202026,1.0
167,0,0,3174,-50.379995822906494,-24.279581785202026,1.0
168,1,0,3173,-50.379995822906494,-24.279581785202026,1.0
169,1,0,3172,-50.379995822906494,-24.279581785202026,1.0
170,0,0,3171,-50.379995822906494,-24.279581785202026,1.0
171,1,0,3170,-50.379995822906494,-24.279581785202026,1.0
172,1,0,3169,-50.379995822906494,-24.279581785202026,1.0
173,1,0,3185,-50.379995822906494,-24.279581785202026,1.0
174,1,0,3186,-50.379995822906494,-24.279581785202026,1.0
175,1,0,3187,-50.379995822906494,-24.279581785202026,1.0
176,1,0,3188,-50.379995822906494,-24.279581785202026,1.0
177,0,0,3203,-50.379995822906494,-24.279581785202026,1.0
178,1,0,3202,-50.379995822906494,-24.279581785202026,1.0
179,1,0,3201,-50.379995822906494,-24.279581785202026,1.0
180,1,0,3200,-50.379995822906494,-24.279581785202026,1.0
181,1,0,3199,-50.379995822906494,-24.279581785202026,1.0
182,1,0,3198,-50.379995822906494,-24.279581785202026,1.0
183,1,0,3197,-50.379995822906494,-24.279581785202026,1.0
184,1,0,3196,-50.379995822906494,-24.279581785202026,1.0
185,1,0,3195,-50.379995822906494,-24.279581785202026,1.0
186,1,0,3194,-50.379995822906494,-24.279581785202026,1.0
187,1,0,3193,-50.379995822906494,-24.279581785202026,1.0
188,1,0,3192,-50.379995822906494,-24.279581785202026,1.0
189,0,0,3191,-50.379995822906494,-24.279581785202026,1.0
190,1,0,3190,-50.379995822906494,-24.279581785202026,1.0
191,1,0,3189,-50.379995822906494,-24.279581785202026,1.0
192,1,0,3177,-50.379995822906494,-24.279581785202026,1.0
193,1,0,3167,-50.379995822906494,-24.279581785202026,1.0
194,1,0,3166,-50.379995822906494,-24.279581785202026,1.0
195,1,0,3165,-50.379995822906494,-24.279581785202026,1.0
196,1,0,3144,-50.379995822906494,-24.279581785202026,1.0
197,1,0,3143,-50.379995822906494,-24.279581785202026,1.0
198,1,0,3142,-50.379995822906494,-24.279581785202026,1.0
199,1,0,3141,-50.379995822906494,-24.279581785202026,1.0
