,right,cam,ctm,cam_time,ctm_time,rate
0,1,0,0,-299.46103048324585,,0.48424068767908307
1,1,0,0,-299.46103048324585,,0.48424068767908307
2,1,0,0,-299.46103048324585,,0.48424068767908307
3,1,0,0,-299.46103048324585,,0.48424068767908307
4,0,0,0,-299.46103048324585,,0.48424068767908307
5,1,0,0,-299.46103048324585,,0.48424068767908307
6,1,0,0,-299.46103048324585,,0.48424068767908307
7,1,41,0,-299.46103048324585,,0.48424068767908307
8,1,0,0,-299.46103048324585,,0.48424068767908307
9,1,0,0,-299.46103048324585,,0.48424068767908307
10,1,0,0,-299.46103048324585,,0.48424068767908307
11,0,0,0,-299.46103048324585,,0.48424068767908307
12,0,0,0,-299.46103048324585,,0.48424068767908307
13,1,0,0,-299.46103048324585,,0.48424068767908307
14,1,0,0,-299.46103048324585,,0.48424068767908307
15,1,0,0,-299.46103048324585,,0.48424068767908307
16,1,0,0,-299.46103048324585,,0.48424068767908307
17,0,0,0,-299.46103048324585,,0.48424068767908307
18,1,0,0,-299.46103048324585,,0.48424068767908307
19,1,0,0,-299.46103048324585,,0.48424068767908307
20,1,0,0,-299.46103048324585,,0.48424068767908307
21,1,0,0,-299.46103048324585,,0.48424068767908307
22,1,0,0,-299.46103048324585,,0.48424068767908307
23,0,0,0,-299.46103048324585,,0.48424068767908307
24,1,19,0,-299.46103048324585,,0.48424068767908307
25,0,0,0,-299.46103048324585,,0.48424068767908307
26,1,0,0,-299.46103048324585,,0.48424068767908307
27,0,0,0,-299.46103048324585,,0.48424068767908307
28,0,0,0,-299.46103048324585,,0.48424068767908307
29,1,0,0,-299.46103048324585,,0.48424068767908307
30,1,0,0,-299.46103048324585,,0.48424068767908307
31,1,0,0,-299.46103048324585,,0.48424068767908307
32,1,0,0,-299.46103048324585,,0.48424068767908307
33,1,0,0,-299.46103048324585,,0.48424068767908307
34,0,0,0,-299.46103048324585,,0.48424068767908307
35,1,0,0,-299.46103048324585,,0.48424068767908307
36,1,0,0,-299.46103048324585,,0.48424068767908307
37,0,0,0,-299.46103048324585,,0.48424068767908307
38,1,0,0,-299.46103048324585,,0.48424068767908307
39,1,0,0,-299.46103048324585,,0.48424068767908307
40,0,0,0,-299.46103048324585,,0.48424068767908307
41,1,0,0,-299.46103048324585,,0.48424068767908307
42,0,0,0,-299.46103048324585,,0.48424068767908307
43,1,0,0,-299.46103048324585,,0.48424068767908307
44,1,0,0,-299.46103048324585,,0.48424068767908307
45,1,0,0,-299.46103048324585,,0.48424068767908307
46,1,0,0,-299.46103048324585,,0.48424068767908307
47,1,0,0,-299.46103048324585,,0.48424068767908307
48,1,0,0,-299.46103048324585,,0.48424068767908307
49,0,0,0,-299.46103048324585,,0.48424068767908307
50,1,0,0,-299.46103048324585,,0.48424068767908307
51,1,42,0,-299.46103048324585,,0.48424068767908307
52,1,0,0,-299.46103048324585,,0.48424068767908307
53,1,0,0,-299.46103048324585,,0.48424068767908307
54,1,0,0,-299.46103048324585,,0.48424068767908307
55,1,0,0,-299.46103048324585,,0.48424068767908307
56,1,0,0,-299.46103048324585,,0.48424068767908307
57,1,0,0,-299.46103048324585,,0.48424068767908307
58,1,0,0,-299.46103048324585,,0.48424068767908307
59,1,0,0,-299.46103048324585,,0.48424068767908307
60,1,0,0,-299.46103048324585,,0.48424068767908307
61,1,0,0,-299.46103048324585,,0.48424068767908307
62,1,0,0,-299.46103048324585,,0.48424068767908307
63,1,43,0,-299.46103048324585,,0.48424068767908307
64,1,0,0,-299.46103048324585,,0.48424068767908307
65,1,0,0,-299.46103048324585,,0.48424068767908307
66,0,0,0,-299.46103048324585,,0.48424068767908307
67,0,0,0,-299.46103048324585,,0.48424068767908307
68,0,0,0,-299.46103048324585,,0.48424068767908307
69,1,0,0,-299.46103048324585,,0.48424068767908307
70,1,0,0,-299.46103048324585,,0.48424068767908307
71,1,0,0,-299.46103048324585,,0.48424068767908307
72,1,0,0,-299.46103048324585,,0.48424068767908307
73,1,0,0,-299.46103048324585,,0.48424068767908307
74,1,0,0,-299.46103048324585,,0.48424068767908307
75,0,0,0,-299.46103048324585,,0.48424068767908307
76,1,0,0,-299.46103048324585,,0.48424068767908307
77,1,0,0,-299.46103048324585,,0.48424068767908307
78,1,0,0,-299.46103048324585,,0.48424068767908307
79,1,0,0,-299.46103048324585,,0.48424068767908307
80,1,0,0,-299.46103048324585,,0.48424068767908307
81,1,0,0,-299.46103048324585,,0.48424068767908307
82,1,0,0,-299.46103048324585,,0.48424068767908307
83,1,0,0,-299.46103048324585,,0.48424068767908307
84,1,0,0,-299.46103048324585,,0.48424068767908307
85,1,0,0,-299.46103048324585,,0.48424068767908307
86,1,0,0,-299.46103048324585,,0.48424068767908307
87,1,0,0,-299.46103048324585,,0.48424068767908307
88,1,0,0,-299.46103048324585,,0.48424068767908307
89,1,0,0,-299.46103048324585,,0.48424068767908307
90,1,0,0,-299.46103048324585,,0.48424068767908307
91,1,0,0,-299.46103048324585,,0.48424068767908307
92,1,0,0,-299.46103048324585,,0.48424068767908307
93,1,0,0,-299.46103048324585,,0.48424068767908307
94,1,0,0,-299.46103048324585,,0.48424068767908307
95,1,0,0,-299.46103048324585,,0.48424068767908307
96,1,0,0,-299.46103048324585,,0.48424068767908307
97,1,0,0,-299.46103048324585,,0.48424068767908307
98,0,0,0,-299.46103048324585,,0.48424068767908307
99,1,0,0,-299.46103048324585,,0.48424068767908307
100,1,0,0,-299.46103048324585,,0.48424068767908307
101,1,0,0,-299.46103048324585,,0.48424068767908307
102,1,0,0,-299.46103048324585,,0.48424068767908307
103,0,0,0,-299.46103048324585,,0.48424068767908307
104,1,0,0,-299.46103048324585,,0.48424068767908307
105,1,0,0,-299.46103048324585,,0.48424068767908307
106,1,0,0,-299.46103048324585,,0.48424068767908307
107,0,0,0,-299.46103048324585,,0.48424068767908307
108,1,0,0,-299.46103048324585,,0.48424068767908307
109,1,0,0,-299.46103048324585,,0.48424068767908307
110,1,0,0,-299.46103048324585,,0.48424068767908307
111,1,0,0,-299.46103048324585,,0.48424068767908307
112,1,0,0,-299.46103048324585,,0.48424068767908307
113,1,0,0,-299.46103048324585,,0.48424068767908307
114,1,0,0,-299.46103048324585,,0.48424068767908307
115,1,44,0,-299.46103048324585,,0.48424068767908307
116,1,0,0,-299.46103048324585,,0.48424068767908307
117,1,0,0,-299.46103048324585,,0.48424068767908307
118,1,0,0,-299.46103048324585,,0.48424068767908307
119,1,0,0,-299.46103048324585,,0.48424068767908307
120,1,0,0,-299.46103048324585,,0.48424068767908307
121,1,0,0,-299.46103048324585,,0.48424068767908307
122,0,0,0,-299.46103048324585,,0.48424068767908307
123,1,0,0,-299.46103048324585,,0.48424068767908307
124,1,0,0,-299.46103048324585,,0.48424068767908307
125,0,0,0,-299.46103048324585,,0.48424068767908307
126,1,0,0,-299.46103048324585,,0.48424068767908307
127,1,0,0,-299.46103048324585,,0.48424068767908307
128,1,0,0,-299.46103048324585,,0.48424068767908307
129,1,0,0,-299.46103048324585,,0.48424068767908307
130,1,0,0,-299.46103048324585,,0.48424068767908307
131,0,0,0,-299.46103048324585,,0.48424068767908307
132,0,0,0,-299.46103048324585,,0.48424068767908307
133,1,0,0,-299.46103048324585,,0.48424068767908307
134,1,0,0,-299.46103048324585,,0.48424068767908307
135,0,0,0,-299.46103048324585,,0.48424068767908307
136,1,0,0,-299.46103048324585,,0.48424068767908307
137,1,0,0,-299.46103048324585,,0.48424068767908307
138,1,0,0,-299.46103048324585,,0.48424068767908307
139,1,0,0,-299.46103048324585,,0.48424068767908307
140,1,0,0,-299.46103048324585,,0.48424068767908307
141,0,0,0,-299.46103048324585,,0.48424068767908307
142,1,0,0,-299.46103048324585,,0.48424068767908307
143,1,0,0,-299.46103048324585,,0.48424068767908307
144,1,0,0,-299.46103048324585,,0.48424068767908307
145,1,0,0,-299.46103048324585,,0.48424068767908307
146,1,0,0,-299.46103048324585,,0.48424068767908307
147,0,0,0,-299.46103048324585,,0.48424068767908307
148,1,0,0,-299.46103048324585,,0.48424068767908307
149,0,0,0,-299.46103048324585,,0.48424068767908307
150,0,0,0,-299.46103048324585,,0.48424068767908307
151,1,0,0,-299.46103048324585,,0.48424068767908307
152,1,0,0,-299.46103048324585,,0.48424068767908307
153,1,0,0,-299.46103048324585,,0.48424068767908307
154,1,0,0,-299.46103048324585,,0.48424068767908307
155,1,0,0,-299.46103048324585,,0.48424068767908307
156,1,0,0,-299.46103048324585,,0.48424068767908307
157,1,0,0,-299.46103048324585,,0.48424068767908307
158,1,0,0,-299.46103048324585,,0.48424068767908307
159,1,0,0,-299.46103048324585,,0.48424068767908307
160,1,0,0,-299.46103048324585,,0.48424068767908307
161,1,0,0,-299.46103048324585,,0.48424068767908307
162,1,0,0,-299.46103048324585,,0.48424068767908307
163,0,0,0,-299.46103048324585,,0.48424068767908307
164,0,0,0,-299.46103048324585,,0.48424068767908307
165,1,0,0,-299.46103048324585,,0.48424068767908307
166,1,0,0,-299.46103048324585,,0.48424068767908307
167,0,0,0,-299.46103048324585,,0.48424068767908307
168,1,0,0,-299.46103048324585,,0.48424068767908307
169,1,0,0,-299.46103048324585,,0.48424068767908307
170,0,0,0,-299.46103048324585,,0.48424068767908307
171,1,0,0,-299.46103048324585,,0.48424068767908307
