,right,cam,ctm,rate,cam_time,ctm_time
0,1,104,8405,0.531,-1177.348736524582,-1177.331714630127
1,1,161,5697,0.531,-1177.348736524582,-1177.331714630127
2,1,23,9900,0.531,-1177.348736524582,-1177.331714630127
3,1,187,4234,0.531,-1177.348736524582,-1177.331714630127
4,1,204,3502,0.531,-1177.348736524582,-1177.331714630127
5,1,1,10000,0.531,-1177.348736524582,-1177.331714630127
6,1,238,2172,0.531,-1177.348736524582,-1177.331714630127
7,1,359,420,0.531,-1177.348736524582,-1177.331714630127
8,1,327,641,0.531,-1177.348736524582,-1177.331714630127
9,1,192,3980,0.531,-1177.348736524582,-1177.331714630127
10,1,129,7453,0.531,-1177.348736524582,-1177.331714630127
11,1,189,4154,0.531,-1177.348736524582,-1177.331714630127
12,1,221,2743,0.531,-1177.348736524582,-1177.331714630127
13,1,113,8102,0.531,-1177.348736524582,-1177.331714630127
14,1,0,7119,0.531,-1177.348736524582,-1177.331714630127
15,1,206,3377,0.531,-1177.348736524582,-1177.331714630127
16,1,227,2539,0.531,-1177.348736524582,-1177.331714630127
17,1,70,9190,0.531,-1177.348736524582,-1177.331714630127
18,1,463,98,0.531,-1177.348736524582,-1177.331714630127
19,1,143,6701,0.531,-1177.348736524582,-1177.331714630127
20,1,271,1370,0.531,-1177.348736524582,-1177.331714630127
21,1,0,2533,0.531,-1177.348736524582,-1177.331714630127
22,1,151,6303,0.531,-1177.348736524582,-1177.331714630127
23,1,133,7260,0.531,-1177.348736524582,-1177.331714630127
24,1,215,3018,0.531,-1177.348736524582,-1177.331714630127
25,1,181,4575,0.531,-1177.348736524582,-1177.331714630127
26,1,148,6421,0.531,-1177.348736524582,-1177.331714630127
27,1,171,5140,0.531,-1177.348736524582,-1177.331714630127
28,1,157,5962,0.531,-1177.348736524582,-1177.331714630127
29,1,63,9304,0.531,-1177.348736524582,-1177.331714630127
30,1,247,1917,0.531,-1177.348736524582,-1177.331714630127
31,1,65,9278,0.531,-1177.348736524582,-1177.331714630127
32,1,214,3057,0.531,-1177.348736524582,-1177.331714630127
33,1,246,1939,0.531,-1177.348736524582,-1177.331714630127
34,1,142,6749,0.531,-1177.348736524582,-1177.331714630127
35,1,188,4222,0.531,-1177.348736524582,-1177.331714630127
36,1,443,134,0.531,-1177.348736524582,-1177.331714630127
37,1,42,9667,0.531,-1177.348736524582,-1177.331714630127
38,1,235,2258,0.531,-1177.348736524582,-1177.331714630127
39,1,74,9118,0.531,-1177.348736524582,-1177.331714630127
40,1,57,9416,0.531,-1177.348736524582,-1177.331714630127
41,1,273,1322,0.531,-1177.348736524582,-1177.331714630127
42,1,0,3389,0.531,-1177.348736524582,-1177.331714630127
43,1,338,565,0.531,-1177.348736524582,-1177.331714630127
44,1,245,1974,0.531,-1177.348736524582,-1177.331714630127
45,1,220,2794,0.531,-1177.348736524582,-1177.331714630127
46,1,92,8753,0.531,-1177.348736524582,-1177.331714630127
47,1,183,4492,0.531,-1177.348736524582,-1177.331714630127
48,1,0,6677,0.531,-1177.348736524582,-1177.331714630127
49,1,198,3747,0.531,-1177.348736524582,-1177.331714630127
50,1,210,3211,0.531,-1177.348736524582,-1177.331714630127
51,1,194,3898,0.531,-1177.348736524582,-1177.331714630127
52,1,0,4445,0.531,-1177.348736524582,-1177.331714630127
53,1,162,5672,0.531,-1177.348736524582,-1177.331714630127
54,1,212,3123,0.531,-1177.348736524582,-1177.331714630127
55,1,41,9676,0.531,-1177.348736524582,-1177.331714630127
56,1,0,4263,0.531,-1177.348736524582,-1177.331714630127
57,1,73,9135,0.531,-1177.348736524582,-1177.331714630127
58,1,167,5334,0.531,-1177.348736524582,-1177.331714630127
59,1,302,910,0.531,-1177.348736524582,-1177.331714630127
60,1,172,5078,0.531,-1177.348736524582,-1177.331714630127
61,1,0,1353,0.531,-1177.348736524582,-1177.331714630127
62,0,486,57,0.531,-1177.348736524582,-1177.331714630127
63,1,226,2555,0.531,-1177.348736524582,-1177.331714630127
64,1,263,1533,0.531,-1177.348736524582,-1177.331714630127
65,1,281,1175,0.531,-1177.348736524582,-1177.331714630127
66,1,0,3508,0.531,-1177.348736524582,-1177.331714630127
67,1,201,3627,0.531,-1177.348736524582,-1177.331714630127
68,1,100,8535,0.531,-1177.348736524582,-1177.331714630127
69,1,219,2821,0.531,-1177.348736524582,-1177.331714630127
70,1,0,5368,0.531,-1177.348736524582,-1177.331714630127
71,1,0,7091,0.531,-1177.348736524582,-1177.331714630127
72,1,0,636,0.531,-1177.348736524582,-1177.331714630127
73,1,233,2341,0.531,-1177.348736524582,-1177.331714630127
74,1,72,9166,0.531,-1177.348736524582,-1177.331714630127
75,1,225,2614,0.531,-1177.348736524582,-1177.331714630127
76,1,123,7728,0.531,-1177.348736524582,-1177.331714630127
77,1,261,1577,0.531,-1177.348736524582,-1177.331714630127
78,1,301,925,0.531,-1177.348736524582,-1177.331714630127
79,1,147,6501,0.531,-1177.348736524582,-1177.331714630127
80,1,190,4116,0.531,-1177.348736524582,-1177.331714630127
81,1,0,6295,0.531,-1177.348736524582,-1177.331714630127
82,1,99,8565,0.531,-1177.348736524582,-1177.331714630127
83,1,0,6680,0.531,-1177.348736524582,-1177.331714630127
84,1,337,568,0.531,-1177.348736524582,-1177.331714630127
85,1,186,4303,0.531,-1177.348736524582,-1177.331714630127
86,1,164,5512,0.531,-1177.348736524582,-1177.331714630127
87,1,243,2033,0.531,-1177.348736524582,-1177.331714630127
88,1,86,8885,0.531,-1177.348736524582,-1177.331714630127
89,1,131,7306,0.531,-1177.348736524582,-1177.331714630127
90,1,176,4830,0.531,-1177.348736524582,-1177.331714630127
91,1,0,8539,0.531,-1177.348736524582,-1177.331714630127
92,1,231,2377,0.531,-1177.348736524582,-1177.331714630127
93,1,330,617,0.531,-1177.348736524582,-1177.331714630127
94,1,109,8217,0.531,-1177.348736524582,-1177.331714630127
95,1,334,588,0.531,-1177.348736524582,-1177.331714630127
96,1,154,6120,0.531,-1177.348736524582,-1177.331714630127
97,1,0,4331,0.531,-1177.348736524582,-1177.331714630127
98,1,224,2630,0.531,-1177.348736524582,-1177.331714630127
99,1,184,4426,0.531,-1177.348736524582,-1177.331714630127
100,1,134,7192,0.531,-1177.348736524582,-1177.331714630127
101,1,101,8498,0.531,-1177.348736524582,-1177.331714630127
102,1,203,3521,0.531,-1177.348736524582,-1177.331714630127
103,1,138,6955,0.531,-1177.348736524582,-1177.331714630127
104,1,256,1685,0.531,-1177.348736524582,-1177.331714630127
105,1,0,3539,0.531,-1177.348736524582,-1177.331714630127
106,1,0,2616,0.531,-1177.348736524582,-1177.331714630127
107,1,128,7472,0.531,-1177.348736524582,-1177.331714630127
108,1,0,3542,0.531,-1177.348736524582,-1177.331714630127
109,1,0,4406,0.531,-1177.348736524582,-1177.331714630127
110,1,0,6035,0.531,-1177.348736524582,-1177.331714630127
111,1,287,1083,0.531,-1177.348736524582,-1177.331714630127
112,1,149,6391,0.531,-1177.348736524582,-1177.331714630127
113,1,234,2276,0.531,-1177.348736524582,-1177.331714630127
114,1,200,3636,0.531,-1177.348736524582,-1177.331714630127
115,1,460,102,0.531,-1177.348736524582,-1177.331714630127
116,1,0,2833,0.531,-1177.348736524582,-1177.331714630127
117,1,211,3190,0.531,-1177.348736524582,-1177.331714630127
118,1,150,6315,0.531,-1177.348736524582,-1177.331714630127
119,1,282,1152,0.531,-1177.348736524582,-1177.331714630127
120,1,0,6754,0.531,-1177.348736524582,-1177.331714630127
121,1,259,1613,0.531,-1177.348736524582,-1177.331714630127
122,1,265,1475,0.531,-1177.348736524582,-1177.331714630127
123,1,124,7682,0.531,-1177.348736524582,-1177.331714630127
124,1,347,507,0.531,-1177.348736524582,-1177.331714630127
125,1,0,2740,0.531,-1177.348736524582,-1177.331714630127
126,1,0,6031,0.531,-1177.348736524582,-1177.331714630127
127,1,107,8303,0.531,-1177.348736524582,-1177.331714630127
128,1,122,7772,0.531,-1177.348736524582,-1177.331714630127
129,1,78,9051,0.531,-1177.348736524582,-1177.331714630127
130,1,126,7568,0.531,-1177.348736524582,-1177.331714630127
131,1,0,5970,0.531,-1177.348736524582,-1177.331714630127
132,1,0,5685,0.531,-1177.348736524582,-1177.331714630127
133,1,0,2412,0.531,-1177.348736524582,-1177.331714630127
134,1,0,7723,0.531,-1177.348736524582,-1177.331714630127
135,1,48,9546,0.531,-1177.348736524582,-1177.331714630127
136,1,94,8715,0.531,-1177.348736524582,-1177.331714630127
137,1,71,9181,0.531,-1177.348736524582,-1177.331714630127
138,1,0,9187,0.531,-1177.348736524582,-1177.331714630127
139,1,209,3262,0.531,-1177.348736524582,-1177.331714630127
140,1,0,5671,0.531,-1177.348736524582,-1177.331714630127
141,1,97,8626,0.531,-1177.348736524582,-1177.331714630127
142,1,258,1644,0.531,-1177.348736524582,-1177.331714630127
143,1,67,9251,0.531,-1177.348736524582,-1177.331714630127
144,1,195,3838,0.531,-1177.348736524582,-1177.331714630127
145,1,59,9390,0.531,-1177.348736524582,-1177.331714630127
146,1,146,6534,0.531,-1177.348736524582,-1177.331714630127
147,1,0,5946,0.531,-1177.348736524582,-1177.331714630127
148,1,83,8948,0.531,-1177.348736524582,-1177.331714630127
149,1,379,331,0.531,-1177.348736524582,-1177.331714630127
150,1,0,4311,0.531,-1177.348736524582,-1177.331714630127
151,1,397,264,0.531,-1177.348736524582,-1177.331714630127
152,1,199,3672,0.531,-1177.348736524582,-1177.331714630127
153,1,0,2288,0.531,-1177.348736524582,-1177.331714630127
154,1,0,9115,0.531,-1177.348736524582,-1177.331714630127
155,1,137,7014,0.531,-1177.348736524582,-1177.331714630127
156,1,80,9020,0.531,-1177.348736524582,-1177.331714630127
157,1,69,9222,0.531,-1177.348736524582,-1177.331714630127
158,1,307,859,0.531,-1177.348736524582,-1177.331714630127
159,1,0,5021,0.531,-1177.348736524582,-1177.331714630127
160,1,288,1067,0.531,-1177.348736524582,-1177.331714630127
161,1,177,4791,0.531,-1177.348736524582,-1177.331714630127
162,1,105,8356,0.531,-1177.348736524582,-1177.331714630127
