,right,cam,ctm,rate,cam_time,ctm_time
0,1,104,48110,0.974,-4738.422217607498,-4738.367364168167
1,1,161,45402,0.974,-4738.422217607498,-4738.367364168167
2,1,23,49605,0.974,-4738.422217607498,-4738.367364168167
3,1,187,43939,0.974,-4738.422217607498,-4738.367364168167
4,1,204,43204,0.974,-4738.422217607498,-4738.367364168167
5,1,1,49705,0.974,-4738.422217607498,-4738.367364168167
6,1,238,41853,0.974,-4738.422217607498,-4738.367364168167
7,1,0,37465,0.974,-4738.422217607498,-4738.367364168167
8,1,327,39410,0.974,-4738.422217607498,-4738.367364168167
9,1,192,43684,0.974,-4738.422217607498,-4738.367364168167
10,1,129,47158,0.974,-4738.422217607498,-4738.367364168167
11,1,189,43859,0.974,-4738.422217607498,-4738.367364168167
12,1,221,42437,0.974,-4738.422217607498,-4738.367364168167
13,1,113,47807,0.974,-4738.422217607498,-4738.367364168167
14,1,0,46824,0.974,-4738.422217607498,-4738.367364168167
15,1,206,43078,0.974,-4738.422217607498,-4738.367364168167
16,1,227,42233,0.974,-4738.422217607498,-4738.367364168167
17,1,70,48895,0.974,-4738.422217607498,-4738.367364168167
18,1,0,20566,0.974,-4738.422217607498,-4738.367364168167
19,1,143,46406,0.974,-4738.422217607498,-4738.367364168167
20,1,271,40986,0.974,-4738.422217607498,-4738.367364168167
21,1,0,42227,0.974,-4738.422217607498,-4738.367364168167
22,1,151,46008,0.974,-4738.422217607498,-4738.367364168167
23,1,133,46965,0.974,-4738.422217607498,-4738.367364168167
24,1,215,42718,0.974,-4738.422217607498,-4738.367364168167
25,1,181,44280,0.974,-4738.422217607498,-4738.367364168167
26,1,148,46126,0.974,-4738.422217607498,-4738.367364168167
27,1,171,44845,0.974,-4738.422217607498,-4738.367364168167
28,1,157,45667,0.974,-4738.422217607498,-4738.367364168167
29,1,63,49009,0.974,-4738.422217607498,-4738.367364168167
30,1,247,41589,0.974,-4738.422217607498,-4738.367364168167
31,1,65,48983,0.974,-4738.422217607498,-4738.367364168167
32,1,214,42758,0.974,-4738.422217607498,-4738.367364168167
33,1,246,41612,0.974,-4738.422217607498,-4738.367364168167
34,1,142,46454,0.974,-4738.422217607498,-4738.367364168167
35,1,188,43927,0.974,-4738.422217607498,-4738.367364168167
36,1,0,24465,0.974,-4738.422217607498,-4738.367364168167
37,1,42,49372,0.974,-4738.422217607498,-4738.367364168167
