,right,cam,ctm,rate,cam_time,ctm_time
0,1,0,49313,0.982,-35.5834174156189,-35.50212860107422
1,1,0,42638,0.982,-35.5834174156189,-35.50212860107422
2,1,0,47958,0.982,-35.5834174156189,-35.50212860107422
3,1,0,45140,0.982,-35.5834174156189,-35.50212860107422
4,1,0,46195,0.982,-35.5834174156189,-35.50212860107422
5,1,0,47950,0.982,-35.5834174156189,-35.50212860107422
6,1,32,45773,0.982,-35.5834174156189,-35.50212860107422
7,1,0,38391,0.982,-35.5834174156189,-35.50212860107422
8,1,0,42152,0.982,-35.5834174156189,-35.50212860107422
9,1,0,38203,0.982,-35.5834174156189,-35.50212860107422
10,1,0,45478,0.982,-35.5834174156189,-35.50212860107422
11,1,0,47242,0.982,-35.5834174156189,-35.50212860107422
12,1,0,38532,0.982,-35.5834174156189,-35.50212860107422
13,1,0,45127,0.982,-35.5834174156189,-35.50212860107422
14,1,8,47820,0.982,-35.5834174156189,-35.50212860107422
15,1,0,43143,0.982,-35.5834174156189,-35.50212860107422
16,1,0,38538,0.982,-35.5834174156189,-35.50212860107422
17,1,0,49144,0.982,-35.5834174156189,-35.50212860107422
18,1,0,36522,0.982,-35.5834174156189,-35.50212860107422
19,1,0,46366,0.982,-35.5834174156189,-35.50212860107422
20,1,0,38422,0.982,-35.5834174156189,-35.50212860107422
21,1,0,47162,0.982,-35.5834174156189,-35.50212860107422
22,1,0,47431,0.982,-35.5834174156189,-35.50212860107422
23,1,0,43784,0.982,-35.5834174156189,-35.50212860107422
24,1,0,46423,0.982,-35.5834174156189,-35.50212860107422
25,1,0,45143,0.982,-35.5834174156189,-35.50212860107422
26,1,0,48118,0.982,-35.5834174156189,-35.50212860107422
27,1,0,46383,0.982,-35.5834174156189,-35.50212860107422
28,1,0,45668,0.982,-35.5834174156189,-35.50212860107422
29,1,0,48588,0.982,-35.5834174156189,-35.50212860107422
30,1,0,44320,0.982,-35.5834174156189,-35.50212860107422
31,1,0,48622,0.982,-35.5834174156189,-35.50212860107422
32,1,0,43996,0.982,-35.5834174156189,-35.50212860107422
