,right,cam,ctm,cam_time,ctm_time,rate
0,1,0,10000,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
1,1,0,3341,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
2,1,0,3340,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
3,1,0,3339,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
4,1,0,3338,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
5,1,0,3337,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
6,1,0,3336,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
7,1,0,3335,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
8,1,0,3333,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
9,1,0,3325,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
10,1,0,3332,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
11,1,0,3331,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
12,1,0,3330,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
13,1,0,3329,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
14,1,0,3328,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
15,1,0,3327,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
16,1,0,3326,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
17,1,0,3342,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
18,1,0,3343,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
19,1,0,3344,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
20,1,0,3345,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
21,1,0,3360,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
22,1,0,3359,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
23,1,0,3358,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
24,1,0,3357,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
25,1,0,3356,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
26,1,0,3355,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
27,1,0,3354,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
28,1,0,3353,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
29,1,0,3352,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
30,1,0,3351,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
31,1,0,3350,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
32,1,0,3349,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
33,1,0,3348,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
34,1,0,3347,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
35,1,0,3346,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
36,1,0,3334,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
37,1,0,3323,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
38,1,0,3295,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
39,1,0,3322,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
40,1,0,3302,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
41,1,0,3301,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
42,1,0,3300,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
43,1,0,3299,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
44,1,0,3298,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
45,1,0,3297,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
46,1,0,3296,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
47,1,0,3294,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
48,1,0,3286,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
49,1,0,3293,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
50,1,0,3292,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
51,1,0,3291,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
52,1,0,3290,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
53,1,0,3289,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
54,1,0,3288,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
55,1,0,3287,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
56,1,0,3303,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
57,1,0,3304,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
58,1,0,3305,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
59,1,0,3306,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
60,1,0,3321,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
61,1,0,3320,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
62,0,0,3319,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
63,1,0,3318,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
64,1,3,3,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
65,1,0,3317,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
66,1,0,3316,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
67,1,0,3315,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
68,1,0,3314,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
69,1,0,3313,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
70,1,0,3312,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
71,1,0,3311,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
72,1,0,3310,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
73,1,0,3309,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
74,1,0,3308,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
75,1,0,3307,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
76,1,0,3361,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
77,1,0,3324,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
78,1,0,3362,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
79,1,0,3402,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
80,1,0,3419,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
81,1,0,3418,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
82,1,0,3417,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
83,1,0,3416,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
84,1,0,3415,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
85,1,0,3414,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
86,1,0,3413,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
87,1,0,3411,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
88,1,0,3403,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
89,1,0,3410,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
90,1,0,3409,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
91,1,0,3408,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
92,1,0,3407,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
93,1,0,3406,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
94,1,0,3405,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
95,1,0,3404,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
96,1,0,3420,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
97,1,0,3421,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
98,1,0,3422,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
99,1,0,3423,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
100,1,0,3438,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
101,1,0,3437,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
102,1,0,3436,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
103,1,0,3435,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
104,1,0,3434,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
105,1,0,3433,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
106,1,0,3432,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
107,1,0,3431,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
108,1,0,3430,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
109,1,0,3429,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
110,1,0,3428,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
111,1,0,3427,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
112,1,0,3426,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
113,1,0,3425,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
114,1,0,3424,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
115,1,0,3412,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
116,1,0,3401,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
117,1,0,3373,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
118,1,0,3400,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
119,1,0,3380,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
120,1,0,3379,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
121,1,0,3378,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
122,1,0,3377,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
123,1,0,3376,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
124,1,0,3375,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
125,1,0,3374,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
126,1,0,3372,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
127,1,0,3364,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
128,1,0,3371,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
129,1,0,3370,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
130,1,0,3369,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
131,1,0,3368,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
132,1,0,3367,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
133,1,0,3366,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
134,1,0,3365,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
135,1,0,3381,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
136,1,0,3382,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
137,1,0,3383,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
138,1,0,3384,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
139,1,0,3399,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
140,1,0,3398,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
141,1,0,3397,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
