,right,cam,ctm,rate,cam_time,ctm_time
0,1,0,14082,0.964,-3053.4464497566223,-3053.40749669075
1,1,0,16051,0.964,-3053.4464497566223,-3053.40749669075
2,1,511,4950,0.964,-3053.4464497566223,-3053.40749669075
3,0,481,5844,0.964,-3053.4464497566223,-3053.40749669075
4,1,0,16402,0.964,-3053.4464497566223,-3053.40749669075
5,1,0,17362,0.964,-3053.4464497566223,-3053.40749669075
6,1,0,21929,0.964,-3053.4464497566223,-3053.40749669075
7,1,186,21985,0.964,-3053.4464497566223,-3053.40749669075
8,1,356,11447,0.964,-3053.4464497566223,-3053.40749669075
9,1,257,17558,0.964,-3053.4464497566223,-3053.40749669075
10,0,592,3122,0.964,-3053.4464497566223,-3053.40749669075
11,1,347,11870,0.964,-3053.4464497566223,-3053.40749669075
12,1,397,9210,0.964,-3053.4464497566223,-3053.40749669075
13,1,631,2469,0.964,-3053.4464497566223,-3053.40749669075
14,1,0,4973,0.964,-3053.4464497566223,-3053.40749669075
15,1,310,14060,0.964,-3053.4464497566223,-3053.40749669075
16,1,224,19758,0.964,-3053.4464497566223,-3053.40749669075
17,1,0,14717,0.964,-3053.4464497566223,-3053.40749669075
18,1,139,24155,0.964,-3053.4464497566223,-3053.40749669075
19,1,113,24973,0.964,-3053.4464497566223,-3053.40749669075
20,1,0,18973,0.964,-3053.4464497566223,-3053.40749669075
21,1,118,24852,0.964,-3053.4464497566223,-3053.40749669075
22,1,465,6396,0.964,-3053.4464497566223,-3053.40749669075
23,0,0,15992,0.964,-3053.4464497566223,-3053.40749669075
24,1,117,24891,0.964,-3053.4464497566223,-3053.40749669075
25,1,114,24970,0.964,-3053.4464497566223,-3053.40749669075
26,1,724,1418,0.964,-3053.4464497566223,-3053.40749669075
27,1,541,4197,0.964,-3053.4464497566223,-3053.40749669075
28,1,217,20124,0.964,-3053.4464497566223,-3053.40749669075
29,1,594,3072,0.964,-3053.4464497566223,-3053.40749669075
30,0,439,7408,0.964,-3053.4464497566223,-3053.40749669075
31,1,396,9269,0.964,-3053.4464497566223,-3053.40749669075
32,0,426,7929,0.964,-3053.4464497566223,-3053.40749669075
33,1,0,18109,0.964,-3053.4464497566223,-3053.40749669075
34,1,560,3729,0.964,-3053.4464497566223,-3053.40749669075
35,1,0,11432,0.964,-3053.4464497566223,-3053.40749669075
36,0,626,2549,0.964,-3053.4464497566223,-3053.40749669075
37,1,437,7512,0.964,-3053.4464497566223,-3053.40749669075
38,1,336,12507,0.964,-3053.4464497566223,-3053.40749669075
39,1,496,5393,0.964,-3053.4464497566223,-3053.40749669075
40,0,593,3105,0.964,-3053.4464497566223,-3053.40749669075
41,1,0,14725,0.964,-3053.4464497566223,-3053.40749669075
42,1,254,17741,0.964,-3053.4464497566223,-3053.40749669075
43,1,903,453,0.964,-3053.4464497566223,-3053.40749669075
44,1,466,6364,0.964,-3053.4464497566223,-3053.40749669075
45,1,359,11223,0.964,-3053.4464497566223,-3053.40749669075
46,1,172,22733,0.964,-3053.4464497566223,-3053.40749669075
47,1,0,14203,0.964,-3053.4464497566223,-3053.40749669075
48,1,0,15214,0.964,-3053.4464497566223,-3053.40749669075
49,1,370,10663,0.964,-3053.4464497566223,-3053.40749669075
50,1,189,21824,0.964,-3053.4464497566223,-3053.40749669075
51,1,459,6632,0.964,-3053.4464497566223,-3053.40749669075
52,1,385,9837,0.964,-3053.4464497566223,-3053.40749669075
53,1,295,14974,0.964,-3053.4464497566223,-3053.40749669075
54,1,302,14548,0.964,-3053.4464497566223,-3053.40749669075
55,0,393,9430,0.964,-3053.4464497566223,-3053.40749669075
56,0,717,1483,0.964,-3053.4464497566223,-3053.40749669075
57,1,0,14010,0.964,-3053.4464497566223,-3053.40749669075
58,0,0,6393,0.964,-3053.4464497566223,-3053.40749669075
59,0,946,334,0.964,-3053.4464497566223,-3053.40749669075
60,1,586,3223,0.964,-3053.4464497566223,-3053.40749669075
61,0,925,385,0.964,-3053.4464497566223,-3053.40749669075
62,1,355,11471,0.964,-3053.4464497566223,-3053.40749669075
63,1,352,11650,0.964,-3053.4464497566223,-3053.40749669075
64,1,263,17152,0.964,-3053.4464497566223,-3053.40749669075
65,1,0,18409,0.964,-3053.4464497566223,-3053.40749669075
66,1,389,9621,0.964,-3053.4464497566223,-3053.40749669075
