,right,cam,ctm,cam_time,ctm_time,rate
0,1,0,10526,-40.59890174865723,-14.27970027923584,0.9226519337016574
1,1,0,16904,-40.59890174865723,-14.27970027923584,0.9226519337016574
2,1,0,15419,-40.59890174865723,-14.27970027923584,0.9226519337016574
3,0,0,25101,-40.59890174865723,-14.27970027923584,0.9226519337016574
4,1,0,21878,-40.59890174865723,-14.27970027923584,0.9226519337016574
5,1,0,18623,-40.59890174865723,-14.27970027923584,0.9226519337016574
6,1,0,20694,-40.59890174865723,-14.27970027923584,0.9226519337016574
7,1,0,4031,-40.59890174865723,-14.27970027923584,0.9226519337016574
8,1,0,16576,-40.59890174865723,-14.27970027923584,0.9226519337016574
9,1,0,6534,-40.59890174865723,-14.27970027923584,0.9226519337016574
10,0,0,17023,-40.59890174865723,-14.27970027923584,0.9226519337016574
11,1,0,22265,-40.59890174865723,-14.27970027923584,0.9226519337016574
12,1,0,19129,-40.59890174865723,-14.27970027923584,0.9226519337016574
13,1,0,13330,-40.59890174865723,-14.27970027923584,0.9226519337016574
14,1,0,19901,-40.59890174865723,-14.27970027923584,0.9226519337016574
15,1,0,9636,-40.59890174865723,-14.27970027923584,0.9226519337016574
16,1,0,4011,-40.59890174865723,-14.27970027923584,0.9226519337016574
17,1,0,13291,-40.59890174865723,-14.27970027923584,0.9226519337016574
18,1,10,736,-40.59890174865723,-14.27970027923584,0.9226519337016574
19,1,0,778,-40.59890174865723,-14.27970027923584,0.9226519337016574
20,1,0,1712,-40.59890174865723,-14.27970027923584,0.9226519337016574
21,1,0,9560,-40.59890174865723,-14.27970027923584,0.9226519337016574
22,1,0,15176,-40.59890174865723,-14.27970027923584,0.9226519337016574
23,0,0,13367,-40.59890174865723,-14.27970027923584,0.9226519337016574
24,1,0,422,-40.59890174865723,-14.27970027923584,0.9226519337016574
25,1,0,4060,-40.59890174865723,-14.27970027923584,0.9226519337016574
26,1,0,23464,-40.59890174865723,-14.27970027923584,0.9226519337016574
27,1,0,15075,-40.59890174865723,-14.27970027923584,0.9226519337016574
28,1,0,15574,-40.59890174865723,-14.27970027923584,0.9226519337016574
29,1,0,20471,-40.59890174865723,-14.27970027923584,0.9226519337016574
30,0,0,6286,-40.59890174865723,-14.27970027923584,0.9226519337016574
31,1,0,20289,-40.59890174865723,-14.27970027923584,0.9226519337016574
32,0,0,20444,-40.59890174865723,-14.27970027923584,0.9226519337016574
33,1,0,6589,-40.59890174865723,-14.27970027923584,0.9226519337016574
34,1,0,9135,-40.59890174865723,-14.27970027923584,0.9226519337016574
35,1,0,182,-40.59890174865723,-14.27970027923584,0.9226519337016574
36,0,0,993,-40.59890174865723,-14.27970027923584,0.9226519337016574
37,1,0,4679,-40.59890174865723,-14.27970027923584,0.9226519337016574
38,1,0,6249,-40.59890174865723,-14.27970027923584,0.9226519337016574
39,1,0,954,-40.59890174865723,-14.27970027923584,0.9226519337016574
40,0,0,5767,-40.59890174865723,-14.27970027923584,0.9226519337016574
41,1,0,25272,-40.59890174865723,-14.27970027923584,0.9226519337016574
42,1,0,15502,-40.59890174865723,-14.27970027923584,0.9226519337016574
43,1,0,14756,-40.59890174865723,-14.27970027923584,0.9226519337016574
44,1,0,21824,-40.59890174865723,-14.27970027923584,0.9226519337016574
45,1,0,18459,-40.59890174865723,-14.27970027923584,0.9226519337016574
46,1,0,11962,-40.59890174865723,-14.27970027923584,0.9226519337016574
47,1,0,2749,-40.59890174865723,-14.27970027923584,0.9226519337016574
48,1,0,11958,-40.59890174865723,-14.27970027923584,0.9226519337016574
49,1,0,1933,-40.59890174865723,-14.27970027923584,0.9226519337016574
50,1,0,7989,-40.59890174865723,-14.27970027923584,0.9226519337016574
51,1,0,2733,-40.59890174865723,-14.27970027923584,0.9226519337016574
52,1,0,1709,-40.59890174865723,-14.27970027923584,0.9226519337016574
53,1,0,24444,-40.59890174865723,-14.27970027923584,0.9226519337016574
54,1,0,5732,-40.59890174865723,-14.27970027923584,0.9226519337016574
55,0,0,18533,-40.59890174865723,-14.27970027923584,0.9226519337016574
56,0,0,6376,-40.59890174865723,-14.27970027923584,0.9226519337016574
57,1,0,2435,-40.59890174865723,-14.27970027923584,0.9226519337016574
58,0,0,2454,-40.59890174865723,-14.27970027923584,0.9226519337016574
59,0,0,23137,-40.59890174865723,-14.27970027923584,0.9226519337016574
60,1,0,11906,-40.59890174865723,-14.27970027923584,0.9226519337016574
61,0,0,18834,-40.59890174865723,-14.27970027923584,0.9226519337016574
62,1,0,11911,-40.59890174865723,-14.27970027923584,0.9226519337016574
63,1,0,22846,-40.59890174865723,-14.27970027923584,0.9226519337016574
64,1,0,24892,-40.59890174865723,-14.27970027923584,0.9226519337016574
65,1,0,24473,-40.59890174865723,-14.27970027923584,0.9226519337016574
66,1,0,21172,-40.59890174865723,-14.27970027923584,0.9226519337016574
67,0,0,13300,-40.59890174865723,-14.27970027923584,0.9226519337016574
68,1,0,9541,-40.59890174865723,-14.27970027923584,0.9226519337016574
69,1,0,11362,-40.59890174865723,-14.27970027923584,0.9226519337016574
70,1,0,15328,-40.59890174865723,-14.27970027923584,0.9226519337016574
71,1,0,10756,-40.59890174865723,-14.27970027923584,0.9226519337016574
72,1,0,6332,-40.59890174865723,-14.27970027923584,0.9226519337016574
73,1,0,16109,-40.59890174865723,-14.27970027923584,0.9226519337016574
74,1,0,20636,-40.59890174865723,-14.27970027923584,0.9226519337016574
75,1,0,22776,-40.59890174865723,-14.27970027923584,0.9226519337016574
76,1,0,13333,-40.59890174865723,-14.27970027923584,0.9226519337016574
77,0,0,23316,-40.59890174865723,-14.27970027923584,0.9226519337016574
78,1,0,11926,-40.59890174865723,-14.27970027923584,0.9226519337016574
79,1,0,5752,-40.59890174865723,-14.27970027923584,0.9226519337016574
80,1,0,10749,-40.59890174865723,-14.27970027923584,0.9226519337016574
81,1,0,21775,-40.59890174865723,-14.27970027923584,0.9226519337016574
82,1,0,14072,-40.59890174865723,-14.27970027923584,0.9226519337016574
83,1,0,10742,-40.59890174865723,-14.27970027923584,0.9226519337016574
84,1,0,17383,-40.59890174865723,-14.27970027923584,0.9226519337016574
85,1,0,5080,-40.59890174865723,-14.27970027923584,0.9226519337016574
86,1,0,1120,-40.59890174865723,-14.27970027923584,0.9226519337016574
87,1,0,10096,-40.59890174865723,-14.27970027923584,0.9226519337016574
88,1,0,12864,-40.59890174865723,-14.27970027923584,0.9226519337016574
89,1,0,8117,-40.59890174865723,-14.27970027923584,0.9226519337016574
90,1,0,11064,-40.59890174865723,-14.27970027923584,0.9226519337016574
91,1,0,11829,-40.59890174865723,-14.27970027923584,0.9226519337016574
92,1,0,10878,-40.59890174865723,-14.27970027923584,0.9226519337016574
93,1,0,3478,-40.59890174865723,-14.27970027923584,0.9226519337016574
94,1,0,14213,-40.59890174865723,-14.27970027923584,0.9226519337016574
95,1,0,2453,-40.59890174865723,-14.27970027923584,0.9226519337016574
96,0,0,2444,-40.59890174865723,-14.27970027923584,0.9226519337016574
97,1,0,16808,-40.59890174865723,-14.27970027923584,0.9226519337016574
98,1,0,12730,-40.59890174865723,-14.27970027923584,0.9226519337016574
99,1,0,5745,-40.59890174865723,-14.27970027923584,0.9226519337016574
100,1,0,2863,-40.59890174865723,-14.27970027923584,0.9226519337016574
101,1,0,5164,-40.59890174865723,-14.27970027923584,0.9226519337016574
102,1,0,6839,-40.59890174865723,-14.27970027923584,0.9226519337016574
103,1,0,13556,-40.59890174865723,-14.27970027923584,0.9226519337016574
104,1,0,17578,-40.59890174865723,-14.27970027923584,0.9226519337016574
105,1,0,9219,-40.59890174865723,-14.27970027923584,0.9226519337016574
106,1,0,9254,-40.59890174865723,-14.27970027923584,0.9226519337016574
107,1,0,16493,-40.59890174865723,-14.27970027923584,0.9226519337016574
108,1,0,17532,-40.59890174865723,-14.27970027923584,0.9226519337016574
109,1,0,12758,-40.59890174865723,-14.27970027923584,0.9226519337016574
110,1,0,15910,-40.59890174865723,-14.27970027923584,0.9226519337016574
111,1,0,13620,-40.59890174865723,-14.27970027923584,0.9226519337016574
112,1,0,6294,-40.59890174865723,-14.27970027923584,0.9226519337016574
113,1,0,19737,-40.59890174865723,-14.27970027923584,0.9226519337016574
114,1,0,19488,-40.59890174865723,-14.27970027923584,0.9226519337016574
115,1,0,17736,-40.59890174865723,-14.27970027923584,0.9226519337016574
116,1,0,17508,-40.59890174865723,-14.27970027923584,0.9226519337016574
117,1,0,23813,-40.59890174865723,-14.27970027923584,0.9226519337016574
118,0,0,17567,-40.59890174865723,-14.27970027923584,0.9226519337016574
119,1,0,21333,-40.59890174865723,-14.27970027923584,0.9226519337016574
120,1,0,23582,-40.59890174865723,-14.27970027923584,0.9226519337016574
121,1,0,22200,-40.59890174865723,-14.27970027923584,0.9226519337016574
122,1,0,4639,-40.59890174865723,-14.27970027923584,0.9226519337016574
123,1,0,3500,-40.59890174865723,-14.27970027923584,0.9226519337016574
124,1,0,7478,-40.59890174865723,-14.27970027923584,0.9226519337016574
125,1,0,932,-40.59890174865723,-14.27970027923584,0.9226519337016574
126,0,0,25192,-40.59890174865723,-14.27970027923584,0.9226519337016574
127,1,0,25728,-40.59890174865723,-14.27970027923584,0.9226519337016574
128,1,0,16203,-40.59890174865723,-14.27970027923584,0.9226519337016574
129,0,0,15608,-40.59890174865723,-14.27970027923584,0.9226519337016574
130,1,0,3675,-40.59890174865723,-14.27970027923584,0.9226519337016574
