,right,cam,ctm,cam_time,ctm_time,rate
0,1,0,26032,-37.619258880615234,-14.213886260986328,1.0
1,1,0,8674,-37.619258880615234,-14.213886260986328,1.0
2,1,0,8675,-37.619258880615234,-14.213886260986328,1.0
3,0,0,8676,-37.619258880615234,-14.213886260986328,1.0
4,1,0,8677,-37.619258880615234,-14.213886260986328,1.0
5,1,0,8678,-37.619258880615234,-14.213886260986328,1.0
6,1,0,8679,-37.619258880615234,-14.213886260986328,1.0
7,1,0,8680,-37.619258880615234,-14.213886260986328,1.0
8,1,0,8681,-37.619258880615234,-14.213886260986328,1.0
9,1,0,8682,-37.619258880615234,-14.213886260986328,1.0
10,0,0,8683,-37.619258880615234,-14.213886260986328,1.0
11,1,0,8684,-37.619258880615234,-14.213886260986328,1.0
12,1,0,8685,-37.619258880615234,-14.213886260986328,1.0
13,1,0,8686,-37.619258880615234,-14.213886260986328,1.0
14,1,0,8687,-37.619258880615234,-14.213886260986328,1.0
15,1,0,8688,-37.619258880615234,-14.213886260986328,1.0
16,1,0,8689,-37.619258880615234,-14.213886260986328,1.0
17,1,0,8690,-37.619258880615234,-14.213886260986328,1.0
18,1,0,8691,-37.619258880615234,-14.213886260986328,1.0
19,1,0,8692,-37.619258880615234,-14.213886260986328,1.0
20,1,0,8693,-37.619258880615234,-14.213886260986328,1.0
21,1,0,8694,-37.619258880615234,-14.213886260986328,1.0
22,1,0,8673,-37.619258880615234,-14.213886260986328,1.0
23,0,0,8672,-37.619258880615234,-14.213886260986328,1.0
24,1,0,8671,-37.619258880615234,-14.213886260986328,1.0
25,1,0,8670,-37.619258880615234,-14.213886260986328,1.0
26,1,0,8648,-37.619258880615234,-14.213886260986328,1.0
27,1,0,8649,-37.619258880615234,-14.213886260986328,1.0
28,1,0,8650,-37.619258880615234,-14.213886260986328,1.0
29,1,0,8651,-37.619258880615234,-14.213886260986328,1.0
30,0,0,8652,-37.619258880615234,-14.213886260986328,1.0
31,1,0,8653,-37.619258880615234,-14.213886260986328,1.0
32,0,0,8654,-37.619258880615234,-14.213886260986328,1.0
33,1,0,8655,-37.619258880615234,-14.213886260986328,1.0
34,1,0,8656,-37.619258880615234,-14.213886260986328,1.0
35,1,0,8657,-37.619258880615234,-14.213886260986328,1.0
36,0,0,8647,-37.619258880615234,-14.213886260986328,1.0
37,1,0,8658,-37.619258880615234,-14.213886260986328,1.0
38,1,0,8660,-37.619258880615234,-14.213886260986328,1.0
39,1,0,8661,-37.619258880615234,-14.213886260986328,1.0
40,0,0,8662,-37.619258880615234,-14.213886260986328,1.0
41,1,0,8663,-37.619258880615234,-14.213886260986328,1.0
42,1,0,8664,-37.619258880615234,-14.213886260986328,1.0
43,1,0,8665,-37.619258880615234,-14.213886260986328,1.0
44,1,0,8666,-37.619258880615234,-14.213886260986328,1.0
45,1,0,8667,-37.619258880615234,-14.213886260986328,1.0
46,1,0,8668,-37.619258880615234,-14.213886260986328,1.0
47,1,0,8669,-37.619258880615234,-14.213886260986328,1.0
48,1,0,8695,-37.619258880615234,-14.213886260986328,1.0
49,1,0,8659,-37.619258880615234,-14.213886260986328,1.0
50,1,0,8696,-37.619258880615234,-14.213886260986328,1.0
51,1,0,8710,-37.619258880615234,-14.213886260986328,1.0
52,1,0,8725,-37.619258880615234,-14.213886260986328,1.0
53,1,0,8726,-37.619258880615234,-14.213886260986328,1.0
54,1,0,8727,-37.619258880615234,-14.213886260986328,1.0
55,0,0,8728,-37.619258880615234,-14.213886260986328,1.0
56,0,0,8729,-37.619258880615234,-14.213886260986328,1.0
57,1,0,8730,-37.619258880615234,-14.213886260986328,1.0
58,0,0,8731,-37.619258880615234,-14.213886260986328,1.0
59,0,0,8732,-37.619258880615234,-14.213886260986328,1.0
60,1,0,8733,-37.619258880615234,-14.213886260986328,1.0
61,0,0,8734,-37.619258880615234,-14.213886260986328,1.0
62,1,0,8735,-37.619258880615234,-14.213886260986328,1.0
63,1,0,8736,-37.619258880615234,-14.213886260986328,1.0
64,1,0,8737,-37.619258880615234,-14.213886260986328,1.0
65,1,0,8738,-37.619258880615234,-14.213886260986328,1.0
66,1,0,8739,-37.619258880615234,-14.213886260986328,1.0
67,0,0,8740,-37.619258880615234,-14.213886260986328,1.0
68,1,0,8741,-37.619258880615234,-14.213886260986328,1.0
69,1,0,8742,-37.619258880615234,-14.213886260986328,1.0
70,1,0,8743,-37.619258880615234,-14.213886260986328,1.0
71,1,0,8744,-37.619258880615234,-14.213886260986328,1.0
72,1,0,8745,-37.619258880615234,-14.213886260986328,1.0
73,1,0,8724,-37.619258880615234,-14.213886260986328,1.0
74,1,0,8723,-37.619258880615234,-14.213886260986328,1.0
75,1,0,8722,-37.619258880615234,-14.213886260986328,1.0
76,1,0,8721,-37.619258880615234,-14.213886260986328,1.0
77,0,0,8699,-37.619258880615234,-14.213886260986328,1.0
78,1,0,8700,-37.619258880615234,-14.213886260986328,1.0
79,1,0,8701,-37.619258880615234,-14.213886260986328,1.0
80,1,0,8702,-37.619258880615234,-14.213886260986328,1.0
