,right,cam,ctm,cam_time,ctm_time,rate
0,1,0,23406,-250.56318020820618,-124.9529447555542,0.876139188069594
1,1,0,21345,-250.56318020820618,-124.9529447555542,0.876139188069594
2,1,0,11553,-250.56318020820618,-124.9529447555542,0.876139188069594
3,1,0,11941,-250.56318020820618,-124.9529447555542,0.876139188069594
4,1,0,31364,-250.56318020820618,-124.9529447555542,0.876139188069594
5,1,0,29589,-250.56318020820618,-124.9529447555542,0.876139188069594
6,1,0,23792,-250.56318020820618,-124.9529447555542,0.876139188069594
7,1,0,19548,-250.56318020820618,-124.9529447555542,0.876139188069594
8,1,0,18112,-250.56318020820618,-124.9529447555542,0.876139188069594
9,1,0,521,-250.56318020820618,-124.9529447555542,0.876139188069594
10,1,0,13228,-250.56318020820618,-124.9529447555542,0.876139188069594
11,1,0,30919,-250.56318020820618,-124.9529447555542,0.876139188069594
12,1,0,28913,-250.56318020820618,-124.9529447555542,0.876139188069594
13,1,0,28100,-250.56318020820618,-124.9529447555542,0.876139188069594
14,1,0,20606,-250.56318020820618,-124.9529447555542,0.876139188069594
15,1,0,21056,-250.56318020820618,-124.9529447555542,0.876139188069594
16,1,0,28703,-250.56318020820618,-124.9529447555542,0.876139188069594
17,1,0,2178,-250.56318020820618,-124.9529447555542,0.876139188069594
18,1,0,1670,-250.56318020820618,-124.9529447555542,0.876139188069594
19,1,0,908,-250.56318020820618,-124.9529447555542,0.876139188069594
20,1,0,5065,-250.56318020820618,-124.9529447555542,0.876139188069594
21,1,0,469,-250.56318020820618,-124.9529447555542,0.876139188069594
22,1,0,25822,-250.56318020820618,-124.9529447555542,0.876139188069594
23,0,0,18678,-250.56318020820618,-124.9529447555542,0.876139188069594
24,1,0,5306,-250.56318020820618,-124.9529447555542,0.876139188069594
25,1,0,7672,-250.56318020820618,-124.9529447555542,0.876139188069594
26,1,0,12917,-250.56318020820618,-124.9529447555542,0.876139188069594
27,1,0,32044,-250.56318020820618,-124.9529447555542,0.876139188069594
28,1,0,26528,-250.56318020820618,-124.9529447555542,0.876139188069594
29,1,0,26920,-250.56318020820618,-124.9529447555542,0.876139188069594
30,0,0,18291,-250.56318020820618,-124.9529447555542,0.876139188069594
31,1,0,26922,-250.56318020820618,-124.9529447555542,0.876139188069594
32,0,0,28930,-250.56318020820618,-124.9529447555542,0.876139188069594
33,1,0,410,-250.56318020820618,-124.9529447555542,0.876139188069594
