,right,cam,ctm,cam_time,ctm_time,rate
0,1,0,34032,-125.74637603759766,-122.87487030029297,1.0
1,1,0,11338,-125.74637603759766,-122.87487030029297,1.0
2,1,0,11339,-125.74637603759766,-122.87487030029297,1.0
3,1,0,11340,-125.74637603759766,-122.87487030029297,1.0
4,1,0,11341,-125.74637603759766,-122.87487030029297,1.0
5,1,0,11342,-125.74637603759766,-122.87487030029297,1.0
6,1,0,11343,-125.74637603759766,-122.87487030029297,1.0
7,1,0,11344,-125.74637603759766,-122.87487030029297,1.0
8,1,0,11345,-125.74637603759766,-122.87487030029297,1.0
9,1,0,11346,-125.74637603759766,-122.87487030029297,1.0
10,1,0,11347,-125.74637603759766,-122.87487030029297,1.0
11,1,0,11348,-125.74637603759766,-122.87487030029297,1.0
12,1,0,11349,-125.74637603759766,-122.87487030029297,1.0
13,1,0,11350,-125.74637603759766,-122.87487030029297,1.0
14,1,0,11351,-125.74637603759766,-122.87487030029297,1.0
15,1,0,11352,-125.74637603759766,-122.87487030029297,1.0
16,1,0,11353,-125.74637603759766,-122.87487030029297,1.0
17,1,0,11354,-125.74637603759766,-122.87487030029297,1.0
18,1,0,11355,-125.74637603759766,-122.87487030029297,1.0
19,1,0,11356,-125.74637603759766,-122.87487030029297,1.0
20,1,0,11357,-125.74637603759766,-122.87487030029297,1.0
21,1,0,11358,-125.74637603759766,-122.87487030029297,1.0
22,1,0,11359,-125.74637603759766,-122.87487030029297,1.0
23,0,0,11360,-125.74637603759766,-122.87487030029297,1.0
24,1,0,11361,-125.74637603759766,-122.87487030029297,1.0
25,1,0,11362,-125.74637603759766,-122.87487030029297,1.0
26,1,0,11363,-125.74637603759766,-122.87487030029297,1.0
27,1,0,11364,-125.74637603759766,-122.87487030029297,1.0
28,1,0,11365,-125.74637603759766,-122.87487030029297,1.0
29,1,0,11366,-125.74637603759766,-122.87487030029297,1.0
30,0,0,11337,-125.74637603759766,-122.87487030029297,1.0
31,1,0,11336,-125.74637603759766,-122.87487030029297,1.0
32,0,0,11335,-125.74637603759766,-122.87487030029297,1.0
33,1,0,11334,-125.74637603759766,-122.87487030029297,1.0
34,1,0,11304,-125.74637603759766,-122.87487030029297,1.0
35,1,0,11305,-125.74637603759766,-122.87487030029297,1.0
36,1,0,11306,-125.74637603759766,-122.87487030029297,1.0
37,1,0,11307,-125.74637603759766,-122.87487030029297,1.0
38,1,0,11308,-125.74637603759766,-122.87487030029297,1.0
39,1,0,11309,-125.74637603759766,-122.87487030029297,1.0
40,1,0,11310,-125.74637603759766,-122.87487030029297,1.0
41,1,0,11311,-125.74637603759766,-122.87487030029297,1.0
42,1,0,11312,-125.74637603759766,-122.87487030029297,1.0
43,1,0,11313,-125.74637603759766,-122.87487030029297,1.0
44,1,0,11314,-125.74637603759766,-122.87487030029297,1.0
45,0,0,11315,-125.74637603759766,-122.87487030029297,1.0
46,1,0,11316,-125.74637603759766,-122.87487030029297,1.0
47,1,0,11317,-125.74637603759766,-122.87487030029297,1.0
48,1,0,11303,-125.74637603759766,-122.87487030029297,1.0
49,1,0,11318,-125.74637603759766,-122.87487030029297,1.0
50,1,0,11320,-125.74637603759766,-122.87487030029297,1.0
51,1,0,11321,-125.74637603759766,-122.87487030029297,1.0
52,1,0,11322,-125.74637603759766,-122.87487030029297,1.0
53,1,0,11323,-125.74637603759766,-122.87487030029297,1.0
54,1,0,11324,-125.74637603759766,-122.87487030029297,1.0
55,1,0,11325,-125.74637603759766,-122.87487030029297,1.0
56,1,0,11326,-125.74637603759766,-122.87487030029297,1.0
57,1,0,11327,-125.74637603759766,-122.87487030029297,1.0
58,0,0,11328,-125.74637603759766,-122.87487030029297,1.0
59,1,0,11329,-125.74637603759766,-122.87487030029297,1.0
60,1,0,11330,-125.74637603759766,-122.87487030029297,1.0
61,1,0,11331,-125.74637603759766,-122.87487030029297,1.0
62,1,0,11332,-125.74637603759766,-122.87487030029297,1.0
63,1,0,11333,-125.74637603759766,-122.87487030029297,1.0
64,1,0,11367,-125.74637603759766,-122.87487030029297,1.0
65,1,0,11368,-125.74637603759766,-122.87487030029297,1.0
66,1,0,11369,-125.74637603759766,-122.87487030029297,1.0
67,1,0,11402,-125.74637603759766,-122.87487030029297,1.0
68,1,0,11404,-125.74637603759766,-122.87487030029297,1.0
69,1,0,11405,-125.74637603759766,-122.87487030029297,1.0
70,1,0,11406,-125.74637603759766,-122.87487030029297,1.0
71,1,0,11407,-125.74637603759766,-122.87487030029297,1.0
72,1,0,11408,-125.74637603759766,-122.87487030029297,1.0
73,1,0,11409,-125.74637603759766,-122.87487030029297,1.0
74,1,0,11410,-125.74637603759766,-122.87487030029297,1.0
75,1,0,11411,-125.74637603759766,-122.87487030029297,1.0
76,1,0,11412,-125.74637603759766,-122.87487030029297,1.0
77,0,0,11413,-125.74637603759766,-122.87487030029297,1.0
78,1,0,11414,-125.74637603759766,-122.87487030029297,1.0
79,1,0,11415,-125.74637603759766,-122.87487030029297,1.0
80,1,0,11416,-125.74637603759766,-122.87487030029297,1.0
81,1,0,11417,-125.74637603759766,-122.87487030029297,1.0
82,1,0,11418,-125.74637603759766,-122.87487030029297,1.0
83,1,0,11419,-125.74637603759766,-122.87487030029297,1.0
84,1,0,11420,-125.74637603759766,-122.87487030029297,1.0
85,1,0,11421,-125.74637603759766,-122.87487030029297,1.0
86,1,0,11422,-125.74637603759766,-122.87487030029297,1.0
87,1,0,11423,-125.74637603759766,-122.87487030029297,1.0
88,1,0,11424,-125.74637603759766,-122.87487030029297,1.0
89,1,0,11425,-125.74637603759766,-122.87487030029297,1.0
90,1,0,11426,-125.74637603759766,-122.87487030029297,1.0
91,1,0,11427,-125.74637603759766,-122.87487030029297,1.0
92,1,0,11428,-125.74637603759766,-122.87487030029297,1.0
93,1,0,11429,-125.74637603759766,-122.87487030029297,1.0
94,1,0,11430,-125.74637603759766,-122.87487030029297,1.0
95,1,0,11431,-125.74637603759766,-122.87487030029297,1.0
96,1,0,11432,-125.74637603759766,-122.87487030029297,1.0
97,1,0,11403,-125.74637603759766,-122.87487030029297,1.0
98,1,0,11401,-125.74637603759766,-122.87487030029297,1.0
99,1,0,11370,-125.74637603759766,-122.87487030029297,1.0
100,1,0,11400,-125.74637603759766,-122.87487030029297,1.0
101,1,0,11371,-125.74637603759766,-122.87487030029297,1.0
102,1,0,11372,-125.74637603759766,-122.87487030029297,1.0
103,1,0,11373,-125.74637603759766,-122.87487030029297,1.0
104,1,0,11374,-125.74637603759766,-122.87487030029297,1.0
105,1,0,11375,-125.74637603759766,-122.87487030029297,1.0
106,1,0,11376,-125.74637603759766,-122.87487030029297,1.0
107,1,0,11377,-125.74637603759766,-122.87487030029297,1.0
108,1,0,11378,-125.74637603759766,-122.87487030029297,1.0
109,1,0,11379,-125.74637603759766,-122.87487030029297,1.0
110,1,0,11380,-125.74637603759766,-122.87487030029297,1.0
111,1,0,11381,-125.74637603759766,-122.87487030029297,1.0
112,1,0,11382,-125.74637603759766,-122.87487030029297,1.0
113,1,0,11383,-125.74637603759766,-122.87487030029297,1.0
114,1,0,11384,-125.74637603759766,-122.87487030029297,1.0
115,1,0,11385,-125.74637603759766,-122.87487030029297,1.0
116,1,0,11386,-125.74637603759766,-122.87487030029297,1.0
117,1,0,11387,-125.74637603759766,-122.87487030029297,1.0
118,1,0,11388,-125.74637603759766,-122.87487030029297,1.0
119,1,0,11389,-125.74637603759766,-122.87487030029297,1.0
120,1,0,11390,-125.74637603759766,-122.87487030029297,1.0
121,1,0,11391,-125.74637603759766,-122.87487030029297,1.0
122,1,0,11392,-125.74637603759766,-122.87487030029297,1.0
123,1,0,11393,-125.74637603759766,-122.87487030029297,1.0
124,1,0,11394,-125.74637603759766,-122.87487030029297,1.0
125,1,0,11395,-125.74637603759766,-122.87487030029297,1.0
126,1,0,11396,-125.74637603759766,-122.87487030029297,1.0
127,1,0,11397,-125.74637603759766,-122.87487030029297,1.0
128,1,0,11398,-125.74637603759766,-122.87487030029297,1.0
129,1,0,11399,-125.74637603759766,-122.87487030029297,1.0
130,1,0,11319,-125.74637603759766,-122.87487030029297,1.0
131,0,0,11301,-125.74637603759766,-122.87487030029297,1.0
132,0,0,11186,-125.74637603759766,-122.87487030029297,1.0
133,1,0,11300,-125.74637603759766,-122.87487030029297,1.0
134,1,0,11205,-125.74637603759766,-122.87487030029297,1.0
135,1,0,11206,-125.74637603759766,-122.87487030029297,1.0
136,1,0,11207,-125.74637603759766,-122.87487030029297,1.0
137,1,0,11208,-125.74637603759766,-122.87487030029297,1.0
138,1,0,11209,-125.74637603759766,-122.87487030029297,1.0
139,0,0,11210,-125.74637603759766,-122.87487030029297,1.0
140,0,0,11211,-125.74637603759766,-122.87487030029297,1.0
141,1,0,11212,-125.74637603759766,-122.87487030029297,1.0
142,1,0,11213,-125.74637603759766,-122.87487030029297,1.0
143,1,0,11214,-125.74637603759766,-122.87487030029297,1.0
144,1,0,11215,-125.74637603759766,-122.87487030029297,1.0
145,1,0,11216,-125.74637603759766,-122.87487030029297,1.0
146,1,0,11217,-125.74637603759766,-122.87487030029297,1.0
147,1,0,11218,-125.74637603759766,-122.87487030029297,1.0
148,1,0,11219,-125.74637603759766,-122.87487030029297,1.0
149,1,0,11220,-125.74637603759766,-122.87487030029297,1.0
150,1,0,11221,-125.74637603759766,-122.87487030029297,1.0
151,1,0,11222,-125.74637603759766,-122.87487030029297,1.0
152,1,0,11223,-125.74637603759766,-122.87487030029297,1.0
153,1,0,11224,-125.74637603759766,-122.87487030029297,1.0
154,1,0,11225,-125.74637603759766,-122.87487030029297,1.0
155,1,0,11226,-125.74637603759766,-122.87487030029297,1.0
156,0,0,11227,-125.74637603759766,-122.87487030029297,1.0
