,right,cam,ctm,cam_time,ctm_time,rate
0,1,0,18399,-186.73151969909668,-94.26316857337952,0.8725490196078431
1,1,0,16887,-186.73151969909668,-94.26316857337952,0.8725490196078431
2,1,0,9545,-186.73151969909668,-94.26316857337952,0.8725490196078431
3,1,0,9864,-186.73151969909668,-94.26316857337952,0.8725490196078431
4,1,0,24110,-186.73151969909668,-94.26316857337952,0.8725490196078431
5,1,0,22840,-186.73151969909668,-94.26316857337952,0.8725490196078431
6,1,0,18644,-186.73151969909668,-94.26316857337952,0.8725490196078431
7,1,0,15524,-186.73151969909668,-94.26316857337952,0.8725490196078431
8,1,0,14450,-186.73151969909668,-94.26316857337952,0.8725490196078431
9,1,0,493,-186.73151969909668,-94.26316857337952,0.8725490196078431
10,1,0,10879,-186.73151969909668,-94.26316857337952,0.8725490196078431
11,1,0,23769,-186.73151969909668,-94.26316857337952,0.8725490196078431
12,1,0,22374,-186.73151969909668,-94.26316857337952,0.8725490196078431
13,1,0,21752,-186.73151969909668,-94.26316857337952,0.8725490196078431
14,1,0,16306,-186.73151969909668,-94.26316857337952,0.8725490196078431
15,1,0,16662,-186.73151969909668,-94.26316857337952,0.8725490196078431
16,1,0,22202,-186.73151969909668,-94.26316857337952,0.8725490196078431
17,1,0,2007,-186.73151969909668,-94.26316857337952,0.8725490196078431
18,1,0,1554,-186.73151969909668,-94.26316857337952,0.8725490196078431
19,1,0,859,-186.73151969909668,-94.26316857337952,0.8725490196078431
20,1,0,4461,-186.73151969909668,-94.26316857337952,0.8725490196078431
21,1,0,450,-186.73151969909668,-94.26316857337952,0.8725490196078431
22,1,0,20134,-186.73151969909668,-94.26316857337952,0.8725490196078431
23,0,0,14880,-186.73151969909668,-94.26316857337952,0.8725490196078431
24,1,0,4671,-186.73151969909668,-94.26316857337952,0.8725490196078431
25,1,0,6538,-186.73151969909668,-94.26316857337952,0.8725490196078431
26,1,0,10613,-186.73151969909668,-94.26316857337952,0.8725490196078431
27,1,0,24622,-186.73151969909668,-94.26316857337952,0.8725490196078431
28,1,0,20626,-186.73151969909668,-94.26316857337952,0.8725490196078431
29,1,0,20918,-186.73151969909668,-94.26316857337952,0.8725490196078431
30,0,0,14576,-186.73151969909668,-94.26316857337952,0.8725490196078431
31,1,0,20917,-186.73151969909668,-94.26316857337952,0.8725490196078431
32,0,0,22380,-186.73151969909668,-94.26316857337952,0.8725490196078431
33,1,0,396,-186.73151969909668,-94.26316857337952,0.8725490196078431
34,1,0,2323,-186.73151969909668,-94.26316857337952,0.8725490196078431
35,1,0,8127,-186.73151969909668,-94.26316857337952,0.8725490196078431
36,1,0,2486,-186.73151969909668,-94.26316857337952,0.8725490196078431
37,1,0,6551,-186.73151969909668,-94.26316857337952,0.8725490196078431
38,1,0,24466,-186.73151969909668,-94.26316857337952,0.8725490196078431
39,1,0,17827,-186.73151969909668,-94.26316857337952,0.8725490196078431
40,1,0,16229,-186.73151969909668,-94.26316857337952,0.8725490196078431
41,1,0,22238,-186.73151969909668,-94.26316857337952,0.8725490196078431
42,1,0,7563,-186.73151969909668,-94.26316857337952,0.8725490196078431
43,1,0,1752,-186.73151969909668,-94.26316857337952,0.8725490196078431
44,1,0,24824,-186.73151969909668,-94.26316857337952,0.8725490196078431
45,0,0,18481,-186.73151969909668,-94.26316857337952,0.8725490196078431
46,1,0,21642,-186.73151969909668,-94.26316857337952,0.8725490196078431
47,1,0,4686,-186.73151969909668,-94.26316857337952,0.8725490196078431
48,1,0,5079,-186.73151969909668,-94.26316857337952,0.8725490196078431
49,1,0,1582,-186.73151969909668,-94.26316857337952,0.8725490196078431
50,1,0,856,-186.73151969909668,-94.26316857337952,0.8725490196078431
51,1,0,6090,-186.73151969909668,-94.26316857337952,0.8725490196078431
52,1,0,3221,-186.73151969909668,-94.26316857337952,0.8725490196078431
53,1,0,20494,-186.73151969909668,-94.26316857337952,0.8725490196078431
54,1,0,10994,-186.73151969909668,-94.26316857337952,0.8725490196078431
55,1,0,5158,-186.73151969909668,-94.26316857337952,0.8725490196078431
56,1,0,14881,-186.73151969909668,-94.26316857337952,0.8725490196078431
57,1,0,6949,-186.73151969909668,-94.26316857337952,0.8725490196078431
58,0,0,12869,-186.73151969909668,-94.26316857337952,0.8725490196078431
59,1,0,17014,-186.73151969909668,-94.26316857337952,0.8725490196078431
60,1,0,17096,-186.73151969909668,-94.26316857337952,0.8725490196078431
61,1,0,12360,-186.73151969909668,-94.26316857337952,0.8725490196078431
62,1,0,22935,-186.73151969909668,-94.26316857337952,0.8725490196078431
63,1,0,20296,-186.73151969909668,-94.26316857337952,0.8725490196078431
