,right,cam,ctm,cam_time,ctm_time,rate
0,1,0,26032,-309.0393919944763,-107.49062085151672,0.02927368130350732
1,1,0,8775,-309.0393919944763,-107.49062085151672,0.02927368130350732
2,1,0,8776,-309.0393919944763,-107.49062085151672,0.02927368130350732
3,1,0,8777,-309.0393919944763,-107.49062085151672,0.02927368130350732
4,1,0,8778,-309.0393919944763,-107.49062085151672,0.02927368130350732
5,1,0,8779,-309.0393919944763,-107.49062085151672,0.02927368130350732
6,1,0,8780,-309.0393919944763,-107.49062085151672,0.02927368130350732
7,1,0,8781,-309.0393919944763,-107.49062085151672,0.02927368130350732
8,1,0,8782,-309.0393919944763,-107.49062085151672,0.02927368130350732
9,1,0,8783,-309.0393919944763,-107.49062085151672,0.02927368130350732
10,1,0,8784,-309.0393919944763,-107.49062085151672,0.02927368130350732
11,1,0,8785,-309.0393919944763,-107.49062085151672,0.02927368130350732
12,1,0,8786,-309.0393919944763,-107.49062085151672,0.02927368130350732
13,1,0,8787,-309.0393919944763,-107.49062085151672,0.02927368130350732
14,1,0,8788,-309.0393919944763,-107.49062085151672,0.02927368130350732
15,1,0,8789,-309.0393919944763,-107.49062085151672,0.02927368130350732
16,1,0,8790,-309.0393919944763,-107.49062085151672,0.02927368130350732
17,1,0,8791,-309.0393919944763,-107.49062085151672,0.02927368130350732
18,1,0,8792,-309.0393919944763,-107.49062085151672,0.02927368130350732
19,1,0,8793,-309.0393919944763,-107.49062085151672,0.02927368130350732
20,1,0,8794,-309.0393919944763,-107.49062085151672,0.02927368130350732
21,1,0,8795,-309.0393919944763,-107.49062085151672,0.02927368130350732
22,1,0,8774,-309.0393919944763,-107.49062085151672,0.02927368130350732
23,0,0,8773,-309.0393919944763,-107.49062085151672,0.02927368130350732
24,1,0,8772,-309.0393919944763,-107.49062085151672,0.02927368130350732
25,1,0,8771,-309.0393919944763,-107.49062085151672,0.02927368130350732
26,1,0,8749,-309.0393919944763,-107.49062085151672,0.02927368130350732
27,1,0,8750,-309.0393919944763,-107.49062085151672,0.02927368130350732
28,1,0,8751,-309.0393919944763,-107.49062085151672,0.02927368130350732
29,1,0,8752,-309.0393919944763,-107.49062085151672,0.02927368130350732
30,0,0,8753,-309.0393919944763,-107.49062085151672,0.02927368130350732
31,1,0,8754,-309.0393919944763,-107.49062085151672,0.02927368130350732
32,0,0,8755,-309.0393919944763,-107.49062085151672,0.02927368130350732
33,1,0,8756,-309.0393919944763,-107.49062085151672,0.02927368130350732
34,1,0,8757,-309.0393919944763,-107.49062085151672,0.02927368130350732
35,1,0,8758,-309.0393919944763,-107.49062085151672,0.02927368130350732
36,1,0,8748,-309.0393919944763,-107.49062085151672,0.02927368130350732
37,1,0,8759,-309.0393919944763,-107.49062085151672,0.02927368130350732
38,1,0,8761,-309.0393919944763,-107.49062085151672,0.02927368130350732
39,1,0,8762,-309.0393919944763,-107.49062085151672,0.02927368130350732
40,1,0,8763,-309.0393919944763,-107.49062085151672,0.02927368130350732
41,1,0,8764,-309.0393919944763,-107.49062085151672,0.02927368130350732
42,1,0,8765,-309.0393919944763,-107.49062085151672,0.02927368130350732
43,1,0,8766,-309.0393919944763,-107.49062085151672,0.02927368130350732
44,1,0,8767,-309.0393919944763,-107.49062085151672,0.02927368130350732
45,0,0,8768,-309.0393919944763,-107.49062085151672,0.02927368130350732
46,1,0,8769,-309.0393919944763,-107.49062085151672,0.02927368130350732
47,1,0,8770,-309.0393919944763,-107.49062085151672,0.02927368130350732
48,1,0,8796,-309.0393919944763,-107.49062085151672,0.02927368130350732
49,1,0,8797,-309.0393919944763,-107.49062085151672,0.02927368130350732
50,1,0,8798,-309.0393919944763,-107.49062085151672,0.02927368130350732
51,1,0,8823,-309.0393919944763,-107.49062085151672,0.02927368130350732
52,1,0,8825,-309.0393919944763,-107.49062085151672,0.02927368130350732
53,1,0,8826,-309.0393919944763,-107.49062085151672,0.02927368130350732
54,1,0,8827,-309.0393919944763,-107.49062085151672,0.02927368130350732
55,1,0,8828,-309.0393919944763,-107.49062085151672,0.02927368130350732
56,1,0,8829,-309.0393919944763,-107.49062085151672,0.02927368130350732
57,1,0,8830,-309.0393919944763,-107.49062085151672,0.02927368130350732
58,0,0,8831,-309.0393919944763,-107.49062085151672,0.02927368130350732
59,1,0,8832,-309.0393919944763,-107.49062085151672,0.02927368130350732
60,1,0,8833,-309.0393919944763,-107.49062085151672,0.02927368130350732
61,1,0,8834,-309.0393919944763,-107.49062085151672,0.02927368130350732
62,1,0,8835,-309.0393919944763,-107.49062085151672,0.02927368130350732
63,1,0,8836,-309.0393919944763,-107.49062085151672,0.02927368130350732
64,1,0,8837,-309.0393919944763,-107.49062085151672,0.02927368130350732
65,1,0,8838,-309.0393919944763,-107.49062085151672,0.02927368130350732
66,1,0,8839,-309.0393919944763,-107.49062085151672,0.02927368130350732
67,1,0,8840,-309.0393919944763,-107.49062085151672,0.02927368130350732
68,1,0,8841,-309.0393919944763,-107.49062085151672,0.02927368130350732
69,1,0,8842,-309.0393919944763,-107.49062085151672,0.02927368130350732
70,1,0,8843,-309.0393919944763,-107.49062085151672,0.02927368130350732
71,1,0,8844,-309.0393919944763,-107.49062085151672,0.02927368130350732
72,1,0,8845,-309.0393919944763,-107.49062085151672,0.02927368130350732
73,1,0,8824,-309.0393919944763,-107.49062085151672,0.02927368130350732
