,right,cam,ctm,cam_time,ctm_time,rate
0,1,0,26032,-248.4004623889923,-114.36074757575989,0.05813311239988953
1,1,0,8774,-248.4004623889923,-114.36074757575989,0.05813311239988953
2,1,0,8775,-248.4004623889923,-114.36074757575989,0.05813311239988953
3,1,0,8776,-248.4004623889923,-114.36074757575989,0.05813311239988953
4,1,0,8777,-248.4004623889923,-114.36074757575989,0.05813311239988953
5,1,0,8778,-248.4004623889923,-114.36074757575989,0.05813311239988953
6,1,0,8779,-248.4004623889923,-114.36074757575989,0.05813311239988953
7,1,0,8780,-248.4004623889923,-114.36074757575989,0.05813311239988953
8,1,0,8781,-248.4004623889923,-114.36074757575989,0.05813311239988953
9,1,0,8782,-248.4004623889923,-114.36074757575989,0.05813311239988953
10,1,0,8783,-248.4004623889923,-114.36074757575989,0.05813311239988953
11,1,0,8784,-248.4004623889923,-114.36074757575989,0.05813311239988953
12,1,0,8785,-248.4004623889923,-114.36074757575989,0.05813311239988953
13,1,0,8786,-248.4004623889923,-114.36074757575989,0.05813311239988953
14,1,0,8787,-248.4004623889923,-114.36074757575989,0.05813311239988953
15,1,0,8788,-248.4004623889923,-114.36074757575989,0.05813311239988953
16,1,0,8789,-248.4004623889923,-114.36074757575989,0.05813311239988953
17,1,0,8790,-248.4004623889923,-114.36074757575989,0.05813311239988953
18,1,0,8791,-248.4004623889923,-114.36074757575989,0.05813311239988953
19,1,0,8792,-248.4004623889923,-114.36074757575989,0.05813311239988953
20,1,0,8793,-248.4004623889923,-114.36074757575989,0.05813311239988953
21,1,0,8794,-248.4004623889923,-114.36074757575989,0.05813311239988953
22,1,0,8773,-248.4004623889923,-114.36074757575989,0.05813311239988953
23,0,0,8772,-248.4004623889923,-114.36074757575989,0.05813311239988953
24,1,0,8771,-248.4004623889923,-114.36074757575989,0.05813311239988953
25,1,0,8770,-248.4004623889923,-114.36074757575989,0.05813311239988953
26,1,0,8748,-248.4004623889923,-114.36074757575989,0.05813311239988953
27,1,0,8749,-248.4004623889923,-114.36074757575989,0.05813311239988953
28,1,0,8750,-248.4004623889923,-114.36074757575989,0.05813311239988953
29,1,0,8751,-248.4004623889923,-114.36074757575989,0.05813311239988953
30,0,0,8752,-248.4004623889923,-114.36074757575989,0.05813311239988953
31,1,0,8753,-248.4004623889923,-114.36074757575989,0.05813311239988953
32,0,0,8754,-248.4004623889923,-114.36074757575989,0.05813311239988953
33,1,0,8755,-248.4004623889923,-114.36074757575989,0.05813311239988953
34,1,0,8756,-248.4004623889923,-114.36074757575989,0.05813311239988953
35,1,0,8757,-248.4004623889923,-114.36074757575989,0.05813311239988953
36,1,0,8747,-248.4004623889923,-114.36074757575989,0.05813311239988953
37,1,0,8758,-248.4004623889923,-114.36074757575989,0.05813311239988953
38,1,0,8760,-248.4004623889923,-114.36074757575989,0.05813311239988953
39,1,0,8761,-248.4004623889923,-114.36074757575989,0.05813311239988953
40,1,0,8762,-248.4004623889923,-114.36074757575989,0.05813311239988953
41,1,0,8763,-248.4004623889923,-114.36074757575989,0.05813311239988953
42,1,0,8764,-248.4004623889923,-114.36074757575989,0.05813311239988953
43,1,0,8765,-248.4004623889923,-114.36074757575989,0.05813311239988953
44,1,0,8766,-248.4004623889923,-114.36074757575989,0.05813311239988953
45,0,0,8767,-248.4004623889923,-114.36074757575989,0.05813311239988953
46,1,0,8768,-248.4004623889923,-114.36074757575989,0.05813311239988953
47,1,0,8769,-248.4004623889923,-114.36074757575989,0.05813311239988953
48,1,0,8795,-248.4004623889923,-114.36074757575989,0.05813311239988953
49,1,0,8796,-248.4004623889923,-114.36074757575989,0.05813311239988953
50,1,0,8797,-248.4004623889923,-114.36074757575989,0.05813311239988953
51,1,0,8822,-248.4004623889923,-114.36074757575989,0.05813311239988953
52,1,0,8824,-248.4004623889923,-114.36074757575989,0.05813311239988953
53,1,0,8825,-248.4004623889923,-114.36074757575989,0.05813311239988953
54,1,0,8826,-248.4004623889923,-114.36074757575989,0.05813311239988953
55,1,0,8827,-248.4004623889923,-114.36074757575989,0.05813311239988953
56,1,0,8828,-248.4004623889923,-114.36074757575989,0.05813311239988953
57,1,0,8829,-248.4004623889923,-114.36074757575989,0.05813311239988953
58,0,0,8830,-248.4004623889923,-114.36074757575989,0.05813311239988953
59,1,0,8831,-248.4004623889923,-114.36074757575989,0.05813311239988953
60,1,0,8832,-248.4004623889923,-114.36074757575989,0.05813311239988953
61,1,0,8833,-248.4004623889923,-114.36074757575989,0.05813311239988953
62,1,0,8834,-248.4004623889923,-114.36074757575989,0.05813311239988953
63,1,0,8835,-248.4004623889923,-114.36074757575989,0.05813311239988953
64,1,0,8836,-248.4004623889923,-114.36074757575989,0.05813311239988953
65,1,0,8837,-248.4004623889923,-114.36074757575989,0.05813311239988953
66,1,0,8838,-248.4004623889923,-114.36074757575989,0.05813311239988953
67,1,0,8839,-248.4004623889923,-114.36074757575989,0.05813311239988953
68,1,0,8840,-248.4004623889923,-114.36074757575989,0.05813311239988953
69,1,0,8841,-248.4004623889923,-114.36074757575989,0.05813311239988953
70,1,0,8842,-248.4004623889923,-114.36074757575989,0.05813311239988953
71,1,0,8843,-248.4004623889923,-114.36074757575989,0.05813311239988953
72,1,0,8844,-248.4004623889923,-114.36074757575989,0.05813311239988953
73,1,0,8823,-248.4004623889923,-114.36074757575989,0.05813311239988953
74,1,0,8821,-248.4004623889923,-114.36074757575989,0.05813311239988953
75,1,0,8798,-248.4004623889923,-114.36074757575989,0.05813311239988953
76,1,0,8820,-248.4004623889923,-114.36074757575989,0.05813311239988953
77,0,0,8799,-248.4004623889923,-114.36074757575989,0.05813311239988953
78,1,0,8800,-248.4004623889923,-114.36074757575989,0.05813311239988953
79,1,0,8801,-248.4004623889923,-114.36074757575989,0.05813311239988953
80,1,0,8802,-248.4004623889923,-114.36074757575989,0.05813311239988953
81,1,0,8803,-248.4004623889923,-114.36074757575989,0.05813311239988953
82,1,0,8804,-248.4004623889923,-114.36074757575989,0.05813311239988953
