,ts,deepgini_cam,lsc_index_-1_cam,lsc_index_-1_ctm,nac_t_0.75_cam,nac_t_0.75_ctm,nac_t_0_cam,nac_t_0_ctm,nbc_std_0.5_cam,nbc_std_0.5_ctm,nbc_std_0_cam,nbc_std_0_ctm,nbc_std_1_cam,nbc_std_1_ctm,random_random,snac_std_0.5_cam,snac_std_0.5_ctm,snac_std_0_cam,snac_std_0_ctm,snac_std_1_cam,snac_std_1_ctm,tknc_k_1_cam,tknc_k_2_cam,tknc_k_3_cam
0,0,0.001874999958090484,0.002624999964609742,0.002624999964609742,0.002624999964609742,0.002624999964609742,0.001874999958090484,0.001874999958090484,0.002624999964609742,0.002624999964609742,0.002624999964609742,0.002624999964609742,0.002624999964609742,0.002624999964609742,0.002624999964609742,0.002624999964609742,0.002624999964609742,0.002624999964609742,0.002624999964609742,0.002624999964609742,0.002624999964609742,0.002624999964609742,0.002624999964609742,0.002624999964609742
1,1,0.5856249928474426,0.5486249923706055,0.5649999976158142,0.5801249742507935,0.5572500228881836,0.5644999742507935,0.5487499833106995,0.5496249794960022,0.5452499985694885,0.5608749985694885,0.5370000004768372,0.5817499756813049,0.5762500166893005,0.5737500190734863,0.5668749809265137,0.5791249871253967,0.6039999723434448,0.581125020980835,0.10000000149011612,0.547124981880188,0.5943750143051147,0.5674999952316284,0.5722500085830688
2,2,0.6317499876022339,0.5950000286102295,0.5891249775886536,0.6075000166893005,0.5978749990463257,0.5914999842643738,0.625249981880188,0.5991250276565552,0.5883749723434448,0.5964999794960022,0.5872499942779541,0.6268749833106995,0.5903750061988831,0.6315000057220459,0.6083750128746033,0.5978749990463257,0.6272500157356262,0.6085000038146973,0.10000000149011612,0.6087499856948853,0.6297500133514404,0.621999979019165,0.5962499976158142
3,3,0.6611250042915344,0.6176249980926514,0.6332499980926514,0.6313750147819519,0.6146249771118164,0.6414999961853027,0.6446250081062317,0.624875009059906,0.6198750138282776,0.6171249747276306,0.6157500147819519,0.6449999809265137,0.6348749995231628,0.6625000238418579,0.6193749904632568,0.6158750057220459,0.6496250033378601,0.6194999814033508,0.10000000149011612,0.6481249928474426,0.6518750190734863,0.6449999809265137,0.6228749752044678
4,4,0.7206249833106995,0.6600000262260437,0.6807500123977661,0.643750011920929,0.6242499947547913,0.6498749852180481,0.6723750233650208,0.6332499980926514,0.6418750286102295,0.6355000138282776,0.6387500166893005,0.6661249995231628,0.6031249761581421,0.674875020980835,0.6636250019073486,0.668624997138977,0.6696249842643738,0.6337500214576721,0.10000000149011612,0.6702499985694885,0.6725000143051147,0.6735000014305115,0.6553750038146973
5,5,0.7749999761581421,0.6830000281333923,0.7391250133514404,0.6639999747276306,0.6395000219345093,0.687874972820282,0.6916249990463257,0.6642500162124634,0.6816250085830688,0.6567500233650208,0.6621249914169312,0.6736249923706055,0.7072499990463257,0.7052500247955322,0.6834999918937683,0.7227500081062317,0.6841250061988831,0.6528750061988831,0.10000000149011612,0.6946250200271606,0.6977499723434448,0.6926249861717224,0.6890000104904175
6,6,0.8108749985694885,0.703000009059906,0.7852500081062317,0.690750002861023,0.6556249856948853,0.7066249847412109,0.7116249799728394,0.6908749938011169,0.7041249871253967,0.6866250038146973,0.6653749942779541,0.6949999928474426,0.7138749957084656,0.71875,0.6908749938011169,0.7342500090599059,0.7011250257492065,0.6726250052452087,0.10000000149011612,0.7247499823570251,0.7092499732971191,0.7139999866485596,0.7067499756813049
7,7,0.8543750047683716,0.7608749866485596,0.8308749794960022,0.7042499780654907,0.656125009059906,0.7164999842643738,0.7383750081062317,0.7174999713897705,0.7248749732971191,0.7118750214576721,0.6933749914169312,0.7171249985694885,0.7509999871253967,0.7351250052452087,0.7168750166893005,0.7475000023841858,0.7267500162124634,0.7181249856948853,0.10000000149011612,0.7322499752044678,0.7307500243186951,0.7344999909400941,0.7308750152587891
8,8,0.8837500214576721,0.7927500009536743,0.8679999709129333,0.7319999933242798,0.6855000257492065,0.7360000014305115,0.7603750228881836,0.7484999895095825,0.7453749775886536,0.7440000176429749,0.7133749723434448,0.7455000281333923,0.7727500200271606,0.7524999976158142,0.7371249794960022,0.7631250023841858,0.7461249828338623,0.7429999709129333,0.10000000149011612,0.746749997138977,0.7523750066757202,0.7523750066757202,0.7462499737739563
9,9,0.9104999899864196,0.7996249794960022,0.9093750119209291,0.7577499747276306,0.7007499933242798,0.7375000119209291,0.7723749876022339,0.7536249756813049,0.7681249976158142,0.7521250247955322,0.7413750290870667,0.7446249723434448,0.7766249775886536,0.7580000162124634,0.7536249756813049,0.7826250195503235,0.7563750147819519,0.7538750171661377,0.10000000149011612,0.7649999856948853,0.7802500128746033,0.7723749876022339,0.7684999704360962
10,10,0.928375005722046,0.8102499842643738,0.9327499866485596,0.7820000052452087,0.7009999752044678,0.7580000162124634,0.7876250147819519,0.7697499990463257,0.7853749990463257,0.781624972820282,0.7506250143051147,0.7615000009536743,0.7896249890327454,0.778249979019165,0.7703750133514404,0.7929999828338623,0.7802500128746033,0.7673749923706055,0.10000000149011612,0.7908750176429749,0.796500027179718,0.7831249833106995,0.7906249761581421
