,ts,deepgini_cam,dsc_cam,dsc_ctm,lsc_index_-1_cam,lsc_index_-1_ctm,nac_t_0.75_cam,nac_t_0.75_ctm,nac_t_0_cam,nac_t_0_ctm,nbc_std_0.5_cam,nbc_std_0.5_ctm,nbc_std_0_cam,nbc_std_0_ctm,nbc_std_1_cam,nbc_std_1_ctm,random_random,snac_std_0.5_cam,snac_std_0.5_ctm,snac_std_0_cam,snac_std_0_ctm,snac_std_1_cam,snac_std_1_ctm,tknc_k_1_cam,tknc_k_2_cam,tknc_k_3_cam
0,0,0.048652581870555885,0.048652581870555885,0.048652581870555885,0.048652581870555885,0.048652581870555885,0.048652581870555885,0.048652581870555885,0.048652581870555885,0.048652581870555885,0.048652581870555885,0.048652581870555885,0.048652581870555885,0.048652581870555885,0.048652581870555885,0.048652581870555885,0.048652581870555885,0.048652581870555885,0.048652581870555885,0.048652581870555885,0.048652581870555885,0.048652581870555885,0.048652581870555885,0.048652581870555885,0.048652581870555885,0.048652581870555885
1,1,0.8644803762435913,0.685351550579071,0.814824104309082,0.6081697940826416,0.6878857612609863,0.6380037069320679,0.7211822867393494,0.6709489822387695,0.6482160091400146,0.6193355917930603,0.6915742754936218,0.6713253259658813,0.7364881634712219,0.6139408946037292,0.7071059346199036,0.8874391317367554,0.6577005982398987,0.7091634273529053,0.6906207799911499,0.6896421909332275,0.6485421657562256,0.6602850556373596,0.6769458651542664,0.6391830444335938,0.6403623223304749
2,2,0.9339338541030884,0.7261002659797668,0.8532142043113708,0.686806857585907,0.871255099773407,0.702865481376648,0.7863953709602356,0.7420083284378052,0.636724054813385,0.7056004405021667,0.7104180455207825,0.7281828522682191,0.7549304962158203,0.6826416254043579,0.686079204082489,0.9141616821289062,0.7406283020973206,0.7274802923202515,0.7322978973388672,0.6609374284744263,0.7464746236801147,0.6319064497947693,0.7231143712997437,0.7484819889068604,0.7344808578491211
3,3,0.9460029006004332,0.7136297225952148,0.9024439454078674,0.7080594301223755,0.9418628215789796,0.7091885209083557,0.8439554572105408,0.7308425903320312,0.6474883556365967,0.7072063088417053,0.7576152682304382,0.7358357906341553,0.794499933719635,0.7036182284355164,0.7119737267494202,0.9250765442848206,0.7403773665428162,0.7354092597961426,0.7252220511436462,0.7235659956932068,0.7275555729866028,0.6670095920562744,0.7270286679267883,0.7749536037445068,0.7774627208709717
4,4,0.9727003574371338,0.7571636438369751,0.9089426398277284,0.7576654553413391,0.9550860524177552,0.7627841830253601,0.8478947877883911,0.7672253847122192,0.6707231402397156,0.75322425365448,0.7531991600990295,0.7816279530525208,0.8570532202720642,0.7555326819419861,0.7159883379936218,0.9373212456703186,0.8064936995506287,0.6877352595329285,0.7714658379554749,0.7472022771835327,0.7372910976409912,0.702639639377594,0.7665228247642517,0.8003964424133301,0.7721934914588928
5,5,0.9829627871513368,0.7793446183204651,0.9271340370178224,0.7540020942687988,0.9707432389259338,0.7525467872619629,0.8496512174606323,0.7426857948303223,0.6694685816764832,0.7728458642959595,0.7692075967788696,0.7690821290016174,0.8737893104553223,0.7418326735496521,0.6992020606994629,0.9453003406524658,0.8020023107528687,0.7291865348815918,0.7936217188835144,0.7707632780075073,0.7703618407249451,0.7053996920585632,0.7810759544372559,0.7779645919799805,0.7810759544372559
6,6,0.9852461218833924,0.7675766348838806,0.9462036490440368,0.7669493556022644,0.971696674823761,0.7764089107513428,0.8652080297470093,0.7619561553001404,0.6635469198226929,0.7627590894699097,0.75126713514328,0.7852913141250609,0.8675666451454163,0.7638128995895386,0.7013348937034607,0.9529281854629515,0.8036834597587585,0.7022632360458374,0.8134942650794983,0.7720680236816406,0.7598484754562378,0.7037938237190247,0.7731218934059143,0.7939730286598206,0.7943242788314819
7,7,0.9923470616340636,0.7936468124389648,0.9506699442863464,0.7864204049110413,0.9853214025497437,0.7990164160728455,0.8759722709655762,0.795955240726471,0.6993024349212646,0.7697595953941345,0.7715160250663757,0.8006473779678345,0.8831986784934998,0.7768605351448059,0.6974456906318665,0.957494854927063,0.7993425726890564,0.7310683727264404,0.7813268303871155,0.7669493556022644,0.7660209536552429,0.7352837920188904,0.7781903743743896,0.8127917051315308,0.8001956939697266
8,8,0.9958849549293518,0.7908867597579956,0.95621520280838,0.8008731603622437,0.98848295211792,0.8132433295249939,0.8841270804405212,0.7899332642555237,0.799493134021759,0.8203693628311157,0.7922667860984802,0.816680908203125,0.883825957775116,0.8337180614471436,0.8195915222167969,0.9575199484825134,0.8311587572097778,0.8220003247261047,0.8048627376556396,0.8480202555656433,0.8276960849761963,0.816279411315918,0.8184874653816223,0.8255382180213928,0.8219752311706543
9,9,0.9968384504318236,0.8271691799163818,0.9587494134902954,0.8278215527534485,0.99101722240448,0.8230290412902832,0.8819190263748169,0.8090530633926392,0.7847644090652466,0.8217744827270508,0.7962061762809753,0.8068450093269348,0.9015406370162964,0.8139960765838623,0.7948009967803955,0.9589250683784484,0.7993927597999573,0.8064435124397278,0.8299794197082521,0.8413960933685303,0.8167060017585754,0.8031564950942993,0.8082752227783203,0.8722085356712341,0.8342951536178589
10,10,0.9974908232688904,0.8357003331184387,0.9669795036315918,0.8429768681526184,0.9925478100776672,0.8253123760223389,0.8893210291862488,0.8286746740341187,0.7931951880455017,0.8289506435394287,0.8058664202690125,0.8387364149093628,0.9068349599838256,0.8368545174598694,0.8071711659431458,0.9656245112419128,0.8309580087661743,0.8202689886093141,0.8192151188850403,0.8369548916816711,0.8239574432373047,0.8056154847145081,0.8287750482559204,0.839363694190979,0.8362272381782532
