,ts,deepgini_cam,dsc_cam,lsc_index_-1_cam,lsc_index_-1_ctm,nac_t_0.75_cam,nac_t_0.75_ctm,nac_t_0_cam,nac_t_0_ctm,nbc_std_0.5_cam,nbc_std_0.5_ctm,nbc_std_0_cam,nbc_std_0_ctm,nbc_std_1_cam,nbc_std_1_ctm,random_random,snac_std_0.5_cam,snac_std_0.5_ctm,snac_std_0_cam,snac_std_0_ctm,snac_std_1_cam,snac_std_1_ctm,tknc_k_1_cam,tknc_k_2_cam,tknc_k_3_cam
0,0,0.001057326328009367,0.001057326328009367,0.001057326328009367,0.001057326328009367,0.001057326328009367,0.001057326328009367,0.001057326328009367,0.001057326328009367,0.001057326328009367,0.001057326328009367,0.001057326328009367,0.001057326328009367,0.001057326328009367,0.001057326328009367,0.001057326328009367,0.001057326328009367,0.001057326328009367,0.001057326328009367,0.001057326328009367,0.001057326328009367,0.001057326328009367,0.001057326328009367,0.001057326328009367,0.001057326328009367
1,1,0.7125706672668457,0.6994213461875916,0.6835518479347229,0.6905686259269714,0.6794090270996094,0.6898958086967468,0.6675093173980713,0.6745261549949646,0.6751124858856201,0.7208754420280457,0.6844361424446106,0.7098023891448975,0.6765446662902832,0.7088027000427246,0.7189338207244873,0.6748337149620056,0.7148582935333252,0.6838209629058838,0.7202026247978209,0.6723729968070984,0.7091391682624817,0.6721519231796265,0.6724787354469299,0.6724691390991211
2,2,0.7371678948402405,0.7002384066581726,0.6972106099128723,0.7406570911407471,0.7060921192169191,0.6992291212081909,0.69427889585495,0.6644430756568909,0.6993829011917114,0.7214906215667725,0.7062267065048218,0.7088219523429871,0.7092736959457397,0.7071878910064697,0.7538544535636902,0.7026990652084351,0.7171267867088318,0.7007381916046143,0.7267003655433655,0.7022665143013,0.7158195376396179,0.7077357769012451,0.705611526966095,0.69931560754776
3,3,0.7814506292343141,0.7100426554679871,0.7201930284500122,0.7851320505142212,0.7149352431297302,0.7261044383049011,0.7005459666252136,0.6930485367774963,0.7191837430000305,0.7371198534965515,0.7158195376396179,0.7283921241760254,0.7118209004402161,0.7329481840133667,0.7820658087730408,0.7189434170722961,0.7357164621353149,0.7029681801795961,0.7305067181587219,0.7146276235580444,0.7233457565307617,0.7068995237350464,0.7030739188194275,0.7076781392097473
4,4,0.8154869675636292,0.7482698559761047,0.7362355589866638,0.8115556240081787,0.7376773357391357,0.7365046739578247,0.7365719676017761,0.7287477254867554,0.7260371446609497,0.7446749210357666,0.7278634309768677,0.7468568682670593,0.7247779369354248,0.7609769701957703,0.8003767728805542,0.7154927253723145,0.7401092052459717,0.7288246154785156,0.7636395096778871,0.7315544486045837,0.7348706126213074,0.7135991454124451,0.7219231724739075,0.7147429585456848
5,5,0.8509650230407715,0.7425698637962341,0.7513360977172852,0.8347687125205994,0.7425410151481628,0.7555077075958252,0.7584201693534851,0.7237302660942078,0.7544792294502258,0.7626206278800964,0.7381098866462708,0.7603906393051147,0.7528355717658997,0.7612460851669312,0.8127859830856323,0.7563439607620239,0.7571513652801514,0.746395468711853,0.7620727419853209,0.7540274262428284,0.7526432871818542,0.7503845095634459,0.7486158609390259,0.7430601119995117
6,6,0.876167893409729,0.7754334807395935,0.7639278769493103,0.8501480221748352,0.7624956965446472,0.7762409448623657,0.7633703947067261,0.7482506036758423,0.7593813538551331,0.7602753043174744,0.7568245530128479,0.764504611492157,0.7549213767051697,0.7756353616714478,0.8260409832000732,0.7566996216773987,0.7711272835731506,0.768724262714386,0.7674074172973633,0.7576416134834291,0.7566323280334473,0.7648890614509583,0.7721173167228699,0.7565457820892334
7,7,0.8990157246589661,0.7727805972099304,0.7848148941993713,0.8762735724449158,0.7696951031684875,0.7729439735412598,0.7809796333312988,0.7584105730056763,0.7815083265304565,0.7778076529502869,0.7786343097686768,0.7771252393722534,0.7689165472984314,0.7795955538749695,0.8363643288612366,0.7754431366920471,0.7742416262626648,0.771194577217102,0.7790861129760742,0.7728766798973083,0.7765869498252869,0.7767695784568787,0.7731074094772339,0.7698969841003418
8,8,0.9104348421096802,0.7928217053413391,0.7897554636001587,0.8984678387641907,0.7839593887329102,0.7924468517303467,0.7903321981430054,0.7877658009529114,0.7939943671226501,0.7985889315605164,0.7853339314460754,0.8011649847030641,0.7803068161010742,0.8053846955299377,0.8477065563201904,0.7863720059394836,0.808287501335144,0.7962628602981567,0.8041831851005554,0.7864777445793152,0.7996559143066406,0.7878426909446716,0.7821907997131348,0.7851224541664124
9,9,0.9197008609771729,0.7994636297225952,0.807499349117279,0.9088873267173768,0.7945422530174255,0.8052981495857239,0.7876504063606262,0.8010303974151611,0.7989445924758911,0.8157753348350525,0.8020396828651428,0.8065958023071289,0.7930523753166199,0.8076146841049194,0.858279824256897,0.7994540333747864,0.8205044269561768,0.7954362034797668,0.8174862265586853,0.788746178150177,0.819408655166626,0.7921007871627808,0.798906147480011,0.7898131608963013
10,10,0.9302837252616882,0.8074609041213989,0.8137760162353516,0.9180283546447754,0.7995693683624268,0.8155927062034607,0.8151024580001831,0.815064013004303,0.8099215626716614,0.8215521574020386,0.8075089454650879,0.8208120465278625,0.8138144612312317,0.8224653005599976,0.8647679686546326,0.8171786665916443,0.8252912163734436,0.8089891672134399,0.8243973255157471,0.8073263168334961,0.8225421905517578,0.8123630285263062,0.8179380297660828,0.8053750395774841
